fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.05555555555555555,0.0040470813401043415
0.0,0.16666666666666666,0.002802512375637889
0.05405405405405406,0.16666666666666666,0.001709372503682971
0.05405405405405406,0.5,0.0003237023775000125
0.10810810810810811,0.5,0.00023240271548274904
0.13513513513513514,0.5555555555555556,0.0002302650682395324
0.1891891891891892,0.5555555555555556,0.00020483220578171313
0.1891891891891892,0.6111111111111112,0.0002001747488975525
0.21621621621621623,0.6111111111111112,0.0001996957289520651
0.21621621621621623,0.6666666666666666,0.00014605505566578358
0.24324324324324326,0.6666666666666666,0.00014560704585164785
0.24324324324324326,0.7222222222222222,0.0001426703092874959
0.4594594594594595,0.7222222222222222,0.00010479666525498033
0.4594594594594595,0.8333333333333334,9.002626029541716e-05
0.4864864864864865,0.8333333333333334,8.385522960452363e-05
0.4864864864864865,0.9444444444444444,7.650665065739304e-05
0.9459459459459459,0.9444444444444444,3.2721345633035526e-05
0.9459459459459459,1.0,2.922126805060543e-05
1.0,1.0,2.218691042799037e-05
