fpr,tpr,thresholds
0.0,0.0,inf
0.013888888888888888,0.0,0.0020856899209320545
0.027777777777777776,0.0,0.001960397232323885
0.027777777777777776,0.020833333333333332,0.0015112495748326182
0.041666666666666664,0.020833333333333332,0.0012041443260386586
0.041666666666666664,0.0625,0.0009307307773269713
0.05555555555555555,0.0625,0.0009245182736776769
0.05555555555555555,0.10416666666666667,0.0007248836918734014
0.06944444444444445,0.10416666666666667,0.0005997857078909874
0.06944444444444445,0.14583333333333334,0.0005845111445523798
0.08333333333333333,0.14583333333333334,0.0005767688853666186
0.08333333333333333,0.1875,0.0005405389820225537
0.09722222222222222,0.1875,0.000534334743861109
0.09722222222222222,0.25,0.00045009070890955627
0.1111111111111111,0.25,0.0004137874930165708
0.125,0.2708333333333333,0.0004074902681168169
0.125,0.3125,0.0003275832859799266
0.20833333333333334,0.3125,0.0002676647563930601
0.20833333333333334,0.375,0.0002483167336322367
0.2222222222222222,0.375,0.0002470581093803048
0.2222222222222222,0.4166666666666667,0.0002450112078804523
0.2361111111111111,0.4166666666666667,0.0002418336516711861
0.2361111111111111,0.4375,0.00023080097162164748
0.25,0.4375,0.0002202944306191057
0.2638888888888889,0.4583333333333333,0.0002200225426349789
0.2638888888888889,0.4791666666666667,0.00021470076171681285
0.2777777777777778,0.4791666666666667,0.00021465802274178714
0.2777777777777778,0.5,0.000213119390537031
0.3055555555555556,0.5,0.0001881268690340221
0.3055555555555556,0.5416666666666666,0.00018220279889646918
0.3611111111111111,0.5416666666666666,0.0001728099596221
0.375,0.5625,0.0001725436159176752
0.3888888888888889,0.5625,0.00017104289145208895
0.3888888888888889,0.6041666666666666,0.0001652135979384184
0.4027777777777778,0.6041666666666666,0.0001613824861124158
0.4027777777777778,0.625,0.00015993925626389682
0.5416666666666666,0.625,0.00012550747487694025
0.5416666666666666,0.6666666666666666,0.00012137268640799448
0.5694444444444444,0.6666666666666666,0.000116199858894106
0.5694444444444444,0.7083333333333334,0.00010417484008939937
0.6111111111111112,0.7083333333333334,8.897514635464177e-05
0.6111111111111112,0.7291666666666666,8.71457377797924e-05
0.6527777777777778,0.7291666666666666,7.451891724485904e-05
0.6527777777777778,0.7916666666666666,6.939034210518003e-05
0.6805555555555556,0.7916666666666666,6.103319174144417e-05
0.6805555555555556,0.8541666666666666,5.9744408645201474e-05
0.6944444444444444,0.8541666666666666,5.830981535837054e-05
0.7083333333333334,0.875,5.817034252686426e-05
0.7361111111111112,0.875,5.36411207576748e-05
0.7361111111111112,0.8958333333333334,5.319438059814274e-05
0.7638888888888888,0.8958333333333334,5.214497650740668e-05
0.7638888888888888,0.9166666666666666,5.1492665079422295e-05
0.7777777777777778,0.9166666666666666,5.088813850306906e-05
0.7777777777777778,0.9375,4.595582504407503e-05
0.8333333333333334,0.9375,4.2309126001782715e-05
0.8333333333333334,0.9583333333333334,3.794991425820626e-05
0.9444444444444444,0.9583333333333334,3.2229829230345786e-05
0.9583333333333334,0.9791666666666666,2.9794422516715713e-05
0.9722222222222222,0.9791666666666666,2.3758831957820803e-05
0.9722222222222222,1.0,1.628047539270483e-05
1.0,1.0,2.036369323832332e-06
