fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.06666666666666667,0.002276010112836957
0.0,0.2,0.0018489831127226353
0.06451612903225806,0.2,0.001355245360173285
0.06451612903225806,0.4666666666666667,0.0008904184796847403
0.22580645161290322,0.4666666666666667,0.0005639476585201919
0.22580645161290322,0.5333333333333333,0.0005342556396499276
0.25806451612903225,0.5333333333333333,0.0004715043178293854
0.2903225806451613,0.6,0.0004496584879234433
0.3225806451612903,0.6,0.00041180476546287537
0.3225806451612903,0.6666666666666666,0.0003883098834194243
0.45161290322580644,0.6666666666666666,0.0003121857298538089
0.45161290322580644,0.8,0.00029973610071465373
0.4838709677419355,0.8,0.0002952752693090588
0.4838709677419355,0.8666666666666667,0.0002771395375020802
0.5161290322580645,0.8666666666666667,0.0002231078688055277
0.5161290322580645,0.9333333333333333,0.00021345166896935552
0.6774193548387096,0.9333333333333333,0.00015391357010230422
0.6774193548387096,1.0,0.00014497221854981035
1.0,1.0,5.562850128626451e-05
