timestamp,pm25_0,pm25_1,pm25_2,pm25_3
1604635208,72,78,79,83
1604635209,72,77,79,83
1604635210,72,77,79,83
1604635211,71,76,78,83
1604635212,71,75,78,83
1604635213,71,75,78,83
1604635214,71,75,79,83
1604635215,71,74,79,83
1604635216,71,74,81,83
1604635217,71,73,81,83
1604635218,71,73,82,83
1604635219,71,73,82,83
1604635220,71,74,83,83
1604635221,71,74,83,83
1604635222,71,75,83,83
1604635223,71,75,83,82
1604635224,71,76,83,82
1604635225,72,76,82,82
1604635226,72,76,82,82
1604635227,72,77,82,82
1604635228,72,78,81,82
1604635229,72,78,81,82
1604635230,71,78,81,83
1604635231,71,78,81,83
1604635232,70,79,81,83
1604635233,70,79,81,84
1604635234,69,79,81,84
1604635235,69,79,82,84
1604635236,69,80,82,84
1604635237,69,80,82,85
1604635238,68,80,82,85
1604635239,68,81,82,85
1604635240,68,81,82,85
1604635241,68,82,82,85
1604635242,69,82,82,85
1604635243,69,82,82,85
1604635244,70,83,82,85
1604635245,70,83,82,85
1604635246,70,83,82,85
1604635247,70,83,82,85
1604635248,71,83,82,85
1604635249,71,83,83,85
1604635250,71,83,83,85
1604635251,72,83,83,85
1604635252,72,84,82,85
1604635253,72,84,82,85
1604635254,72,84,82,84
1604635255,72,85,78,84
1604635256,72,86,79,83
1604635257,71,86,80,83
1604635258,71,87,81,82
1604635259,70,87,81,82
1604635260,70,87,82,82
1604635261,69,86,83,82
1604635262,69,86,83,81
1604635263,68,86,84,82
1604635264,68,85,84,82
1604635265,68,85,84,82
1604635266,68,84,84,82
1604635267,67,84,83,82
1604635268,67,84,83,83
1604635269,67,83,82,83
1604635270,68,79,82,83
1604635271,68,79,82,83
1604635272,68,79,81,83
1604635273,68,79,81,83
1604635274,68,79,81,83
1604635275,69,79,82,83
1604635276,69,79,82,82
1604635277,69,79,83,82
1604635278,70,79,84,81
1604635279,70,79,84,81
1604635280,70,79,85,81
1604635281,71,79,86,81
1604635282,71,80,86,82
1604635283,70,80,86,82
1604635284,70,80,86,83
1604635285,70,81,86,83
1604635286,70,81,86,84
1604635287,69,82,85,84
1604635288,69,82,85,86
1604635289,69,83,84,86
1604635290,69,83,84,86
1604635291,69,83,83,86
1604635292,69,83,82,86
1604635293,69,83,82,86
1604635294,69,82,81,86
1604635295,69,82,81,86
1604635296,70,81,81,86
1604635297,70,80,80,86
1604635298,70,80,80,85
1604635299,71,80,80,85
1604635300,71,79,80,85
1604635301,71,79,81,86
1604635302,70,79,81,86
1604635303,70,79,81,85
1604635304,70,78,82,85
1604635305,70,79,82,84
1604635306,70,78,83,84
1604635307,70,78,84,83
1604635308,69,78,84,83
1604635309,69,78,85,83
1604635310,70,78,85,83
1604635311,69,78,86,82
1604635312,70,77,86,83
1604635313,70,77,86,83
1604635314,70,77,86,83
1604635315,70,77,86,84
1604635316,71,78,86,84
1604635317,71,78,85,84
1604635318,71,78,85,84
1604635319,71,78,84,85
1604635320,71,79,84,85
1604635321,72,79,84,84
1604635322,72,79,83,84
1604635323,72,79,83,83
1604635324,72,80,82,83
1604635325,72,80,81,82
1604635326,72,80,81,82
1604635327,72,80,80,81
1604635328,72,80,80,82
1604635329,71,80,80,82
1604635330,71,80,80,82
1604635331,71,80,80,82
1604635332,71,80,79,83
1604635333,70,80,80,83
1604635334,70,80,80,84
1604635335,70,81,80,84
1604635336,69,81,81,85
1604635337,69,81,81,86
1604635338,69,81,82,86
1604635339,69,81,82,85
1604635340,68,82,82,85
1604635341,68,82,82,85
1604635342,68,82,82,85
1604635343,68,81,81,84
1604635344,68,81,81,83
1604635345,68,81,80,83
1604635346,68,80,80,82
1604635347,69,80,79,81
1604635348,69,79,78,81
1604635349,70,79,78,81
1604635350,70,79,78,81
1604635351,71,78,77,81
1604635352,71,78,77,81
1604635353,72,79,77,81
1604635354,73,79,77,81
1604635355,73,80,77,82
1604635356,74,81,77,82
1604635357,74,81,77,82
1604635358,74,82,77,83
1604635359,74,83,77,83
1604635360,74,84,77,83
1604635361,75,84,77,84
1604635362,75,84,77,84
1604635363,74,84,77,84
1604635364,74,84,77,85
1604635365,74,84,78,85
1604635366,74,83,78,85
1604635367,74,83,78,85
1604635376,72,83,78,85
1604635377,72,82,79,85
1604635378,72,81,79,85
1604635379,73,81,79,85
1604635380,73,81,79,85
1604635381,73,81,79,85
1604635382,72,80,79,84
1604635383,72,80,79,85
1604635384,72,80,79,85
1604635385,72,80,79,85
1604635386,73,80,79,86
1604635387,73,79,79,86
1604635388,73,79,79,86
1604635389,72,79,78,86
1604635390,73,79,79,86
1604635391,73,79,79,86
1604635392,73,79,79,86
1604635393,74,80,79,86
1604635394,74,80,79,86
1604635395,73,80,80,86
1604635396,73,81,80,86
1604635397,73,81,81,86
1604635398,73,81,81,87
1604635399,74,82,82,87
1604635400,74,82,83,88
1604635401,74,82,83,88
1604635402,74,82,84,88
1604635403,73,82,84,88
1604635404,73,82,84,88
1604635405,73,82,84,88
1604635406,73,81,84,88
1604635407,73,80,84,88
1604635408,73,80,84,88
1604635409,73,79,84,88
1604635410,72,79,84,87
1604635411,72,78,83,87
1604635412,71,78,83,87
1604635413,71,78,83,87
1604635414,70,78,83,87
1604635415,70,78,83,87
1604635416,70,78,83,87
1604635418,69,78,83,87
1604635419,69,79,83,87
1604635420,69,79,83,87
1604635421,69,80,83,87
1604635422,69,80,83,86
1604635423,69,80,83,86
1604635424,69,81,83,85
1604635425,69,82,83,84
1604635426,69,82,83,84
1604635427,69,82,83,84
1604635428,69,82,82,84
1604635429,69,82,82,84
1604635430,69,82,81,84
1604635431,69,83,81,84
1604635432,69,83,81,84
1604635433,69,83,81,85
1604635434,68,83,80,85
1604635435,68,82,80,86
1604635436,68,82,80,86
1604635437,68,82,79,86
1604635438,68,82,79,86
1604635439,68,81,79,86
1604635440,68,81,78,86
1604635441,68,81,78,85
1604635442,69,81,78,85
1604635443,69,81,79,85
1604635444,69,81,79,84
1604635445,70,82,79,83
1604635446,70,83,79,83
1604635447,70,84,81,83
1604635448,70,84,82,82
1604635449,71,85,82,82
1604635450,71,86,82,82
1604635451,71,86,83,82
1604635452,72,86,82,82
1604635453,72,86,82,82
1604635454,72,86,82,83
1604635455,73,85,81,84
1604635456,73,84,81,84
1604635457,73,83,80,85
1604635458,74,83,79,85
1604635459,74,80,79,86
1604635460,74,79,77,87
1604635461,74,79,77,87
1604635462,74,78,77,87
1604635463,74,77,76,88
1604635464,74,77,77,88
1604635465,73,77,76,88
1604635466,73,77,77,88
1604635467,73,77,78,88
1604635468,73,77,78,88
1604635469,72,78,78,88
1604635470,72,78,79,88
1604635471,72,78,80,88
1604635472,71,79,80,88
1604635473,71,79,80,88
1604635474,71,80,80,88
1604635475,71,80,80,88
1604635476,71,80,79,88
1604635477,71,81,79,88
1604635478,71,81,78,88
1604635479,71,81,77,88
1604635480,71,81,77,87
1604635481,72,80,77,87
1604635482,72,80,77,86
1604635483,72,80,77,86
1604635484,72,79,77,85
1604635485,73,79,77,85
1604635486,74,79,78,85
1604635487,74,79,79,85
1604635488,75,79,80,85
1604635489,76,80,80,85
1604635490,76,80,81,85
1604635491,76,80,81,85
1604635492,77,80,81,85
1604635493,77,80,82,85
1604635494,76,79,81,86
1604635495,76,79,81,86
1604635496,75,78,81,86
1604635497,75,78,80,86
1604635498,74,77,80,86
1604635499,73,76,79,86
1604635500,72,76,79,85
1604635501,72,76,80,85
1604635502,72,75,80,85
1604635503,71,78,80,84
1604635504,71,78,80,84
1604635505,71,78,81,84
1604635506,71,79,82,83
1604635507,72,79,82,83
1604635508,72,79,82,83
1604635509,72,79,78,83
1604635510,72,80,78,83
1604635511,72,80,78,83
1604635512,72,80,78,83
1604635513,71,80,79,83
1604635514,71,81,79,83
1604635515,70,81,80,83
1604635516,69,81,80,83
1604635517,69,81,81,84
1604635518,68,82,81,84
1604635519,68,82,81,84
1604635520,67,82,81,84
1604635521,68,81,81,84
1604635522,68,81,81,85
1604635523,68,81,80,86
1604635524,69,81,80,86
1604635525,69,80,80,87
1604635526,70,79,79,87
1604635527,71,79,77,88
1604635528,71,78,77,88
1604635529,71,77,76,88
1604635530,72,77,76,88
1604635531,72,76,75,88
1604635532,72,76,75,87
1604635533,72,75,75,87
1604635534,72,75,75,86
1604635535,72,75,75,86
1604635536,72,75,76,85
1604635537,72,74,76,85
1604635538,72,74,76,84
1604635539,72,75,76,83
1604635540,73,75,78,83
1604635541,73,75,79,83
1604635542,73,75,79,83
1604635543,73,76,80,83
1604635544,73,76,81,84
1604635545,73,77,82,84
1604635546,73,77,83,84
1604635547,73,77,84,84
1604635548,73,78,85,85
1604635549,72,78,85,85
1604635550,72,78,86,85
1604635551,71,79,86,85
1604635552,70,79,86,85
1604635553,70,79,85,85
1604635554,69,79,84,85
1604635555,69,79,83,85
1604635556,69,79,82,85
1604635557,69,79,82,85
1604635558,69,79,80,85
1604635559,69,79,80,86
1604635560,69,79,79,86
1604635561,69,78,79,86
1604635562,69,78,79,85
1604635563,69,78,78,85
1604635564,70,78,78,85
1604635565,69,78,78,85
1604635566,69,78,79,85
1604635567,69,78,79,85
1604635568,69,78,79,85
1604635569,69,78,79,85
1604635570,69,78,79,85
1604635571,69,79,79,85
1604635572,69,79,79,85
1604635581,72,79,79,85
1604635582,71,79,78,84
1604635583,71,79,78,85
1604635584,71,79,78,85
1604635585,70,79,78,85
1604635586,69,79,77,85
1604635587,69,79,77,86
1604635588,68,79,77,86
1604635589,68,79,77,86
1604635590,68,79,77,87
1604635591,68,79,77,87
1604635592,68,79,77,88
1604635593,68,79,78,87
1604635594,68,79,78,87
1604635595,67,79,78,87
1604635596,68,79,78,87
1604635597,68,79,79,86
1604635598,69,80,79,86
1604635599,69,80,79,85
1604635600,69,80,80,85
1604635601,70,80,80,84
1604635602,71,80,80,84
1604635603,72,80,80,84
1604635604,73,80,80,84
1604635605,73,79,80,84
1604635606,74,79,79,84
1604635607,74,79,79,85
1604635608,75,78,79,85
1604635609,75,78,80,85
1604635610,75,78,79,86
1604635611,75,78,79,87
1604635612,75,78,79,87
1604635613,75,78,79,87
1604635614,75,78,79,88
1604635615,75,79,79,88
1604635616,75,79,79,88
1604635617,75,79,79,88
1604635618,75,79,78,88
1604635619,75,79,77,87
1604635620,75,79,77,87
1604635621,74,79,76,86
1604635622,74,80,76,86
1604635623,74,80,76,85
1604635624,74,81,76,85
1604635625,74,81,76,85
1604635626,74,81,76,85
1604635627,73,82,76,85
1604635628,73,82,76,84
1604635629,73,83,76,84
1604635630,72,83,77,84
1604635631,71,83,78,84
1604635632,71,83,78,84
1604635633,70,83,79,83
1604635634,70,82,79,83
1604635635,69,81,80,83
1604635636,68,81,81,83
1604635637,68,81,81,83
1604635638,68,80,82,83
1604635639,68,80,83,82
1604635640,68,79,83,82
1604635641,68,79,84,82
1604635642,68,79,84,82
1604635643,68,79,85,82
1604635644,68,79,85,81
1604635645,68,79,86,81
1604635646,69,79,86,80
1604635647,69,79,87,79
1604635648,69,79,87,79
1604635649,70,79,87,78
1604635650,70,79,87,78
1604635651,70,79,88,78
1604635652,70,79,88,78
1604635653,70,79,87,77
1604635654,70,78,87,78
1604635655,70,78,86,78
1604635656,70,77,86,78
1604635657,71,77,85,78
1604635658,71,76,84,81
1604635659,71,75,84,81
1604635660,72,75,84,82
1604635661,72,75,84,82
1604635662,72,74,84,82
1604635663,73,74,84,83
1604635664,73,74,84,83
1604635665,73,74,85,84
1604635666,72,74,85,84
1604635667,72,74,86,84
1604635668,72,74,86,84
1604635669,71,75,86,84
1604635670,71,75,86,84
1604635671,71,76,86,84
1604635672,71,76,86,84
1604635673,70,76,86,84
1604635674,71,76,86,84
1604635675,70,76,85,83
1604635676,71,75,85,83
1604635677,70,75,85,82
1604635678,71,75,85,82
1604635679,70,75,86,82
1604635680,70,74,86,82
1604635681,70,74,86,82
1604635682,70,74,86,81
1604635683,69,74,86,81
1604635684,69,74,85,81
1604635685,68,75,85,81
1604635686,68,75,85,82
1604635687,68,75,85,82
1604635688,68,76,85,82
1604635689,68,76,84,82
1604635690,68,76,84,83
1604635691,69,76,84,83
1604635692,69,77,84,83
1604635693,69,76,84,84
1604635694,69,76,84,85
1604635695,69,76,84,85
1604635696,70,76,84,86
1604635697,70,77,84,86
1604635698,70,77,84,86
1604635699,69,77,85,87
1604635700,69,77,85,87
1604635701,68,78,85,86
1604635702,68,79,85,86
1604635703,68,79,85,85
1604635704,68,80,85,84
1604635705,68,80,85,84
1604635706,68,80,85,83
1604635707,68,80,85,82
1604635708,68,79,85,82
1604635709,68,79,85,82
1604635710,68,79,85,81
1604635711,69,77,85,81
1604635712,69,76,84,82
1604635713,69,76,84,82
1604635714,69,75,83,83
1604635715,69,75,83,83
1604635716,69,75,82,84
1604635717,69,74,82,85
1604635718,70,74,82,85
1604635719,70,74,82,85
1604635720,70,74,82,86
1604635721,70,75,82,86
1604635722,70,75,82,86
1604635723,70,75,82,86
1604635724,70,75,82,85
1604635725,71,75,82,85
1604635726,72,75,82,85
1604635727,72,76,81,84
1604635728,73,76,82,84
1604635729,73,77,81,84
1604635730,74,77,81,83
1604635731,75,77,82,83
1604635732,75,77,82,83
1604635733,76,76,82,83
1604635734,76,76,83,83
1604635735,76,76,83,83
1604635736,75,76,84,82
1604635737,75,77,84,82
1604635738,75,77,85,82
1604635739,75,77,85,82
1604635740,74,77,86,82
1604635741,74,77,86,81
1604635742,74,77,86,81
1604635743,74,78,86,81
1604635744,74,78,86,81
1604635745,74,79,86,81
1604635746,74,79,85,82
1604635747,74,79,85,82
1604635748,73,80,85,82
1604635749,73,80,84,82
1604635750,72,80,84,82
1604635751,72,80,84,82
1604635752,71,80,83,82
1604635753,70,80,83,82
1604635754,70,80,83,82
1604635755,69,79,83,82
1604635756,69,78,84,82
1604635757,69,78,84,82
1604635758,69,77,85,82
1604635759,69,76,85,83
1604635760,70,75,85,83
1604635761,70,75,86,83
1604635762,71,74,83,83
