Dataset,Granularity,AUC,Total Days,Normal,Anom,F1_BestF1,Precision_BestF1,Recall_BestF1,Accuracy_BestF1,F1_ROC_TopLeft,Precision_ROC_TopLeft,Recall_ROC_TopLeft,Accuracy_ROC_TopLeft,F1_Recall_90,Precision_Recall_90,Recall_Recall_90,Accuracy_Recall_90,F1_FPR_10,Precision_FPR_10,Recall_FPR_10,Accuracy_FPR_10
Fault Free,10,0.7527488425925927,120,72,48,0.6666666666666666,0.5172413793103449,0.9375,0.625,0.6481481481481481,0.5833333333333334,0.7291666666666666,0.6833333333333333,0.6666666666666666,0.5238095238095238,0.9166666666666666,0.6333333333333333,0.5205479452054794,0.76,0.3958333333333333,0.7083333333333334
Fault Free,2.5,0.7598769168684422,463,295,168,0.6351706036745407,0.568075117370892,0.7202380952380952,0.6997840172786177,0.6351706036745407,0.568075117370892,0.7202380952380952,0.6997840172786177,0.5846153846153846,0.4318181818181818,0.9047619047619048,0.5334773218142549,0.5298507462686567,0.71,0.4226190476190476,0.7278617710583153
Fault Free,20,0.792042042042042,55,37,18,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.7454545454545455,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.7454545454545455,0.6415094339622641,0.4857142857142857,0.9444444444444444,0.6545454545454545,0.6451612903225806,0.7692307692307693,0.5555555555555556,0.8
Fault Free,25,0.9387096774193547,46,31,15,0.9285714285714286,1.0,0.8666666666666667,0.9565217391304348,0.9032258064516129,0.875,0.9333333333333333,0.9347826086956522,0.9032258064516129,0.875,0.9333333333333333,0.9347826086956522,0.9032258064516129,0.875,0.9333333333333333,0.9347826086956522
Fault Free,5,0.7913894324853229,251,146,105,0.7076923076923077,0.7666666666666667,0.6571428571428571,0.7729083665338645,0.7047619047619048,0.7047619047619048,0.7047619047619048,0.7529880478087649,0.657439446366782,0.5163043478260869,0.9047619047619048,0.6055776892430279,0.6477272727272727,0.8028169014084507,0.5428571428571428,0.7529880478087649
Fault Free,50,0.8,24,15,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.5,1.0,0.625,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.6666666666666666
Faulty (F+A),10,0.6291956018518519,120,72,48,0.593103448275862,0.44329896907216493,0.8958333333333334,0.5083333333333333,0.5625,0.5625,0.5625,0.65,0.5906040268456376,0.43564356435643564,0.9166666666666666,0.49166666666666664,0.2033898305084746,0.5454545454545454,0.125,0.6083333333333333
Faulty (F+A),2.5,0.6166464891041162,463,295,168,0.5439739413680782,0.3744394618834081,0.9940476190476191,0.3952483801295896,0.5333333333333333,0.45569620253164556,0.6428571428571429,0.591792656587473,0.5418894830659536,0.38676844783715014,0.9047619047619048,0.4449244060475162,0.26666666666666666,0.5263157894736842,0.17857142857142858,0.6436285097192225
Faulty (F+A),20,0.6133633633633633,55,37,18,0.5230769230769231,0.3617021276595745,0.9444444444444444,0.43636363636363634,0.5,0.45454545454545453,0.5555555555555556,0.6363636363636364,0.5230769230769231,0.3617021276595745,0.9444444444444444,0.43636363636363634,0.38461538461538464,0.625,0.2777777777777778,0.7090909090909091
Faulty (F+A),25,0.8677419354838709,46,31,15,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8260869565217391,0.7222222222222222,0.6190476190476191,0.8666666666666667,0.782608695652174,0.6666666666666666,0.5185185185185185,0.9333333333333333,0.6956521739130435,0.7142857142857143,0.7692307692307693,0.6666666666666666,0.8260869565217391
Faulty (F+A),5,0.6728636660143509,251,146,105,0.6180555555555556,0.48633879781420764,0.8476190476190476,0.5617529880478087,0.6028708133971292,0.6057692307692307,0.6,0.6693227091633466,0.59375,0.4418604651162791,0.9047619047619048,0.4820717131474104,0.45751633986928103,0.7291666666666666,0.3333333333333333,0.6693227091633466
Faulty (F+A),50,0.6814814814814814,24,15,9,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.7083333333333334,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.7083333333333334,0.5625,0.391304347826087,1.0,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.6666666666666666
Sensor 1,10,0.6535011574074074,120,72,48,0.60431654676259,0.46153846153846156,0.875,0.5416666666666666,0.5714285714285714,0.56,0.5833333333333334,0.65,0.5986394557823129,0.4444444444444444,0.9166666666666666,0.5083333333333333,0.3076923076923077,0.5882352941176471,0.20833333333333334,0.625
Sensor 1,2.5,0.576180387409201,463,295,168,0.5342019543973942,0.36771300448430494,0.9761904761904762,0.38228941684665224,0.467966573816156,0.4397905759162304,0.5,0.5874730021598272,0.5259515570934256,0.37073170731707317,0.9047619047619048,0.408207343412527,0.3445378151260504,0.5857142857142857,0.24404761904761904,0.6630669546436285
Sensor 1,20,0.6749249249249248,55,37,18,0.625,0.7142857142857143,0.5555555555555556,0.7818181818181819,0.625,0.7142857142857143,0.5555555555555556,0.7818181818181819,0.4927536231884058,0.3333333333333333,0.9444444444444444,0.36363636363636365,0.5714285714285714,0.8,0.4444444444444444,0.7818181818181819
Sensor 1,25,0.8354838709677419,46,31,15,0.7647058823529411,0.6842105263157895,0.8666666666666667,0.8260869565217391,0.7647058823529411,0.6842105263157895,0.8666666666666667,0.8260869565217391,0.6511627906976745,0.5,0.9333333333333333,0.6739130434782609,0.43478260869565216,0.625,0.3333333333333333,0.717391304347826
Sensor 1,5,0.6362035225048922,251,146,105,0.5915492957746479,0.42,1.0,0.42231075697211157,0.5543478260869565,0.6455696202531646,0.4857142857142857,0.6733067729083665,0.5705705705705706,0.4166666666666667,0.9047619047619048,0.4302788844621514,0.5125,0.7454545454545455,0.3904761904761905,0.6892430278884463
Sensor 1,50,0.6888888888888889,24,15,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5625,0.391304347826087,1.0,0.4166666666666667,0.5,1.0,0.3333333333333333,0.75
Sensor 2,10,0.626880787037037,120,72,48,0.5849056603773585,0.5344827586206896,0.6458333333333334,0.6333333333333333,0.5849056603773585,0.5344827586206896,0.6458333333333334,0.6333333333333333,0.5714285714285714,0.4,1.0,0.4,0.22580645161290322,0.5,0.14583333333333334,0.6
Sensor 2,2.5,0.5203692493946731,463,295,168,0.5324881141045958,0.36285097192224625,1.0,0.36285097192224625,0.4517766497461929,0.3938053097345133,0.5297619047619048,0.5334773218142549,0.5212947189097104,0.36515513126491644,0.9107142857142857,0.3930885529157667,0.1926605504587156,0.42,0.125,0.6198704103671706
Sensor 2,20,0.5735735735735736,55,37,18,0.5079365079365079,0.35555555555555557,0.8888888888888888,0.43636363636363634,0.48484848484848486,0.5333333333333333,0.4444444444444444,0.6909090909090909,0.4931506849315068,0.32727272727272727,1.0,0.32727272727272727,0.0,0.0,0.0,0.6727272727272727
Sensor 2,25,0.5483870967741935,46,31,15,0.5098039215686274,0.3611111111111111,0.8666666666666667,0.45652173913043476,0.45,0.36,0.6,0.5217391304347826,0.4918032786885246,0.32608695652173914,1.0,0.32608695652173914,0.0,0.0,0.0,0.6739130434782609
Sensor 2,5,0.5326157860404436,251,146,105,0.5994236311239193,0.4297520661157025,0.9904761904761905,0.44621513944223107,0.48214285714285715,0.453781512605042,0.5142857142857142,0.5378486055776892,0.5825825825825826,0.42543859649122806,0.9238095238095239,0.44621513944223107,0.19696969696969696,0.48148148148148145,0.12380952380952381,0.5776892430278885
Sensor 2,50,0.6518518518518518,24,15,9,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.5454545454545454,0.375,1.0,0.375,0.36363636363636365,1.0,0.2222222222222222,0.7083333333333334
Sensor 3,10,0.5557002314814814,120,72,48,0.5806451612903226,0.4205607476635514,0.9375,0.4583333333333333,0.4954128440366973,0.4426229508196721,0.5625,0.5416666666666666,0.5751633986928104,0.41904761904761906,0.9166666666666666,0.4583333333333333,0.3125,0.625,0.20833333333333334,0.6333333333333333
Sensor 3,2.5,0.541959241323648,463,295,168,0.5324881141045958,0.36285097192224625,1.0,0.36285097192224625,0.4740740740740741,0.4050632911392405,0.5714285714285714,0.5399568034557235,0.5214408233276158,0.36626506024096384,0.9047619047619048,0.39740820734341253,0.2171945701357466,0.4528301886792453,0.14285714285714285,0.6263498920086393
