fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.020833333333333332,0.038572587072849274
0.0,0.041666666666666664,0.03151562437415123
0.013888888888888888,0.0625,0.025883033871650696
0.013888888888888888,0.125,0.0108085498213768
0.027777777777777776,0.125,0.008952026255428791
0.027777777777777776,0.14583333333333334,0.0073751709423959255
0.05555555555555555,0.14583333333333334,0.006473822984844446
0.05555555555555555,0.3333333333333333,0.0023188143968582153
0.06944444444444445,0.3333333333333333,0.0021023310255259275
0.06944444444444445,0.4166666666666667,0.0016214107163250446
0.08333333333333333,0.4375,0.001239777309820056
0.09722222222222222,0.4375,0.0011757876491174102
0.09722222222222222,0.5833333333333334,0.0007723687449470162
0.16666666666666666,0.5833333333333334,0.0003582320350687951
0.16666666666666666,0.6666666666666666,0.00029835730674676597
0.18055555555555555,0.6666666666666666,0.0002802204398903996
0.18055555555555555,0.6875,0.00027844542637467384
0.2222222222222222,0.6875,0.00018610306142363697
0.2222222222222222,0.7083333333333334,0.00016794497787486762
0.25,0.7083333333333334,0.00015984638594090939
0.25,0.75,0.00014674173144157976
0.2777777777777778,0.75,0.00013583565305452794
0.2777777777777778,0.7708333333333334,0.0001298216957366094
0.2916666666666667,0.7708333333333334,0.00012865877943113446
0.2916666666666667,0.8125,0.0001222772989422083
0.3055555555555556,0.8125,0.0001216111850226298
0.3055555555555556,0.8333333333333334,0.00012057054846081883
0.4027777777777778,0.8333333333333334,0.0001049681959557347
0.4027777777777778,0.8541666666666666,0.00010402705811429769
0.4444444444444444,0.8541666666666666,9.960334136849269e-05
0.4444444444444444,0.875,9.376869275001809e-05
0.4861111111111111,0.875,8.877285290509462e-05
0.4861111111111111,0.8958333333333334,8.345285459654406e-05
0.5,0.9166666666666666,8.216740388888866e-05
0.5694444444444444,0.9166666666666666,7.612021727254614e-05
0.5694444444444444,0.9375,7.563468534499407e-05
0.6805555555555556,0.9375,6.460159056587145e-05
0.6944444444444444,0.9583333333333334,6.450976798078045e-05
0.6944444444444444,0.9791666666666666,6.207290425663814e-05
0.7638888888888888,0.9791666666666666,4.7778328735148534e-05
0.7638888888888888,1.0,4.03714511776343e-05
1.0,1.0,1.206966771860607e-05
