fpr,tpr,thresholds
0.0,0.0,inf
0.02702702702702703,0.0,0.0073209791444242
0.02702702702702703,0.05555555555555555,0.002545754425227642
0.08108108108108109,0.05555555555555555,0.002267897129058838
0.08108108108108109,0.16666666666666666,0.0015315680066123605
0.13513513513513514,0.16666666666666666,0.0009986257646232843
0.13513513513513514,0.2222222222222222,0.000984489917755127
0.16216216216216217,0.2222222222222222,0.00097755272872746
0.16216216216216217,0.3333333333333333,0.0009207837283611298
0.2972972972972973,0.3333333333333333,0.0006519578746519983
0.2972972972972973,0.4444444444444444,0.0005444135749712586
0.35135135135135137,0.4444444444444444,0.0004615298530552536
0.35135135135135137,0.5,0.0004551330639515072
0.43243243243243246,0.5,0.0003727618313860148
0.43243243243243246,0.5555555555555556,0.00036788577563129365
0.5135135135135135,0.5555555555555556,0.00030357312061823905
0.5135135135135135,0.6111111111111112,0.0002864881244022399
0.5405405405405406,0.6666666666666666,0.000269231473794207
0.5945945945945946,0.6666666666666666,0.0002145376638509333
0.5945945945945946,0.7777777777777778,0.00020944877178408206
0.6486486486486487,0.7777777777777778,0.00018955548875965178
0.6486486486486487,0.8888888888888888,0.00017901940736919641
0.7567567567567568,0.8888888888888888,0.0001479440979892388
0.7567567567567568,1.0,0.00010230981570202857
1.0,1.0,3.232291419408284e-05
