timestamp,cal_pm25_fa
1604277360,86.485435
1604277361,86.485435
1604277362,86.485435
1604277363,86.485435
1604277364,86.485435
1604277365,86.485435
1604277366,86.485435
1604277367,86.485435
1604277368,86.485435
1604277369,86.485435
1604277370,86.485435
1604277371,86.485435
1604277372,86.485435
1604277373,86.485435
1604277374,86.485435
1604277375,86.485435
1604277376,86.485435
1604277377,86.485435
1604277378,86.485435
1604277379,86.485435
1604277380,86.485435
1604277381,86.485435
1604277382,86.485435
1604277383,86.485435
1604277384,86.485435
1604277385,86.485435
1604277386,86.485435
1604277387,86.485435
1604277388,86.485435
1604277389,86.485435
1604277390,86.485435
1604277391,86.485435
1604277392,86.485435
1604277393,86.485435
1604277394,86.485435
1604277395,86.485435
1604277396,86.485435
1604277397,86.485435
1604277398,86.485435
1604277399,76.755424
1604277400,77.29461
1604277401,78.30852
1604277402,76.67712
1604277403,64.68502
1604277404,53.750446
1604277405,53.892246
1604277406,53.7928
1604277407,52.511147
1604277408,50.942116
1604277409,50.942116
1604277410,36.22088
1604277411,36.22088
1604277412,36.22088
1604277413,36.22088
1604277414,36.22088
1604277415,36.22088
1604277416,36.22088
1604277417,36.22088
1604277418,36.22088
1604277419,36.22088
1604277420,36.22088
1604277421,36.22088
1604277422,36.15123
1604277423,36.249706
1604277424,36.38099
1604277425,36.33723
1604277426,36.344578
1604277427,36.07364
1604277428,36.039646
1604277429,34.812946
1604277430,34.812946
1604277431,34.360916
1604277432,34.360916
1604277433,33.040455
1604277434,33.040455
1604277435,33.040455
1604277436,33.040455
1604277437,26.17851
1604277438,26.17851
1604277439,26.17851
1604277440,26.17851
1604277441,26.17851
1604277442,26.17851
1604277443,26.17851
1604277444,26.17851
1604277445,25.135633
1604277446,25.135633
1604277447,25.135633
1604277448,25.135633
1604277449,25.135633
1604277450,25.135633
1604277451,25.135633
1604277452,25.135633
1604277453,25.135633
1604277454,25.135633
1604277455,25.135633
1604277456,25.135633
1604277457,27.459675
1604277458,27.459675
1604277459,27.459675
1604277460,27.459675
1604277461,27.459675
1604277462,27.459675
1604277463,27.459675
1604277464,32.648266
1604277465,32.648266
1604277466,35.899952
1604277467,35.899952
1604277468,37.41738
1604277469,38.60166
1604277470,38.566635
1604277471,38.325527
1604277472,36.886894
1604277473,36.886894
1604277474,34.587147
1604277475,34.587147
1604277476,31.761602
1604277477,31.761602
1604277478,28.997892
1604277479,28.997892
1604277480,28.997892
1604277481,28.920834
1604277482,28.920834
1604277483,29.729755
1604277484,29.729755
1604277485,29.729755
1604277486,29.876308
1604277487,29.876308
1604277488,30.207499
1604277489,30.207499
1604277490,30.207499
1604277491,30.345083
1604277492,30.345083
1604277493,30.345083
1604277494,30.345083
1604277495,30.345083
1604277496,30.345083
1604277497,30.207499
1604277498,30.207499
1604277499,30.207499
1604277500,30.207499
1604277501,29.876308
1604277502,29.876308
1604277503,29.876308
1604277504,29.876308
1604277505,29.876308
1604277506,29.876308
1604277507,29.876308
1604277508,29.876308
1604277509,29.876308
1604277510,29.876308
1604277511,29.876308
1604277512,29.876308
1604277513,29.876308
1604277514,29.876308
1604277515,29.876308
1604277516,29.876308
1604277517,29.876308
1604277518,29.876308
1604277519,29.876308
1604277520,29.876308
1604277521,29.876308
1604277522,30.207499
1604277523,30.207499
1604277524,30.207499
1604277525,30.207499
1604277526,30.345083
1604277527,30.345083
1604277528,30.345083
1604277529,30.345083
1604277530,31.390873
1604277531,31.390873
1604277532,31.390873
1604277533,31.390873
1604277534,31.390873
1604277535,31.390873
1604277536,30.345083
1604277537,30.345083
1604277538,30.345083
1604277539,30.207499
1604277540,30.207499
1604277541,30.207499
1604277542,29.876308
1604277543,29.876308
1604277544,29.729755
1604277545,28.920834
1604277546,28.920834
1604277547,28.997892
1604277548,31.761602
1604277549,31.761602
1604277550,34.587147
1604277551,35.960567
1604277552,36.886894
1604277553,38.11104
1604277554,38.566635
1604277555,38.67765
1604277556,38.60166
1604277557,37.41738
1604277558,35.899952
1604277559,35.899952
1604277560,35.899952
1604277561,32.648266
1604277562,32.648266
1604277563,32.648266
1604277564,32.648266
1604277565,32.648266
1604277566,32.648266
1604277567,32.648266
1604277568,27.459675
1604277569,27.459675
1604277570,27.459675
1604277571,27.459675
1604277572,27.459675
1604277573,32.648266
1604277574,32.648266
1604277575,32.648266
1604277576,32.648266
1604277577,32.648266
1604277578,35.899952
1604277579,35.899952
1604277580,35.899952
1604277581,38.60166
1604277582,38.67765
1604277583,38.325527
1604277584,38.11104
1604277585,36.886894
1604277586,34.587147
1604277587,31.761602
1604277588,28.997892
1604277589,28.997892
1604277590,28.920834
1604277591,29.729755
1604277592,29.729755
1604277593,29.876308
1604277594,29.876308
1604277595,30.207499
1604277596,30.207499
1604277597,30.207499
1604277598,30.207499
1604277599,30.345083
1604277600,30.345083
1604277601,30.345083
1604277602,30.345083
1604277603,30.345083
1604277604,30.345083
1604277605,30.345083
1604277606,30.345083
1604277607,30.345083
1604277608,30.345083
1604277609,30.207499
1604277610,30.207499
1604277611,30.207499
1604277612,30.207499
1604277613,30.207499
1604277614,30.207499
1604277615,30.207499
1604277616,30.207499
1604277617,30.345083
1604277618,30.345083
1604277619,30.345083
1604277620,30.345083
1604277621,30.345083
1604277622,30.345083
1604277623,30.345083
1604277624,30.207499
1604277625,30.207499
1604277626,29.876308
1604277627,29.729755
1604277628,28.920834
1604277629,28.997892
1604277630,31.761602
1604277631,34.587147
1604277632,36.886894
1604277633,38.11104
1604277634,38.566635
1604277635,38.60166
1604277636,37.41738
1604277637,35.899952
1604277638,35.899952
1604277639,32.648266
1604277640,32.648266
1604277641,32.648266
1604277642,32.648266
