Dataset,Granularity,AUC,F1,Precision,Recall,Accuracy,Best_Threshold,Total Days,Normal,Anom
Fault Free,10,0.771267361111111,0.6717557251908397,0.5301204819277109,0.9166666666666666,0.6416666666666667,0.00011074878420913592,120,72,48
Fault Free,2.5,0.7404862792574656,0.6231884057971014,0.524390243902439,0.7678571428571429,0.6630669546436285,0.0004571958852466196,463,295,168
Fault Free,20,0.8040540540540541,0.6818181818181818,0.5769230769230769,0.8333333333333334,0.7454545454545455,0.00013994165055919439,55,37,18
Fault Free,25,0.9096774193548387,0.875,0.8235294117647058,0.9333333333333333,0.9130434782608695,0.00022610118321608752,46,31,15
Fault Free,5,0.7854207436399218,0.6934673366834171,0.7340425531914894,0.6571428571428571,0.7569721115537849,0.0005063794087618589,251,146,105
Fault Free,50,0.7962962962962963,0.75,0.8571428571428571,0.6666666666666666,0.8333333333333334,0.0002338930789846927,24,15,9
Faulty (F+A),10,0.6317997685185185,0.5869565217391305,0.6136363636363636,0.5625,0.6833333333333333,0.00021573700360022485,120,72,48
Faulty (F+A),2.5,0.6552360774818403,0.5708661417322834,0.4264705882352941,0.8630952380952381,0.5291576673866091,0.0002195338747696951,463,295,168
Faulty (F+A),20,0.5788288288288288,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.6181818181818182,0.00011551885108929127,55,37,18
Faulty (F+A),25,0.8623655913978494,0.7741935483870968,0.75,0.8,0.8478260869565217,0.00013620754180010408,46,31,15
Faulty (F+A),5,0.6519243313763862,0.6197183098591549,0.49162011173184356,0.8380952380952381,0.5697211155378487,0.0001062292285496369,251,146,105
Faulty (F+A),50,0.7148148148148148,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.7083333333333334,5.436596984509379e-05,24,15,9
Sensor 1,10,0.6480034722222222,0.5822784810126582,0.41818181818181815,0.9583333333333334,0.45,0.0001904629752971232,120,72,48
Sensor 1,2.5,0.5716606133979014,0.537842190016103,0.3686534216335541,0.9940476190476191,0.3801295896328294,0.00013203803973738104,463,295,168
Sensor 1,20,0.6734234234234234,0.5581395348837209,0.48,0.6666666666666666,0.6545454545454545,0.0003495793789625168,55,37,18
Sensor 1,25,0.8150537634408602,0.7058823529411765,0.631578947368421,0.8,0.782608695652174,0.00029849846032448113,46,31,15
Sensor 1,5,0.6419439008480105,0.5898876404494382,0.41832669322709165,1.0,0.41832669322709165,3.9181097235996276e-05,251,146,105
Sensor 1,50,0.6555555555555554,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.00025192159228026867,24,15,9
Sensor 2,10,0.6205150462962963,0.6101694915254238,0.5142857142857142,0.75,0.6166666666666667,7.733032543910667e-05,120,72,48
Sensor 2,2.5,0.5061844229217111,0.5324881141045958,0.36285097192224625,1.0,0.36285097192224625,7.767453644191846e-05,463,295,168
Sensor 2,20,0.7357357357357357,0.6086956521739131,0.5,0.7777777777777778,0.6727272727272727,4.4240994611755013e-05,55,37,18
Sensor 2,25,0.5892473118279569,0.5098039215686274,0.3611111111111111,0.8666666666666667,0.45652173913043476,1.6479683836223558e-05,46,31,15
Sensor 2,5,0.5695694716242662,0.6200607902735562,0.45535714285714285,0.9714285714285714,0.50199203187251,5.383057941799052e-05,251,146,105
Sensor 2,50,0.6259259259259259,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,3.8375943404389545e-05,24,15,9
Sensor 3,10,0.5936053240740741,0.5751633986928104,0.41904761904761906,0.9166666666666666,0.4583333333333333,0.0002806900884024799,120,72,48
Sensor 3,2.5,0.5799233252623083,0.5527272727272727,0.39790575916230364,0.9047619047619048,0.468682505399568,0.0005478598759509623,463,295,168
Sensor 3,20,0.5337837837837838,0.53125,0.3695652173913043,0.9444444444444444,0.45454545454545453,0.00021082887542434037,55,37,18
Sensor 3,25,0.7096774193548387,0.6046511627906976,0.4642857142857143,0.8666666666666667,0.6304347826086957,0.0004536450724117458,46,31,15
Sensor 3,5,0.6498695368558381,0.6163522012578616,0.460093896713615,0.9333333333333333,0.5139442231075697,0.0003740292158909142,251,146,105
Sensor 3,50,0.8111111111111111,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7916666666666666,0.0003473057586234063,24,15,9
Sensor 4,10,0.6090856481481483,0.5853658536585366,0.41379310344827586,1.0,0.43333333333333335,7.607976294821128e-05,120,72,48
Sensor 4,2.5,0.570409604519774,0.5352564102564102,0.36622807017543857,0.9940476190476191,0.37365010799136067,0.00011401365918572992,463,295,168
Sensor 4,20,0.5780780780780781,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5636363636363636,0.00021807178563904017,55,37,18
Sensor 4,25,0.7956989247311828,0.6875,0.6470588235294118,0.7333333333333333,0.782608695652174,0.0002561171422712505,46,31,15
Sensor 4,5,0.5958577951728636,0.5942857142857143,0.42448979591836733,0.9904761904761905,0.4342629482071713,5.383057941799052e-05,251,146,105
Sensor 4,50,0.6481481481481481,0.6086956521739131,0.5,0.7777777777777778,0.625,9.427124314242974e-05,24,15,9
