Dataset,Granularity,AUC,F1,Precision,Recall,Accuracy,Best_Threshold,Total Days,Normal,Anom
Fault Free,10,0.7751736111111112,0.6885245901639344,0.5675675675675675,0.875,0.6833333333333333,7.302513404283673e-05,120,72,48
Fault Free,2.5,0.7238297013720743,0.622107969151671,0.5475113122171946,0.7202380952380952,0.6825053995680346,0.0005862455000169575,463,295,168
Fault Free,20,0.825075075075075,0.6938775510204082,0.5483870967741935,0.9444444444444444,0.7272727272727273,5.13449776917696e-05,55,37,18
Fault Free,25,0.8946236559139784,0.8275862068965517,0.8571428571428571,0.8,0.8913043478260869,0.00018250462017022073,46,31,15
Fault Free,5,0.7925309849967385,0.7336244541484717,0.6774193548387096,0.8,0.7569721115537849,0.0002470320323482156,251,146,105
Fault Free,50,0.8037037037037037,0.75,0.8571428571428571,0.6666666666666666,0.8333333333333334,0.00011303692735964432,24,15,9
Faulty (F+A),10,0.5706018518518519,0.5802469135802469,0.41228070175438597,0.9791666666666666,0.43333333333333335,1.7683720216155052e-05,120,72,48
Faulty (F+A),2.5,0.5756658595641646,0.5457627118644067,0.3815165876777251,0.9583333333333334,0.42116630669546434,9.784179565031081e-05,463,295,168
Faulty (F+A),20,0.6148648648648649,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7090909090909091,8.052382327150553e-05,55,37,18
Faulty (F+A),25,0.7333333333333334,0.6363636363636364,0.4827586206896552,0.9333333333333333,0.6521739130434783,2.296585626027081e-05,46,31,15
Faulty (F+A),5,0.6578277886497064,0.6109324758842444,0.46116504854368934,0.9047619047619048,0.5179282868525896,6.644096720265225e-05,251,146,105
Faulty (F+A),50,0.6703703703703704,0.6086956521739131,0.5,0.7777777777777778,0.625,2.4420072804787196e-05,24,15,9
Sensor 1,10,0.665798611111111,0.6013071895424836,0.4380952380952381,0.9583333333333334,0.49166666666666664,0.0001155168647528626,120,72,48
Sensor 1,2.5,0.5566485068603713,0.5391014975041597,0.3741339491916859,0.9642857142857143,0.4017278617710583,0.00022173058823682368,463,295,168
Sensor 1,20,0.7214714714714716,0.6428571428571429,0.9,0.5,0.8181818181818182,0.0006492366082966328,55,37,18
Sensor 1,25,0.6946236559139785,0.6222222222222222,0.4666666666666667,0.9333333333333333,0.6304347826086957,5.537128890864551e-05,46,31,15
Sensor 1,5,0.6376712328767122,0.5981308411214953,0.4444444444444444,0.9142857142857143,0.4860557768924303,0.00020905987184960395,251,146,105
Sensor 1,50,0.6851851851851852,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.0001215994416270405,24,15,9
Sensor 2,10,0.6396122685185186,0.6133333333333333,0.45098039215686275,0.9583333333333334,0.5166666666666667,2.524757474020589e-05,120,72,48
Sensor 2,2.5,0.5058514931396287,0.5324881141045958,0.36285097192224625,1.0,0.36285097192224625,4.4623382564168423e-05,463,295,168
Sensor 2,20,0.5405405405405406,0.4931506849315068,0.32727272727272727,1.0,0.32727272727272727,1.6545889593544416e-05,55,37,18
Sensor 2,25,0.5290322580645161,0.5098039215686274,0.3611111111111111,0.8666666666666667,0.45652173913043476,7.614111382281408e-06,46,31,15
Sensor 2,5,0.5688193085453359,0.5994236311239193,0.4297520661157025,0.9904761904761905,0.44621513944223107,1.0123349056812003e-05,251,146,105
Sensor 2,50,0.6259259259259259,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.003061533672735095,24,15,9
Sensor 3,10,0.6061921296296297,0.5827814569536424,0.42718446601941745,0.9166666666666666,0.475,0.00016436738951597363,120,72,48
Sensor 3,2.5,0.5223365617433414,0.5333333333333333,0.36363636363636365,1.0,0.3650107991360691,4.4623382564168423e-05,463,295,168
Sensor 3,20,0.6118618618618619,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.5636363636363636,0.0001744707697071135,55,37,18
Sensor 3,25,0.6344086021505375,0.5769230769230769,0.40540540540540543,1.0,0.5217391304347826,7.257174729602411e-05,46,31,15
Sensor 3,5,0.6463796477495107,0.608433734939759,0.44493392070484583,0.9619047619047619,0.4820717131474104,0.00022349960636347532,251,146,105
Sensor 3,50,0.7444444444444445,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.0002222509792773053,24,15,9
Sensor 4,10,0.5703125,0.5769230769230769,0.4166666666666667,0.9375,0.45,8.512133354088292e-05,120,72,48
Sensor 4,2.5,0.5343321226795804,0.536115569823435,0.367032967032967,0.9940476190476191,0.3758099352051836,8.87315982254222e-05,463,295,168
Sensor 4,20,0.6156156156156156,0.5714285714285714,0.45161290322580644,0.7777777777777778,0.6181818181818182,0.00010841349285328761,55,37,18
Sensor 4,25,0.5698924731182795,0.5106382978723404,0.375,0.8,0.5,4.3063981138402596e-05,46,31,15
Sensor 4,5,0.5856816699282453,0.6,0.42857142857142855,1.0,0.44223107569721115,3.05953981296625e-05,251,146,105
Sensor 4,50,0.4111111111111111,0.5806451612903226,0.4090909090909091,1.0,0.4583333333333333,2.1286226910888217e-05,24,15,9
