granularity,time_frame,day_index,ad_score,true_label,category
10,TF_1,0,1.828324639063794e-05,0,FF_Normal
10,TF_1,1,1.545534178148955e-05,0,FF_Normal
10,TF_1,2,1.5062186321301851e-05,0,FF_Normal
10,TF_1,3,3.193226802977733e-05,0,FF_Normal
10,TF_1,4,2.1177404050831683e-05,0,FF_Normal
10,TF_1,5,5.850893285241909e-05,0,FF_Normal
10,TF_1,6,3.1870058592176065e-05,0,FF_Normal
10,TF_1,7,4.079933205503039e-05,0,FF_Normal
10,TF_1,8,1.9316528778290376e-05,0,FA_Normal
10,TF_1,9,3.3468761102994904e-05,0,FA_Normal
10,TF_1,10,3.691158417495899e-05,0,FA_Normal
10,TF_1,11,3.661630762508139e-05,0,FA_Normal
10,TF_1,12,1.5932542737573385e-05,0,FA_Normal
10,TF_1,13,5.3905201639281586e-05,0,FA_Normal
10,TF_1,14,9.61627210926963e-06,0,FA_Normal
10,TF_1,15,1.2249269275343977e-05,0,FA_Normal
10,TF_1,16,8.281327609438449e-05,0,Raw_sensor_0_Normal
10,TF_1,17,0.00010813152766786516,0,Raw_sensor_0_Normal
10,TF_1,18,7.893363363109529e-05,0,Raw_sensor_0_Normal
10,TF_1,19,0.0002719846088439226,0,Raw_sensor_0_Normal
10,TF_1,20,0.00016571134619880468,0,Raw_sensor_0_Normal
10,TF_1,21,0.00014431118324864656,0,Raw_sensor_0_Normal
10,TF_1,22,7.362107862718403e-05,0,Raw_sensor_0_Normal
10,TF_1,23,4.195153451291844e-05,0,Raw_sensor_0_Normal
10,TF_1,24,1.0766996638267301e-05,0,Raw_sensor_1_Normal
10,TF_1,25,1.0766996638267301e-05,0,Raw_sensor_1_Normal
10,TF_1,26,1.0766996638267301e-05,0,Raw_sensor_1_Normal
10,TF_1,27,1.0766996638267301e-05,0,Raw_sensor_1_Normal
10,TF_1,28,1.0766996638267301e-05,0,Raw_sensor_1_Normal
10,TF_1,29,1.0766996638267301e-05,0,Raw_sensor_1_Normal
10,TF_1,30,1.0766996638267301e-05,0,Raw_sensor_1_Normal
10,TF_1,31,1.0766996638267301e-05,0,Raw_sensor_1_Normal
10,TF_1,32,0.00011286674998700619,0,Raw_sensor_2_Normal
