timestamp,pm25,pm25_0,pm25_1,pm25_2,pm25_3,cal_pm25_0,cal_pm25_1,cal_pm25_2,cal_pm25_3
1604383200,34.0,44.5,0.0,114.0,55.0,28.94378,14.004263,32.88968,37.293964
1604383201,33.9975,44.42857142857143,0.0,114.0,55.0,28.94378,14.004263,32.88968,37.293964
1604383202,33.995,44.35714285714285,0.0,114.0,55.0,28.94378,14.004263,32.88968,37.293964
1604383203,33.9925,44.285714285714285,0.0,114.0,55.0,28.94378,14.004263,32.88968,37.293964
1604383204,33.99,44.21428571428572,0.0,114.0,55.0,27.87072,14.004263,32.88968,37.293964
1604383205,33.9875,44.142857142857146,0.0,114.0,55.0,27.87072,14.004263,32.88968,37.293964
1604383206,33.985,44.07142857142857,0.0,114.0,55.0,27.87072,14.004263,32.88968,37.293964
1604383207,33.9825,44.0,0.0,114.0,55.0,27.87072,14.004263,32.88968,37.293964
1604383208,33.98,44.0,0.0,113.0,55.0,27.87072,14.004263,32.88968,37.293964
1604383209,33.9775,44.0,0.0,112.0,55.0,27.87072,14.004263,21.791782,37.293964
1604383210,33.975,43.0,0.0,111.0,55.0,27.79129,14.004263,21.791782,37.293964
1604383211,33.9725,43.0,0.0,111.0,55.0,27.79129,14.004263,21.791782,37.293964
1604383212,33.97,43.0,0.0,110.0,55.0,27.79129,14.004263,21.791782,37.293964
1604383213,33.9675,43.0,0.0,110.0,55.0,27.79129,14.004263,21.791782,37.293964
1604383214,33.965,43.0,0.0,110.0,55.0,27.79129,14.004263,21.791782,37.293964
1604383215,33.9625,43.0,0.0,110.0,55.0,27.79129,14.004263,21.791782,37.293964
1604383216,33.96,43.0,0.0,109.0,55.0,27.79129,14.004263,22.591055,37.293964
1604383217,33.9575,43.0,0.0,109.0,55.0,27.79129,14.004263,22.591055,37.293964
1604383218,33.955,43.0,0.0,109.0,55.0,27.79129,14.004263,22.591055,37.293964
1604383219,33.9525,43.0,0.0,109.0,55.0,27.79129,14.004263,22.591055,37.293964
1604383220,33.95,43.0,0.0,109.0,55.0,27.79129,14.004263,22.591055,37.293964
1604383221,33.9475,43.0,0.0,108.0,54.0,27.79129,14.004263,22.591055,37.641598
1604383222,33.945,42.0,0.0,108.0,54.0,27.617386,14.004263,22.591055,37.641598
1604383223,33.9425,42.0,0.0,107.0,54.0,27.617386,14.004263,22.591055,37.641598
1604383224,33.94,41.0,0.0,107.0,53.0,27.391455,14.004263,22.591055,34.192047
1604383225,33.9375,41.0,0.0,107.0,53.0,27.391455,14.004263,22.591055,34.192047
1604383226,33.935,40.0,0.0,107.0,53.0,25.433151,14.004263,22.591055,34.192047
1604383227,33.9325,39.0,0.0,107.0,53.0,20.11591,14.004263,22.591055,34.192047
1604383228,33.93,38.0,0.0,107.0,53.0,19.696518,14.004263,22.591055,34.192047
1604383229,33.9275,38.0,0.0,107.0,53.0,19.696518,14.004263,22.591055,34.192047
1604383230,33.925,38.0,0.0,107.0,53.0,19.696518,14.004263,22.591055,34.192047
1604383231,33.9225,38.0,0.0,107.0,53.0,19.696518,14.004263,22.591055,34.192047
1604383232,33.92,37.0,0.0,106.0,53.0,18.451042,14.004263,22.591055,34.192047
1604383233,33.9175,37.0,0.0,107.0,53.0,18.451042,14.004263,22.591055,34.192047
1604383234,33.915,37.0,0.0,106.0,53.0,18.451042,14.004263,22.591055,34.192047
1604383235,33.9125,38.0,0.0,106.0,53.0,19.696518,14.004263,22.591055,34.192047
1604383236,33.91,38.0,0.0,106.0,54.0,19.696518,14.004263,22.591055,37.641598
1604383237,33.9075,38.0,0.0,105.0,53.0,19.696518,14.004263,26.301706,34.192047
