timestamp,pm25_0,pm25_1,pm25_2,pm25_3,pm25,pm25_0_calibrated,pm25_1_calibrated,pm25_2_calibrated,pm25_3_calibrated,pm25_calibrated
1604894407,57,0,42,36,45.0,32.190087415763685,13.272220934123684,27.211701499542635,25.220347133054215,28.207378682786846
1604894408,56,0,42,36,44.833333333333336,31.85819502134895,13.272220934123684,27.211701499542635,25.220347133054215,28.152063283717723
1604894409,56,0,42,35,44.666666666666664,31.85819502134895,13.272220934123684,27.211701499542635,24.888454738639478,28.0967478846486
1604894410,55,0,42,35,44.5,31.526302626934218,13.272220934123684,27.211701499542635,24.888454738639478,28.041432485579477
1604894411,55,0,43,35,44.46666666666667,31.526302626934218,13.272220934123684,27.54359389395737,24.888454738639478,28.030369405765654
1604894412,54,0,43,34,44.333333333333336,31.19441023251948,13.272220934123684,27.54359389395737,24.55656234422474,27.986117086510355
1604894413,54,0,43,34,44.23809523809524,31.19441023251948,13.272220934123684,27.54359389395737,24.55656234422474,27.954508287042287
1604894414,54,0,43,33,44.125,31.19441023251948,13.272220934123684,27.54359389395737,24.224669949810004,27.916972837673953
1604894415,53,0,43,33,44.0,30.862517838104743,13.272220934123684,27.54359389395737,24.224669949810004,27.87548628837211
1604894416,53,0,43,33,43.900000000000006,30.862517838104743,13.272220934123684,27.54359389395737,24.224669949810004,27.84229704893064
1604894417,54,0,43,33,43.848484848484844,31.19441023251948,13.272220934123684,27.54359389395737,24.224669949810004,27.82519956194563
1604894418,54,0,43,33,43.80555555555555,31.19441023251948,13.272220934123684,27.54359389395737,24.224669949810004,27.8109516561248
1604894419,54,0,43,33,43.769230769230774,31.19441023251948,13.272220934123684,27.54359389395737,24.224669949810004,27.798895735814867
1604894420,54,0,42,33,43.714285714285715,31.19441023251948,13.272220934123684,27.211701499542635,24.224669949810004,27.7806598899679
1604894421,54,0,42,32,43.644444444444446,31.19441023251948,13.272220934123684,27.211701499542635,23.892777555395266,27.757480103691314
1604894422,54,0,42,32,43.583333333333336,31.19441023251948,13.272220934123684,27.211701499542635,23.892777555395266,27.737197790699305
1604894423,54,0,42,33,43.54901960784313,31.19441023251948,13.272220934123684,27.211701499542635,24.224669949810004,27.725809326185068
1604894424,55,0,42,33,43.53703703703704,31.526302626934218,13.272220934123684,27.211701499542635,24.224669949810004,27.72183240206899
1604894425,55,0,42,33,43.52631578947368,31.526302626934218,13.272220934123684,27.211701499542635,24.224669949810004,27.718274101544075
1604894426,55,0,42,33,43.51666666666667,31.526302626934218,13.272220934123684,27.211701499542635,24.224669949810004,27.715071631071655
1604894427,55,0,42,33,43.507936507936506,31.526302626934218,13.272220934123684,27.211701499542635,24.224669949810004,27.712174157787082
1604894428,56,0,41,33,43.5,31.85819502134895,13.272220934123684,26.879809105127897,24.224669949810004,27.70954009116474
1604894429,56,0,41,33,43.492753623188406,31.85819502134895,13.272220934123684,26.879809105127897,24.224669949810004,27.70713507381391
1604894430,57,0,41,33,43.5,32.190087415763685,13.272220934123684,26.879809105127897,24.224669949810004,27.70954009116474
1604894431,57,0,41,33,43.50666666666667,32.190087415763685,13.272220934123684,26.879809105127897,24.224669949810004,27.71175270712751
1604894432,57,0,40,33,43.5,32.190087415763685,13.272220934123684,26.54791671071316,24.224669949810004,27.70954009116474
1604894433,57,0,40,33,43.49382716049382,32.190087415763685,13.272220934123684,26.54791671071316,24.224669949810004,27.7074913726807
1604894434,57,0,40,33,43.48809523809524,32.190087415763685,13.272220934123684,26.54791671071316,24.224669949810004,27.70558899123123
1604894435,57,0,40,33,43.48275862068966,32.190087415763685,13.272220934123684,26.54791671071316,24.224669949810004,27.70381780850242
1604894436,58,0,40,33,43.48888888888889,32.52197981017842,13.272220934123684,26.54791671071316,24.224669949810004,27.705852397893466
1604894437,58,0,40,33,43.444444444444436,32.52197981017842,13.272220934123684,26.54791671071316,24.224669949810004,27.691101624808365
1604894438,58,0,40,33,43.41111111111112,32.52197981017842,13.272220934123684,26.54791671071316,24.224669949810004,27.680038544994545
1604894439,58,0,40,33,43.388888888888886,32.52197981017842,13.272220934123684,26.54791671071316,24.224669949810004,27.67266315845199
1604894440,58,0,40,33,43.37777777777777,32.52197981017842,13.272220934123684,26.54791671071316,24.224669949810004,27.668975465180715
1604894441,58,0,40,33,43.355555555555554,32.52197981017842,13.272220934123684,26.54791671071316,24.224669949810004,27.661600078638166
1604894442,59,0,40,33,43.36666666666667,32.85387220459316,13.272220934123684,26.54791671071316,24.224669949810004,27.66528777190944
1604894443,59,0,40,33,43.37777777777777,32.85387220459316,13.272220934123684,26.54791671071316,24.224669949810004,27.668975465180715
1604894444,61,0,41,33,43.43333333333334,33.517656993422634,13.272220934123684,26.879809105127897,24.224669949810004,27.687413931537094
1604894445,62,0,41,33,43.51111111111111,33.84954938783737,13.272220934123684,26.879809105127897,24.224669949810004,27.713227784436015
1604894446,63,0,41,33,43.6,34.18144178225211,13.272220934123684,26.879809105127897,24.224669949810004,27.742729330606217
1604894447,63,0,41,33,43.67777777777778,34.18144178225211,13.272220934123684,26.879809105127897,24.224669949810004,27.768543183505138
1604894448,65,0,42,33,43.78888888888889,34.84522657108158,13.272220934123684,27.211701499542635,24.224669949810004,27.80542011621789
1604894449,66,0,42,33,43.911111111111104,35.17711896549632,13.272220934123684,27.211701499542635,24.224669949810004,27.845984742201907
1604894450,66,0,42,33,44.044444444444444,35.17711896549632,13.272220934123684,27.211701499542635,24.224669949810004,27.89023706145721
1604894451,68,0,42,34,44.22222222222222,35.840903754325794,13.272220934123684,27.211701499542635,24.55656234422474,27.949240153797607
