timestamp,pm25,pm25_calibrated
1605614408,54.25,34.86911406953513
1605614409,54.25,34.86911406953513
1605614410,54.0,34.71816165115779
1605614411,54.25,34.86911406953513
1605614412,54.0,34.71816165115779
1605614413,54.0,34.71816165115779
1605614414,53.75,34.567209232780456
1605614415,53.75,34.567209232780456
1605614416,54.0,34.71816165115779
1605614417,54.0,34.71816165115779
1605614418,53.75,34.567209232780456
1605614419,53.75,34.567209232780456
1605614420,54.0,34.71816165115779
1605614421,53.75,34.567209232780456
1605614422,54.0,34.71816165115779
1605614423,54.0,34.71816165115779
1605614424,54.0,34.71816165115779
1605614425,54.25,34.86911406953513
1605614426,54.5,35.020066487912466
1605614427,54.5,35.020066487912466
1605614428,54.25,34.86911406953513
1605614429,54.5,35.020066487912466
1605614430,54.5,35.020066487912466
1605614431,55.0,35.321971324667146
1605614432,54.75,35.1710189062898
1605614433,55.0,35.321971324667146
1605614434,55.0,35.321971324667146
1605614435,55.0,35.321971324667146
1605614436,55.0,35.321971324667146
1605614437,54.75,35.1710189062898
1605614438,54.75,35.1710189062898
1605614439,55.0,35.321971324667146
1605614440,55.25,35.47292374304448
1605614441,55.25,35.47292374304448
1605614442,55.25,35.47292374304448
1605614443,55.5,35.62387616142182
1605614444,55.5,35.62387616142182
1605614445,55.5,35.62387616142182
1605614446,55.5,35.62387616142182
1605614447,55.25,35.47292374304448
1605614448,55.25,35.47292374304448
1605614449,55.25,35.47292374304448
1605614450,55.25,35.47292374304448
1605614451,55.25,35.47292374304448
1605614452,55.0,35.321971324667146
1605614453,54.75,35.1710189062898
1605614454,54.5,35.020066487912466
1605614455,54.5,35.020066487912466
1605614456,54.5,35.020066487912466
1605614457,54.5,35.020066487912466
1605614458,54.75,35.1710189062898
1605614459,54.75,35.1710189062898
1605614460,55.0,35.321971324667146
1605614461,55.25,35.47292374304448
1605614462,55.25,35.47292374304448
1605614463,55.25,35.47292374304448
1605614464,56.0,35.92578099817649
1605614465,56.0,35.92578099817649
1605614466,56.0,35.92578099817649
1605614467,56.0,35.92578099817649
1605614468,56.0,35.92578099817649
1605614469,56.0,35.92578099817649
1605614470,56.0,35.92578099817649
1605614471,56.0,35.92578099817649
1605614472,56.0,35.92578099817649
1605614473,55.75,35.774828579799156
1605614474,56.0,35.92578099817649
1605614484,56.0,35.92578099817649
1605614485,56.25,36.076733416553836
1605614486,56.75,36.37863825330851
1605614487,56.75,36.37863825330851
1605614488,56.5,36.22768583493117
1605614489,56.5,36.22768583493117
1605614490,56.5,36.22768583493117
1605614491,56.25,36.076733416553836
1605614492,56.5,36.22768583493117
1605614493,56.5,36.22768583493117
1605614494,56.25,36.076733416553836
1605614495,56.0,35.92578099817649
1605614496,55.75,35.774828579799156
1605614497,55.75,35.774828579799156
1605614498,55.75,35.774828579799156
1605614499,55.75,35.774828579799156
1605614500,55.75,35.774828579799156
1605614501,55.5,35.62387616142182
1605614502,55.5,35.62387616142182
1605614503,56.0,35.92578099817649
1605614504,56.0,35.92578099817649
1605614505,55.75,35.774828579799156
1605614506,55.75,35.774828579799156
1605614507,56.0,35.92578099817649
1605614508,56.0,35.92578099817649
1605614509,56.0,35.92578099817649
1605614510,56.0,35.92578099817649
1605614511,55.75,35.774828579799156
1605614512,55.75,35.774828579799156
1605614513,55.5,35.62387616142182
1605614514,55.5,35.62387616142182
1605614515,55.25,35.47292374304448
1605614516,55.25,35.47292374304448
1605614517,55.75,35.774828579799156
1605614518,55.5,35.62387616142182
1605614519,55.5,35.62387616142182
1605614520,55.75,35.774828579799156
1605614521,55.75,35.774828579799156
1605614522,55.5,35.62387616142182
1605614523,55.5,35.62387616142182
1605614524,56.0,35.92578099817649
1605614525,55.5,35.62387616142182
1605614526,55.5,35.62387616142182
1605614527,55.75,35.774828579799156
1605614528,55.75,35.774828579799156
1605614529,55.5,35.62387616142182
1605614530,55.25,35.47292374304448
1605614531,55.0,35.321971324667146
1605614532,54.75,35.1710189062898
1605614533,54.5,35.020066487912466
1605614534,54.25,34.86911406953513
1605614535,54.25,34.86911406953513
1605614536,54.0,34.71816165115779
1605614537,53.75,34.567209232780456
1605614538,53.5,34.41625681440311
1605614539,53.5,34.41625681440311
1605614540,53.5,34.41625681440311
1605614541,53.75,34.567209232780456
1605614542,53.75,34.567209232780456
1605614543,53.75,34.567209232780456
1605614544,53.5,34.41625681440311
1605614545,53.5,34.41625681440311
1605614546,53.5,34.41625681440311
1605614547,53.5,34.41625681440311
1605614548,53.5,34.41625681440311
1605614549,53.75,34.567209232780456
1605614550,53.75,34.567209232780456
1605614551,53.75,34.567209232780456
1605614552,54.0,34.71816165115779
1605614553,54.0,34.71816165115779
1605614554,54.5,35.020066487912466
1605614555,54.5,35.020066487912466
1605614556,54.5,35.020066487912466
1605614557,55.0,35.321971324667146
1605614558,55.25,35.47292374304448
1605614559,55.5,35.62387616142182
1605614560,55.5,35.62387616142182
1605614561,55.75,35.774828579799156
1605614562,55.5,35.62387616142182
1605614563,55.5,35.62387616142182
1605614564,55.25,35.47292374304448
1605614565,55.25,35.47292374304448
1605614566,55.25,35.47292374304448
1605614567,55.25,35.47292374304448
1605614568,55.0,35.321971324667146
1605614569,55.0,35.321971324667146
1605614570,55.25,35.47292374304448
1605614571,55.25,35.47292374304448
1605614572,55.25,35.47292374304448
1605614573,55.5,35.62387616142182
1605614574,55.5,35.62387616142182
1605614575,55.25,35.47292374304448
1605614576,55.5,35.62387616142182
1605614577,55.25,35.47292374304448
1605614578,55.25,35.47292374304448
1605614579,55.0,35.321971324667146
