timestamp,pm25,pm25_fa,cal_pm25_fa
1605340080,25.2,34.75,25.61687
1605340081,25.20111111111111,34.75,25.61687
1605340082,25.202222222222222,34.25,25.61687
1605340083,25.203333333333333,34.5,25.61687
1605340084,25.204444444444444,34.25,25.61687
1605340085,25.205555555555556,34.25,25.61687
1605340086,25.206666666666667,34.25,25.61687
1605340087,25.20777777777778,34.5,25.61687
1605340088,25.20888888888889,34.5,25.61687
1605340089,25.21,35.0,25.61687
1605340090,25.211111111111112,35.25,25.61687
1605340091,25.212222222222223,35.0,25.61687
1605340092,25.213333333333335,35.0,25.61687
1605340093,25.214444444444446,35.25,25.61687
1605340094,25.215555555555557,35.25,25.61687
1605340095,25.21666666666667,35.0,25.61687
1605340096,25.217777777777776,35.0,25.61687
1605340097,25.218888888888888,35.25,25.61687
1605340098,25.22,35.0,25.61687
1605340099,25.22111111111111,35.0,25.61687
1605340100,25.22222222222222,34.5,25.61687
1605340101,25.223333333333333,34.5,25.61687
1605340102,25.224444444444444,34.25,25.61687
1605340103,25.225555555555555,34.5,25.61687
1605340104,25.226666666666667,34.75,25.61687
1605340105,25.227777777777778,34.75,25.61687
1605340106,25.22888888888889,34.75,25.61687
1605340107,25.23,34.75,25.61687
1605340108,25.23111111111111,34.75,25.61687
1605340109,25.232222222222223,34.75,25.61687
1605340110,25.233333333333334,34.5,25.61687
1605340111,25.234444444444446,34.5,25.61687
1605340112,25.235555555555557,34.5,25.61687
1605340113,25.236666666666668,34.5,25.61687
1605340114,25.23777777777778,34.5,25.61687
1605340115,25.238888888888887,34.25,25.61687
1605340116,25.240000000000002,34.0,25.64232
1605340117,25.24111111111111,34.0,25.64232
1605340118,25.24222222222222,33.75,25.64232
1605340119,25.243333333333332,33.5,25.59845
1605340120,25.244444444444444,33.5,25.59845
1605340121,25.245555555555555,33.25,25.519531
1605340122,25.246666666666666,33.0,25.519531
1605340123,25.247777777777777,33.0,25.519531
1605340124,25.24888888888889,33.0,25.519531
1605340125,25.25,33.0,25.519531
1605340126,25.25111111111111,33.0,25.519531
1605340127,25.252222222222223,33.0,25.519531
1605340128,25.253333333333334,33.0,25.519531
1605340129,25.254444444444445,33.0,25.519531
1605340130,25.255555555555556,33.0,25.519531
1605340131,25.256666666666668,33.0,25.519531
1605340132,25.25777777777778,33.0,25.519531
1605340133,25.25888888888889,33.25,25.519531
1605340134,25.26,33.25,25.519531
1605340135,25.261111111111113,33.0,25.519531
1605340136,25.26222222222222,33.0,25.519531
1605340137,25.263333333333335,33.25,25.519531
1605340138,25.264444444444443,33.25,25.519531
1605340139,25.265555555555554,33.25,25.519531
1605340140,25.266666666666666,33.25,25.519531
1605340141,25.267777777777777,33.25,25.519531
1605340142,25.26888888888889,33.5,25.59845
1605340143,25.27,33.75,25.64232
1605340144,25.27111111111111,33.75,25.64232
1605340145,25.272222222222222,34.0,25.64232
1605340146,25.273333333333333,34.0,25.64232
1605340147,25.274444444444445,34.0,25.64232
1605340148,25.275555555555556,34.25,25.61687
1605340149,25.276666666666667,34.5,25.61687
1605340150,25.27777777777778,34.75,25.61687
1605340151,25.27888888888889,34.75,25.61687
1605340152,25.28,35.0,25.61687
1605340153,25.281111111111112,35.0,25.61687
1605340154,25.282222222222224,35.25,25.61687
1605340155,25.283333333333335,35.5,28.248962
1605340156,25.284444444444446,35.5,28.248962
1605340157,25.285555555555554,35.5,28.248962
1605340158,25.28666666666667,35.75,28.248962
1605340159,25.287777777777777,36.0,28.248962
1605340160,25.288888888888888,36.0,28.248962
1605340161,25.29,36.25,28.248962
1605340162,25.29111111111111,36.25,28.248962
1605340163,25.29222222222222,36.25,28.248962
1605340164,25.293333333333333,36.25,28.248962
1605340165,25.294444444444444,36.25,28.248962
1605340166,25.295555555555556,36.25,28.248962
1605340167,25.296666666666667,36.0,28.248962
1605340168,25.297777777777778,36.0,28.248962
1605340169,25.29888888888889,36.0,28.248962
1605340170,25.3,36.0,28.248962
1605340171,25.301111111111112,35.5,28.248962
1605340172,25.302222222222223,35.5,28.248962
1605340173,25.303333333333335,35.5,28.248962
1605340174,25.304444444444446,35.25,25.61687
1605340175,25.305555555555557,35.25,25.61687
1605340176,25.30666666666667,35.0,25.61687
1605340177,25.30777777777778,34.75,25.61687
1605340178,25.308888888888887,34.5,25.61687
1605340179,25.31,34.25,25.61687
1605340180,25.31111111111111,34.25,25.61687
1605340181,25.31222222222222,34.0,25.64232
1605340182,25.313333333333333,33.5,25.59845
1605340183,25.314444444444444,33.5,25.59845
1605340184,25.315555555555555,33.5,25.59845
1605340185,25.316666666666666,33.25,25.519531
1605340186,25.317777777777778,33.25,25.519531
1605340187,25.31888888888889,33.25,25.519531
1605340188,25.32,33.25,25.519531
1605340189,25.32111111111111,33.25,25.519531
1605340190,25.322222222222223,33.25,25.519531
1605340191,25.323333333333334,33.5,25.59845
1605340192,25.324444444444445,33.75,25.64232
1605340193,25.325555555555557,34.0,25.64232
1605340194,25.326666666666668,34.0,25.64232
1605340195,25.32777777777778,34.25,25.61687
1605340196,25.32888888888889,34.25,25.61687
1605340197,25.33,34.5,25.61687
1605340198,25.331111111111113,34.5,25.61687
1605340199,25.33222222222222,34.5,25.61687
1605340200,25.333333333333332,34.75,25.61687
1605340201,25.334444444444443,35.0,25.61687
1605340202,25.335555555555555,35.5,28.248962
1605340203,25.336666666666666,35.5,28.248962
1605340204,25.337777777777777,35.5,28.248962
1605340205,25.33888888888889,35.5,28.248962
1605340206,25.34,36.0,28.248962
1605340207,25.34111111111111,36.25,28.248962
1605340208,25.342222222222222,36.25,28.248962
1605340209,25.343333333333334,36.0,28.248962
1605340210,25.344444444444445,36.0,28.248962
1605340211,25.345555555555556,35.75,28.248962
1605340212,25.346666666666668,36.0,28.248962
1605340213,25.34777777777778,35.5,28.248962
1605340214,25.34888888888889,35.25,25.61687
1605340215,25.35,35.0,25.61687
1605340216,25.351111111111113,34.75,25.61687
1605340217,25.352222222222224,34.25,25.61687
1605340218,25.35333333333333,34.25,25.61687
1605340219,25.354444444444447,34.25,25.61687
1605340220,25.355555555555554,33.75,25.64232
1605340221,25.356666666666666,34.25,25.61687
1605340222,25.357777777777777,34.5,25.61687
1605340223,25.358888888888888,34.5,25.61687
1605340224,25.36,34.5,25.61687
1605340225,25.36111111111111,35.0,25.61687
1605340226,25.362222222222222,35.0,25.61687
1605340227,25.363333333333333,35.0,25.61687
1605340228,25.364444444444445,35.0,25.61687
1605340229,25.365555555555556,35.5,28.248962
1605340230,25.366666666666667,35.5,28.248962
1605340231,25.36777777777778,35.5,28.248962
1605340232,25.36888888888889,35.25,25.61687
1605340233,25.37,35.0,25.61687
1605340234,25.371111111111112,35.0,25.61687
1605340235,25.372222222222224,34.75,25.61687
1605340236,25.373333333333335,34.5,25.61687
1605340237,25.374444444444446,34.5,25.61687
1605340238,25.375555555555557,34.5,25.61687
1605340239,25.376666666666665,34.25,25.61687
1605340240,25.377777777777776,34.25,25.61687
1605340241,25.378888888888888,34.25,25.61687
1605340242,25.38,34.25,25.61687
1605340243,25.38111111111111,34.25,25.61687
1605340244,25.38222222222222,34.25,25.61687
1605340245,25.383333333333333,34.5,25.61687
1605340246,25.384444444444444,34.5,25.61687
1605340247,25.385555555555555,34.5,25.61687
1605340248,25.386666666666667,34.75,25.61687
1605340249,25.387777777777778,34.75,25.61687
1605340250,25.38888888888889,34.75,25.61687
1605340251,25.39,34.75,25.61687
1605340252,25.391111111111112,35.0,25.61687
1605340253,25.392222222222223,34.75,25.61687
1605340254,25.393333333333334,34.75,25.61687
1605340255,25.394444444444446,34.75,25.61687
1605340256,25.395555555555557,34.75,25.61687
1605340257,25.39666666666667,34.75,25.61687
1605340258,25.397777777777776,34.5,25.61687
1605340259,25.39888888888889,34.5,25.61687
1605340260,25.4,34.25,25.61687
1605340261,25.40111111111111,34.25,25.61687
1605340262,25.40222222222222,34.25,25.61687
1605340263,25.403333333333332,34.25,25.61687
1605340264,25.404444444444444,34.25,25.61687
1605340265,25.405555555555555,34.25,25.61687
1605340266,25.406666666666666,33.75,25.64232
1605340267,25.407777777777778,33.75,25.64232
1605340268,25.40888888888889,33.75,25.64232
1605340269,25.41,33.75,25.64232
1605340270,25.41111111111111,34.25,25.61687
1605340271,25.412222222222223,34.25,25.61687
1605340272,25.413333333333334,34.25,25.61687
1605340273,25.414444444444445,34.5,25.61687
1605340274,25.415555555555557,34.5,25.61687
1605340275,25.416666666666668,34.75,25.61687
1605340276,25.41777777777778,35.0,25.61687
1605340277,25.41888888888889,34.75,25.61687
1605340278,25.42,35.0,25.61687
1605340279,25.42111111111111,35.0,25.61687
1605340280,25.422222222222224,34.75,25.61687
1605340281,25.423333333333332,34.5,25.61687
1605340282,25.424444444444443,34.5,25.61687
1605340283,25.425555555555555,34.5,25.61687
1605340284,25.426666666666666,34.5,25.61687
1605340285,25.427777777777777,34.5,25.61687
1605340286,25.42888888888889,34.0,25.64232
1605340287,25.43,34.0,25.64232
1605340288,25.43111111111111,34.5,25.61687
1605340289,25.432222222222222,34.5,25.61687
1605340290,25.433333333333334,34.5,25.61687
1605340291,25.434444444444445,34.0,25.64232
1605340292,25.435555555555556,34.0,25.64232
1605340293,25.436666666666667,34.25,25.61687
1605340294,25.43777777777778,34.0,25.64232
1605340295,25.43888888888889,34.0,25.64232
1605340296,25.44,33.75,25.64232
1605340297,25.441111111111113,33.75,25.64232
1605340298,25.442222222222224,34.0,25.64232
1605340299,25.443333333333335,34.25,25.61687
1605340300,25.444444444444443,34.5,25.61687
1605340301,25.445555555555558,34.5,25.61687
1605340302,25.446666666666665,34.75,25.61687
1605340303,25.447777777777777,34.75,25.61687
1605340304,25.448888888888888,35.0,25.61687
1605340305,25.45,35.0,25.61687
1605340306,25.45111111111111,35.25,25.61687
1605340307,25.452222222222222,35.25,25.61687
1605340308,25.453333333333333,35.5,28.248962
1605340309,25.454444444444444,35.5,28.248962
1605340310,25.455555555555556,35.5,28.248962
1605340311,25.456666666666667,35.5,28.248962
1605340312,25.45777777777778,35.25,25.61687
1605340313,25.45888888888889,35.0,25.61687
1605340314,25.46,35.0,25.61687
1605340315,25.461111111111112,34.9375,25.61687
1605340316,25.462222222222223,34.875,25.61687
1605340317,25.463333333333335,34.8125,25.61687
1605340318,25.464444444444446,34.75,25.61687
1605340319,25.465555555555557,34.6875,25.61687
1605340320,25.46666666666667,34.625,25.61687
1605340321,25.467777777777776,34.5625,25.61687
1605340322,25.468888888888888,34.5,25.61687
1605340323,25.47,34.5,25.61687
1605340324,25.47111111111111,34.5,25.61687
1605340325,25.47222222222222,34.75,25.61687
1605340326,25.473333333333333,34.25,25.61687
1605340327,25.474444444444444,34.25,25.61687
1605340328,25.475555555555555,34.5,25.61687
1605340329,25.476666666666667,34.5,25.61687
1605340330,25.477777777777778,34.75,25.61687
1605340331,25.47888888888889,35.0,25.61687
1605340332,25.48,35.0,25.61687
1605340333,25.48111111111111,35.0,25.61687
1605340334,25.482222222222223,35.0,25.61687
1605340335,25.483333333333334,35.25,25.61687
1605340336,25.484444444444446,35.25,25.61687
1605340337,25.485555555555557,35.25,25.61687
1605340338,25.486666666666668,35.75,28.248962
1605340339,25.48777777777778,35.25,25.61687
1605340340,25.488888888888887,35.25,25.61687
1605340341,25.490000000000002,35.0,25.61687
1605340342,25.49111111111111,35.0,25.61687
1605340343,25.49222222222222,34.75,25.61687
1605340344,25.493333333333332,34.5,25.61687
1605340345,25.494444444444444,34.5,25.61687
1605340346,25.495555555555555,34.75,25.61687
1605340347,25.496666666666666,34.75,25.61687
1605340348,25.497777777777777,34.75,25.61687
1605340349,25.49888888888889,35.0,25.61687
1605340350,25.5,35.0,25.61687
1605340351,25.50111111111111,35.0,25.61687
1605340352,25.502222222222223,35.0,25.61687
1605340353,25.503333333333334,35.0,25.61687
1605340354,25.504444444444445,34.75,25.61687
1605340355,25.505555555555556,34.5,25.61687
1605340356,25.506666666666668,34.5,25.61687
1605340357,25.50777777777778,34.75,25.61687
1605340358,25.50888888888889,34.75,25.61687
1605340359,25.51,35.0,25.61687
1605340360,25.511111111111113,35.0,25.61687
1605340361,25.51222222222222,35.0,25.61687
1605340362,25.513333333333335,35.0,25.61687
1605340363,25.514444444444443,34.75,25.61687
1605340364,25.515555555555554,34.5,25.61687
1605340365,25.516666666666666,34.25,25.61687
1605340366,25.517777777777777,34.5,25.61687
1605340367,25.51888888888889,34.5,25.61687
1605340368,25.52,34.5,25.61687
1605340369,25.52111111111111,34.5,25.61687
1605340370,25.522222222222222,34.75,25.61687
1605340371,25.523333333333333,34.0,25.64232
1605340372,25.524444444444445,34.0,25.64232
1605340373,25.525555555555556,34.0,25.64232
1605340374,25.526666666666667,34.25,25.61687
1605340375,25.52777777777778,34.25,25.61687
1605340376,25.52888888888889,34.25,25.61687
1605340377,25.53,34.0,25.64232
1605340378,25.531111111111112,34.0,25.64232
1605340379,25.532222222222224,34.0,25.64232
1605340380,25.533333333333335,34.0,25.64232
1605340381,25.534444444444446,34.0,25.64232
1605340382,25.535555555555554,34.25,25.61687
1605340383,25.53666666666667,34.25,25.61687
1605340384,25.537777777777777,34.5,25.61687
1605340385,25.538888888888888,34.5,25.61687
1605340386,25.54,34.5,25.61687
1605340387,25.54111111111111,34.75,25.61687
1605340388,25.54222222222222,34.5,25.61687
1605340389,25.543333333333333,34.5,25.61687
1605340390,25.544444444444444,34.25,25.61687
1605340391,25.545555555555556,34.25,25.61687
1605340392,25.546666666666667,34.25,25.61687
1605340393,25.547777777777778,34.25,25.61687
1605340394,25.54888888888889,34.25,25.61687
1605340395,25.55,34.25,25.61687
1605340396,25.551111111111112,34.25,25.61687
1605340397,25.552222222222223,34.25,25.61687
1605340398,25.553333333333335,34.5,25.61687
1605340399,25.554444444444446,34.5,25.61687
1605340400,25.555555555555557,34.75,25.61687
1605340401,25.55666666666667,34.75,25.61687
1605340402,25.55777777777778,34.75,25.61687
1605340403,25.558888888888887,35.0,25.61687
1605340404,25.56,35.25,25.61687
1605340405,25.56111111111111,35.25,25.61687
1605340406,25.56222222222222,35.0,25.61687
1605340407,25.563333333333333,35.0,25.61687
1605340408,25.564444444444444,34.75,25.61687
1605340409,25.565555555555555,34.75,25.61687
1605340410,25.566666666666666,34.75,25.61687
1605340411,25.567777777777778,34.75,25.61687
1605340412,25.56888888888889,35.0,25.61687
1605340413,25.57,35.0,25.61687
1605340414,25.57111111111111,34.5,25.61687
1605340415,25.572222222222223,34.25,25.61687
1605340416,25.573333333333334,34.25,25.61687
1605340417,25.574444444444445,34.25,25.61687
1605340418,25.575555555555557,34.25,25.61687
1605340419,25.576666666666668,34.25,25.61687
1605340420,25.57777777777778,34.25,25.61687
1605340421,25.57888888888889,34.0,25.64232
1605340422,25.58,34.25,25.61687
1605340423,25.581111111111113,34.5,25.61687
1605340424,25.58222222222222,34.5,25.61687
1605340425,25.583333333333332,34.5,25.61687
1605340426,25.584444444444443,34.5,25.61687
1605340427,25.585555555555555,35.0,25.61687
1605340428,25.586666666666666,35.0,25.61687
1605340429,25.587777777777777,35.0,25.61687
1605340430,25.58888888888889,34.75,25.61687
1605340431,25.59,35.0,25.61687
1605340432,25.59111111111111,35.25,25.61687
1605340433,25.592222222222222,35.25,25.61687
1605340434,25.593333333333334,35.25,25.61687
1605340435,25.594444444444445,35.5,28.248962
1605340436,25.595555555555556,35.5,28.248962
1605340437,25.596666666666668,35.25,25.61687
1605340438,25.59777777777778,35.25,25.61687
1605340439,25.59888888888889,35.0,25.61687
1605340440,25.6,35.0,25.61687
1605340441,25.601111111111113,34.75,25.61687
1605340442,25.602222222222224,34.5,25.61687
1605340443,25.60333333333333,34.5,25.61687
1605340444,25.604444444444447,34.0,25.64232
1605340445,25.605555555555554,34.0,25.64232
1605340446,25.606666666666666,34.0,25.64232
1605340447,25.607777777777777,34.0,25.64232
1605340448,25.608888888888888,34.0,25.64232
1605340449,25.61,34.0,25.64232
1605340450,25.61111111111111,33.75,25.64232
1605340451,25.612222222222222,33.75,25.64232
1605340452,25.613333333333333,33.75,25.64232
1605340453,25.614444444444445,33.75,25.64232
1605340454,25.615555555555556,34.0,25.64232
1605340455,25.616666666666667,34.25,25.61687
1605340456,25.61777777777778,34.25,25.61687
1605340457,25.61888888888889,34.25,25.61687
1605340458,25.62,34.5,25.61687
1605340459,25.621111111111112,34.5,25.61687
