timestamp,pm25_0,pm25_1,pm25_2,pm25_3,temperature,humidity
1604836800,21.714285714285715,0.0,45.0,0.0,21.5,43.9
1604836801,21.75,0.0,45.0,0.0,21.5,43.9
1604836802,21.785714285714285,0.0,45.0,0.0,21.5,43.9
1604836803,21.821428571428573,0.0,45.0,0.0,21.5,43.9
1604836804,21.857142857142858,0.0,45.0,0.0,21.5,43.9
1604836805,21.892857142857142,0.0,45.0,0.0,21.5,43.9
1604836806,21.928571428571427,0.0,45.0,0.0,21.5,43.9
1604836807,21.964285714285715,0.0,45.0,0.0,21.5,43.9
1604836808,22.0,0.0,45.0,0.0,21.5,43.9
1604836809,22.0,0.0,45.0,0.0,21.5,43.9
1604836810,21.0,0.0,46.0,0.0,21.5,43.9
1604836811,21.0,0.0,46.0,0.0,21.5,43.9
1604836812,21.0,0.0,47.0,0.0,21.5,43.9
1604836813,21.0,0.0,47.0,0.0,21.4,43.8
1604836814,21.0,0.0,48.0,0.0,21.4,43.8
1604836815,21.0,0.0,48.0,0.0,21.4,43.8
1604836816,20.0,0.0,48.0,0.0,21.4,43.8
1604836817,20.0,0.0,51.0,0.0,21.4,43.8
1604836818,20.0,0.0,52.0,0.0,21.5,43.9
1604836819,20.0,0.0,53.0,0.0,21.5,43.9
1604836820,20.0,0.0,53.0,0.0,21.5,43.9
1604836821,20.0,0.0,53.0,0.0,21.5,43.9
1604836822,20.0,0.0,53.0,0.0,21.5,43.9
1604836823,20.0,0.0,52.0,0.0,21.5,43.9
1604836824,20.0,0.0,52.0,0.0,21.5,43.9
1604836825,20.0,0.0,50.0,0.0,21.5,43.9
1604836826,20.0,0.0,49.0,0.0,21.5,43.9
1604836827,20.0,0.0,48.0,0.0,21.5,43.9
1604836828,20.0,0.0,46.0,0.0,21.5,43.9
1604836829,20.0,0.0,45.0,0.0,21.5,43.9
1604836830,20.0,0.0,44.0,0.0,21.5,43.9
1604836831,20.0,0.0,44.0,0.0,21.5,43.9
1604836832,21.0,0.0,44.0,0.0,21.5,43.9
1604836833,21.0,0.0,44.0,0.0,21.5,43.9
1604836834,21.0,0.0,44.0,0.0,21.5,43.9
1604836835,21.0,0.0,45.0,0.0,21.5,43.9
1604836836,21.0,0.0,45.0,0.0,21.5,43.9
1604836837,21.0,0.0,46.0,0.0,21.5,43.9
1604836838,22.0,0.0,47.0,0.0,21.4,43.9
1604836839,22.0,0.0,47.0,0.0,21.4,43.9
1604836840,22.0,0.0,48.0,0.0,21.4,43.9
1604836841,22.0,0.0,48.0,0.0,21.4,43.9
1604836842,22.0,0.0,48.0,0.0,21.4,43.9
1604836843,22.0,0.0,48.0,0.0,21.4,43.9
1604836844,22.0,0.0,48.0,0.0,21.4,43.9
1604836845,22.0,0.0,48.0,0.0,21.4,43.9
1604836846,22.0,0.0,48.0,0.0,21.4,43.9
1604836847,22.0,0.0,48.0,0.0,21.4,43.9
1604836848,22.0,0.0,47.0,0.0,21.5,44.0
1604836849,22.0,0.0,46.0,0.0,21.5,44.0
1604836850,23.0,0.0,46.0,0.0,21.5,44.0
1604836851,23.0,0.0,45.0,0.0,21.5,44.0
1604836852,23.0,0.0,45.0,0.0,21.5,44.0
1604836853,23.0,0.0,45.0,0.0,21.4,44.0
1604836854,23.0,0.0,45.0,0.0,21.4,44.0
1604836855,23.0,0.0,45.0,0.0,21.4,44.0
1604836856,23.0,0.0,45.0,0.0,21.4,44.0
1604836857,23.0,0.0,45.0,0.0,21.4,44.0
1604836858,23.0,0.0,45.0,0.0,21.4,44.0
1604836859,23.0,0.0,45.0,0.0,21.4,44.0
1604836860,23.0,0.0,45.0,0.0,21.4,44.0
1604836861,23.0,0.0,45.0,0.0,21.4,44.0
1604836862,23.0,0.0,44.0,0.0,21.4,44.0
1604836863,23.0,0.0,44.0,0.0,21.4,44.0
1604836864,23.0,0.0,43.0,0.0,21.4,44.0
1604836865,23.0,0.0,43.0,0.0,21.4,44.0
1604836866,23.0,0.0,42.0,0.0,21.4,44.0
1604836867,23.0,0.0,41.0,0.0,21.4,44.0
1604836868,23.0,0.0,40.0,0.0,21.4,44.0
1604836869,22.0,0.0,40.0,0.0,21.4,44.0
1604836870,22.0,0.0,38.0,0.0,21.4,44.0
1604836871,22.0,0.0,38.0,0.0,21.4,44.0
1604836872,22.0,0.0,38.0,0.0,21.4,44.0
1604836873,21.0,0.0,37.0,0.0,21.4,44.1
1604836874,21.0,0.0,37.0,0.0,21.4,44.1
1604836875,21.0,0.0,38.0,0.0,21.4,44.1
1604836876,21.0,0.0,38.0,0.0,21.4,44.1
1604836877,21.0,0.0,39.0,0.0,21.4,44.1
1604836878,20.0,0.0,40.0,0.0,21.4,44.1
1604836879,20.0,0.0,40.0,0.0,21.4,44.1
1604836880,20.0,0.0,42.0,0.0,21.4,44.1
1604836881,20.0,0.0,43.0,0.0,21.4,44.1
1604836882,20.0,0.0,44.0,0.0,21.4,44.1
1604836883,20.0,0.0,45.0,0.0,21.4,44.1
1604836884,20.0,0.0,46.0,0.0,21.4,44.1
1604836885,20.0,0.0,47.0,0.0,21.4,44.1
1604836886,20.0,0.0,47.0,0.0,21.4,44.1
1604836887,20.0,0.0,47.0,0.0,21.4,44.1
1604836888,20.0,0.0,49.0,0.0,21.4,44.1
1604836889,21.0,0.0,49.0,0.0,21.4,44.1
1604836890,21.0,0.0,50.0,0.0,21.4,44.1
1604836891,21.0,0.0,50.0,0.0,21.4,44.1
1604836892,21.0,0.0,50.0,0.0,21.4,44.1
1604836893,21.0,0.0,50.0,0.0,21.4,44.2
1604836894,21.0,0.0,50.0,0.0,21.4,44.2
1604836895,21.0,0.0,50.0,0.0,21.4,44.2
1604836896,21.0,0.0,49.0,0.0,21.4,44.2
1604836897,21.0,0.0,49.0,0.0,21.4,44.2
1604836898,21.0,0.0,48.0,0.0,21.4,44.2
1604836899,21.0,0.0,48.0,0.0,21.4,44.2
1604836900,21.0,0.0,47.0,0.0,21.4,44.2
1604836901,21.0,0.0,47.0,0.0,21.4,44.2
1604836902,21.0,0.0,46.0,0.0,21.4,44.2
1604836903,21.0,0.0,46.0,0.0,21.4,44.2
1604836904,21.0,0.0,45.0,0.0,21.4,44.2
1604836905,21.0,0.0,45.0,0.0,21.4,44.2
1604836906,21.0,0.0,44.0,0.0,21.4,44.2
1604836907,21.0,0.0,44.0,0.0,21.4,44.2
1604836908,21.0,0.0,44.0,0.0,21.4,44.2
1604836909,21.0,0.0,43.0,0.0,21.4,44.2
1604836910,21.0,0.0,43.0,0.0,21.4,44.2
1604836911,21.0,0.0,43.0,0.0,21.4,44.2
1604836912,21.0,0.0,42.0,0.0,21.4,44.2
1604836913,21.0,0.0,42.0,0.0,21.4,44.2
1604836914,21.0,0.0,42.0,0.0,21.4,44.2
1604836915,21.0,0.0,42.0,0.0,21.4,44.2
1604836916,21.0,0.0,42.0,0.0,21.4,44.2
1604836917,21.0,0.0,42.0,0.0,21.4,44.2
1604836918,21.0,0.0,42.0,0.0,21.4,44.2
1604836919,21.0,0.0,42.0,0.0,21.4,44.2
1604836920,21.0,0.0,42.0,0.0,21.4,44.2
1604836921,21.0,0.0,41.0,0.0,21.4,44.2
1604836922,21.0,0.0,41.0,0.0,21.4,44.2
1604836923,21.0,0.0,41.0,0.0,21.4,44.2
1604836924,21.0,0.0,41.0,0.0,21.4,44.2
1604836925,21.0,0.0,40.0,0.0,21.4,44.2
1604836926,21.0,0.0,40.0,0.0,21.4,44.2
1604836927,21.0,0.0,39.0,0.0,21.4,44.2
1604836928,21.0,0.0,39.0,0.0,21.3,44.2
1604836929,21.0,0.0,39.0,0.0,21.3,44.2
1604836930,21.0,0.0,39.0,0.0,21.3,44.2
1604836931,21.0,0.0,39.0,0.0,21.3,44.2
1604836932,21.0,0.0,40.0,0.0,21.3,44.2
