fpr,tpr,thresholds
0.0,0.0,inf
0.023728813559322035,0.03571428571428571,0.03404399752616882
0.05084745762711865,0.08333333333333333,0.007787580136209726
0.07457627118644068,0.09523809523809523,0.007109137251973152
0.1016949152542373,0.10714285714285714,0.004826758988201618
0.1288135593220339,0.1130952380952381,0.0033436769153922796
0.15254237288135594,0.13095238095238096,0.003226768458262086
0.17966101694915254,0.17857142857142858,0.003109293058514595
0.20677966101694914,0.20833333333333334,0.00223915814422071
0.2271186440677966,0.25595238095238093,0.001748354989103973
0.25084745762711863,0.27976190476190477,0.001719693886116147
0.27796610169491526,0.30357142857142855,0.0016447551315650344
0.3254237288135593,0.375,0.0011450411984696984
0.34915254237288135,0.39880952380952384,0.0010475529124960303
0.3728813559322034,0.42857142857142855,0.0010038547916337848
0.39661016949152544,0.4523809523809524,0.0009611157001927495
0.42033898305084744,0.47023809523809523,0.0007456095772795379
0.44745762711864406,0.47619047619047616,0.0007360149757005274
0.4745762711864407,0.4880952380952381,0.0006645368994213641
0.49830508474576274,0.5357142857142857,0.0006601099157705903
0.5254237288135594,0.5535714285714286,0.0006072791293263435
0.5491525423728814,0.5952380952380952,0.0005747305694967508
0.576271186440678,0.6011904761904762,0.00046362148714251816
0.6033898305084746,0.6130952380952381,0.0004422222264111042
0.6271186440677966,0.6369047619047619,0.0004165593709331006
0.6508474576271186,0.6785714285714286,0.00039016164373606443
0.6745762711864407,0.7023809523809523,0.00035917098284699023
0.7016949152542373,0.7083333333333334,0.0003524826024658978
0.7254237288135593,0.7321428571428571,0.0003265282139182091
0.752542372881356,0.7559523809523809,0.00032503888360224664
0.7762711864406779,0.7738095238095238,0.0002890891337301582
0.7796610169491526,0.7738095238095238,0.0001816573494579643
0.8,0.7916666666666666,0.00018165733490604907
0.823728813559322,0.8333333333333334,0.00015694362809881568
0.847457627118644,0.8690476190476191,0.00012031596270389855
0.847457627118644,0.875,0.00012031595542794093
0.8711864406779661,0.9107142857142857,0.00010466259118402377
0.8949152542372881,0.9523809523809523,0.00010353457037126645
0.9220338983050848,0.9642857142857143,0.00010273290536133572
0.9491525423728814,0.9702380952380952,8.970123599283397e-05
0.976271186440678,0.9821428571428571,5.039869211032055e-05
1.0,1.0,1.5545789210591465e-05
