Dataset,Granularity,AUC,Total Days,Normal,Anom,F1_BestF1,Precision_BestF1,Recall_BestF1,Accuracy_BestF1,F1_ROC_TopLeft,Precision_ROC_TopLeft,Recall_ROC_TopLeft,Accuracy_ROC_TopLeft,F1_Recall_90,Precision_Recall_90,Recall_Recall_90,Accuracy_Recall_90,F1_FPR_10,Precision_FPR_10,Recall_FPR_10,Accuracy_FPR_10
Fault Free,10,0.7766203703703703,120,72,48,0.6766917293233082,0.5294117647058824,0.9375,0.6416666666666667,0.6451612903225806,0.6666666666666666,0.625,0.725,0.6717557251908397,0.5301204819277109,0.9166666666666666,0.6416666666666667,0.5135135135135135,0.7307692307692307,0.3958333333333333,0.7
Fault Free,2.5,0.7743744955609363,463,295,168,0.6609686609686609,0.6338797814207651,0.6904761904761905,0.7429805615550756,0.6609686609686609,0.6338797814207651,0.6904761904761905,0.7429805615550756,0.5703564727954972,0.41643835616438357,0.9047619047619048,0.5053995680345572,0.5745454545454546,0.7383177570093458,0.47023809523809523,0.7473002159827213
Fault Free,20,0.8370870870870871,55,37,18,0.7111111111111111,0.5925925925925926,0.8888888888888888,0.7636363636363637,0.7,0.6363636363636364,0.7777777777777778,0.7818181818181819,0.6938775510204082,0.5483870967741935,0.9444444444444444,0.7272727272727273,0.6,0.75,0.5,0.7818181818181819
Fault Free,25,0.9204301075268817,46,31,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9130434782608695,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.8913043478260869,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.8913043478260869,0.8387096774193549,0.8125,0.8666666666666667,0.8913043478260869
Fault Free,5,0.79044357469015,251,146,105,0.6917293233082706,0.5714285714285714,0.8761904761904762,0.6733067729083665,0.6868686868686869,0.7311827956989247,0.6476190476190476,0.7529880478087649,0.6643356643356644,0.5248618784530387,0.9047619047619048,0.6175298804780877,0.6666666666666666,0.8194444444444444,0.5619047619047619,0.7649402390438247
Fault Free,50,0.8333333333333334,24,15,9,0.8,1.0,0.6666666666666666,0.875,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,0.5806451612903226,0.4090909090909091,1.0,0.4583333333333333,0.8,1.0,0.6666666666666666,0.875
Faulty (F+A),10,0.5940393518518519,120,72,48,0.5827814569536424,0.42718446601941745,0.9166666666666666,0.475,0.5360824742268041,0.5306122448979592,0.5416666666666666,0.625,0.5827814569536424,0.42718446601941745,0.9166666666666666,0.475,0.22950819672131148,0.5384615384615384,0.14583333333333334,0.6083333333333333
Faulty (F+A),2.5,0.6392050040355125,463,295,168,0.5703275529865125,0.42165242165242167,0.8809523809523809,0.5183585313174947,0.5601851851851852,0.4583333333333333,0.7202380952380952,0.5896328293736501,0.5619223659889094,0.4075067024128686,0.9047619047619048,0.48812095032397407,0.2807017543859649,0.5333333333333333,0.19047619047619047,0.6457883369330454
Faulty (F+A),20,0.6358858858858859,55,37,18,0.5396825396825397,0.37777777777777777,0.9444444444444444,0.4727272727272727,0.5263157894736842,0.5,0.5555555555555556,0.6727272727272727,0.5396825396825397,0.37777777777777777,0.9444444444444444,0.4727272727272727,0.38461538461538464,0.625,0.2777777777777778,0.7090909090909091
Faulty (F+A),25,0.8193548387096774,46,31,15,0.6842105263157895,0.5652173913043478,0.8666666666666667,0.7391304347826086,0.6842105263157895,0.5652173913043478,0.8666666666666667,0.7391304347826086,0.6829268292682927,0.5384615384615384,0.9333333333333333,0.717391304347826,0.6153846153846154,0.7272727272727273,0.5333333333333333,0.782608695652174
