timestamp,pm25,pm25_fa,cal_pm25_fa
1604834640,26.0,33.5,25.56835
1604834641,26.0,33.5,25.56835
1604834642,26.0,33.25,25.502424
1604834643,26.0,33.75,25.56835
1604834644,26.0,33.75,25.56835
1604834645,26.0,33.75,25.56835
1604834646,26.0,33.75,25.56835
1604834647,26.0,33.75,25.56835
1604834648,26.0,34.25,25.837662
1604834649,26.0,34.25,25.837662
1604834650,26.0,34.75,25.839275
1604834651,26.0,35.0,25.839275
1604834652,26.0,35.0,25.839275
1604834653,26.0,35.0,25.839275
1604834654,26.0,35.25,25.839275
1604834655,26.0,35.22727272727273,25.839275
1604834656,26.0,35.20454545454545,25.839275
1604834657,26.0,35.18181818181818,25.839275
1604834658,26.0,35.15909090909091,25.839275
1604834659,26.0,35.13636363636364,25.839275
1604834660,26.0,35.11363636363636,25.839275
1604834661,26.0,35.09090909090909,25.839275
1604834662,26.0,35.06818181818182,25.839275
1604834663,26.0,35.04545454545455,25.839275
1604834664,26.0,35.02272727272727,25.839275
1604834665,26.0,35.0,25.839275
1604834666,26.0,35.0,25.839275
1604834667,26.0,34.75,25.839275
1604834668,26.0,34.75,25.839275
1604834669,26.0,34.75,25.839275
1604834670,26.0,34.75,25.839275
1604834671,26.0,34.25,25.837662
1604834672,26.0,34.25,25.837662
1604834673,26.0,34.25,25.837662
1604834674,26.0,34.25,25.837662
1604834675,26.0,34.0,25.727905
1604834676,26.0,34.0,25.727905
1604834677,26.0,33.75,25.56835
1604834678,26.0,33.75,25.56835
1604834679,26.0,34.0,25.727905
1604834680,26.0,34.0,25.727905
1604834681,26.0,34.0,25.727905
1604834682,26.0,34.25,25.837662
1604834683,26.0,34.25,25.837662
1604834684,26.0,34.25,25.837662
1604834685,26.0,34.5,25.837662
1604834686,26.0,34.25,25.837662
1604834687,26.0,34.0,25.727905
1604834688,26.0,34.0,25.727905
1604834689,26.0,34.25,25.837662
1604834690,26.0,34.25,25.837662
1604834691,26.0,34.0,25.727905
1604834692,26.0,33.75,25.56835
1604834693,26.0,33.75,25.56835
1604834694,26.0,33.75,25.56835
1604834695,26.0,33.75,25.56835
1604834696,26.0,33.75,25.56835
