timestamp,cal_pm25_0,cal_pm25_1,cal_pm25_2,cal_pm25_3
1604210400,38.827198,14.001585,35.13386,24.30111
1604210401,38.827198,14.001585,35.13386,24.30111
1604210402,40.41801,14.001585,35.13386,24.30111
1604210403,40.41801,14.001585,35.13386,24.30111
1604210404,55.698715,14.001585,35.13386,24.30111
1604210405,58.042408,14.001585,35.13386,24.30111
1604210406,60.26255,14.001585,35.13386,24.30111
1604210407,52.664856,14.001585,35.13386,24.30111
1604210408,40.662292,14.001585,38.383354,24.30111
1604210409,40.662292,14.001585,38.383354,24.30111
1604210410,40.662292,14.001585,38.383354,24.30111
1604210411,40.662292,14.001585,38.383354,23.42747
1604210412,40.662292,14.001585,38.383354,23.42747
1604210413,40.662292,14.001585,38.383354,23.42747
1604210414,40.662292,14.001585,38.383354,23.42747
1604210415,52.664856,14.001585,38.383354,23.42747
1604210416,52.664856,14.001585,35.13386,24.30111
1604210417,38.827198,14.001585,35.13386,24.30111
1604210418,38.827198,14.001585,35.13386,24.30111
1604210419,38.827198,14.001585,35.13386,30.20569
1604210420,38.827198,14.001585,35.13386,30.20569
1604210421,39.26268,14.001585,35.13386,30.546314
1604210422,39.26268,14.001585,35.13386,29.366344
1604210423,39.26268,14.001585,35.13386,26.745586
1604210424,39.26268,14.001585,35.13386,26.745586
1604210425,39.26268,14.001585,38.383354,26.745586
1604210426,42.7549,14.001585,38.383354,31.848637
1604210427,42.7549,14.001585,38.383354,31.848637
1604210428,42.7549,14.001585,38.383354,31.848637
1604210429,42.7549,14.001585,38.383354,31.848637
1604210430,42.7549,14.001585,38.383354,31.848637
1604210431,42.7549,14.001585,35.13386,26.745586
1604210432,42.7549,14.001585,35.13386,26.745586
1604210433,40.724083,14.001585,35.13386,26.745586
1604210434,40.724083,14.001585,35.13386,29.366344
1604210435,40.724083,14.001585,35.544445,29.366344
1604210436,40.724083,14.001585,35.544445,30.546314
1604210437,40.724083,14.001585,35.527935,30.546314
1604210438,40.724083,14.001585,35.527935,30.546314
1604210439,40.724083,14.001585,35.527935,30.546314
1604210440,40.724083,14.001585,35.527935,30.546314
1604210441,40.724083,14.001585,35.527935,30.546314
1604210442,40.724083,14.001585,35.544445,30.546314
1604210443,40.724083,14.001585,35.544445,30.546314
1604210444,40.724083,14.001585,35.13386,29.366344
1604210445,40.724083,14.001585,35.13386,29.366344
1604210446,40.724083,14.001585,38.383354,29.366344
1604210447,40.724083,14.001585,38.383354,29.366344
1604210448,40.03661,14.001585,38.383354,29.366344
1604210449,40.03661,14.001585,38.383354,26.745586
1604210450,40.03661,14.001585,38.383354,26.745586
1604210451,40.03661,14.001585,38.383354,31.848637
1604210452,40.03661,14.001585,35.13386,31.848637
1604210453,39.674946,14.001585,35.13386,26.745586
1604210454,39.674946,14.001585,35.13386,26.745586
1604210455,39.674946,14.001585,35.13386,31.848637
1604210456,40.03661,14.001585,35.544445,31.848637
1604210457,40.03661,14.001585,35.544445,31.848637
1604210458,40.03661,14.001585,35.544445,31.848637
1604210459,40.03661,14.001585,35.13386,31.848637
1604210460,40.03661,14.001585,35.13386,31.848637
1604210461,40.03661,14.001585,35.13386,31.848637
1604210462,40.03661,14.001585,35.13386,32.82833
1604210463,40.03661,14.001585,35.13386,32.82833
1604210464,40.724083,14.001585,35.13386,32.82833
1604210465,40.724083,14.001585,35.13386,32.82833
1604210466,40.724083,14.001585,35.13386,32.82833
1604210467,40.724083,14.001585,35.544445,32.82833
1604210468,42.7549,14.001585,35.544445,32.82833
1604210469,42.7549,14.001585,35.13386,32.82833
1604210470,39.26268,14.001585,35.13386,32.82833
1604210471,39.26268,14.001585,35.13386,32.82833
1604210472,39.26268,14.001585,35.544445,32.82833
1604210473,38.827198,14.001585,35.544445,32.82833
1604210474,38.827198,14.001585,35.544445,32.82833
1604210475,39.26268,14.001585,35.544445,32.82833
1604210476,39.26268,14.001585,35.544445,31.848637
1604210477,39.26268,14.001585,35.544445,31.848637
1604210478,39.26268,14.001585,35.544445,31.848637
1604210479,39.26268,14.001585,35.544445,31.848637
1604210480,42.7549,14.001585,35.13386,31.848637
1604210481,42.7549,14.001585,35.13386,26.745586
1604210482,42.7549,14.001585,35.13386,26.745586
1604210483,42.7549,14.001585,35.13386,26.745586
1604210484,42.7549,14.001585,35.544445,26.745586
1604210485,42.7549,14.001585,35.544445,26.745586
1604210486,42.7549,14.001585,35.544445,26.745586
1604210487,42.7549,14.001585,35.527935,26.745586
1604210488,42.7549,14.001585,35.527935,26.745586
1604210489,42.7549,14.001585,36.182426,26.745586
1604210490,42.7549,14.001585,36.182426,26.745586
1604210491,42.7549,14.001585,36.182426,29.366344
1604210492,39.26268,14.001585,36.182426,29.366344
1604210493,39.26268,14.001585,35.527935,29.366344
1604210494,39.26268,14.001585,35.527935,29.366344
1604210495,39.26268,14.001585,35.544445,29.366344
1604210496,39.26268,14.001585,35.13386,30.546314
1604210497,39.26268,14.001585,35.13386,30.546314
1604210498,39.26268,14.001585,38.383354,30.546314
1604210499,39.26268,14.001585,39.422447,30.546314
1604210500,39.26268,14.001585,39.422447,30.546314
1604210501,39.26268,14.001585,37.782845,30.546314
1604210502,39.26268,14.001585,38.590965,30.546314
1604210503,39.26268,14.001585,38.590965,30.546314
1604210504,42.7549,14.001585,37.782845,30.546314
1604210505,42.7549,14.001585,37.782845,30.546314
1604210506,42.7549,14.001585,39.422447,30.546314
1604210507,42.7549,14.001585,39.422447,29.366344
1604210508,42.7549,14.001585,39.422447,29.366344
1604210509,42.7549,14.001585,40.325623,29.366344
1604210510,39.26268,14.001585,40.325623,29.366344
1604210511,39.26268,14.001585,40.325623,29.366344
1604210512,42.7549,14.001585,38.383354,29.366344
1604210513,42.7549,14.001585,35.13386,29.366344
1604210514,42.7549,14.001585,35.13386,29.366344
1604210515,42.7549,14.001585,35.13386,30.546314
1604210516,42.7549,14.001585,35.13386,30.20569
1604210517,39.26268,14.001585,35.544445,24.30111
1604210518,39.26268,14.001585,35.544445,24.30111
1604210519,39.26268,14.001585,35.544445,24.30111
1604210520,39.26268,14.001585,35.527935,24.30111
1604210521,39.26268,14.001585,35.527935,23.42747
1604210522,38.827198,14.001585,35.527935,23.42747
1604210523,38.827198,14.001585,35.527935,23.42747
1604210524,38.827198,14.001585,35.527935,23.42747
1604210525,52.664856,14.001585,36.182426,23.42747
1604210526,52.664856,14.001585,36.182426,23.42747
1604210527,52.664856,14.001585,36.182426,23.42747
1604210528,52.664856,14.001585,36.182426,23.42747
1604210529,52.664856,14.001585,36.182426,23.42747
1604210530,52.664856,14.001585,36.182426,23.42747
1604210531,52.664856,14.001585,36.182426,23.42747
1604210532,52.664856,14.001585,36.182426,23.42747
1604210533,52.664856,14.001585,35.527935,23.42747
1604210534,52.664856,14.001585,35.527935,23.42747
1604210535,52.664856,14.001585,35.527935,23.42747
1604210536,52.664856,14.001585,35.527935,23.42747
1604210537,52.664856,14.001585,35.544445,23.42747
1604210538,52.664856,14.001585,35.544445,23.42747
1604210539,52.664856,14.001585,35.544445,23.42747
1604210540,40.662292,14.001585,35.527935,23.42747
1604210541,40.662292,14.001585,35.527935,23.42747
1604210542,40.662292,14.001585,36.182426,23.42747
1604210543,38.81107,14.001585,36.182426,23.42747
1604210544,38.81107,14.001585,37.382,23.42747
1604210545,38.81107,14.001585,37.382,23.42747
1604210546,38.81107,14.001585,36.59117,23.42747
1604210547,38.81107,14.001585,36.59117,23.42747
1604210548,38.81107,14.001585,36.59117,24.366743
1604210549,38.81107,14.001585,36.59117,24.366743
1604210550,38.81107,14.001585,35.058,24.366743
1604210551,38.81107,14.001585,35.058,24.366743
1604210552,38.81107,14.001585,35.058,24.366743
1604210553,38.81107,14.001585,34.25455,24.366743
1604210554,38.81107,14.001585,34.25455,24.366743
1604210555,38.81107,14.001585,34.25455,24.366743
1604210556,40.662292,14.001585,33.330666,24.424751
1604210557,40.662292,14.001585,33.330666,24.424751
1604210558,40.662292,14.001585,33.330666,24.424751
1604210559,40.662292,14.001585,31.796204,24.424751
1604210560,40.662292,14.001585,31.796204,24.424751
1604210561,40.662292,14.001585,31.796204,24.424751
1604210562,40.662292,14.001585,31.796204,24.424751
1604210563,40.662292,14.001585,31.796204,24.673565
1604210564,40.662292,14.001585,31.796204,24.673565
1604210565,40.662292,14.001585,31.796204,24.469078
1604210566,40.662292,14.001585,31.796204,24.469078
1604210567,40.662292,14.001585,31.796204,21.695932
1604210568,52.664856,14.001585,31.796204,21.695932
1604210569,52.664856,14.001585,31.796204,21.695932
1604210570,52.664856,14.001585,31.796204,21.695932
1604210571,38.827198,14.001585,36.59117,21.695932
1604210572,38.827198,14.001585,36.59117,24.424751
1604210573,38.827198,14.001585,37.382,24.366743
1604210574,38.827198,14.001585,37.382,24.366743
1604210575,38.827198,14.001585,37.382,24.366743
1604210576,38.827198,14.001585,37.382,24.366743
1604210577,38.827198,14.001585,36.182426,23.42747
1604210578,52.664856,14.001585,36.182426,23.42747
1604210579,52.664856,14.001585,35.527935,23.42747
1604210580,52.664856,14.001585,36.182426,23.42747
1604210581,52.664856,14.001585,36.182426,23.42747
1604210582,52.664856,14.001585,36.182426,23.42747
1604210583,52.664856,14.001585,36.182426,24.30111
1604210584,40.662292,14.001585,37.382,24.30111
1604210585,52.664856,14.001585,37.382,24.30111
1604210586,52.664856,14.001585,37.382,24.30111
1604210587,52.664856,14.001585,36.59117,30.20569
1604210588,52.664856,14.001585,36.59117,30.20569
1604210589,52.664856,14.001585,31.796204,30.546314
1604210590,38.827198,14.001585,31.796204,30.546314
1604210591,38.827198,14.001585,31.796204,29.366344
1604210592,38.827198,14.001585,31.796204,29.366344
1604210593,38.827198,14.001585,31.796204,29.366344
1604210594,39.26268,14.001585,31.796204,29.366344
1604210595,39.26268,14.001585,31.796204,29.366344
1604210596,39.26268,14.001585,31.796204,29.366344
1604210597,39.26268,14.001585,31.796204,29.366344
1604210598,39.26268,14.001585,36.59117,29.366344
1604210599,39.26268,14.001585,36.59117,30.546314
1604210600,39.26268,14.001585,36.59117,30.546314
1604210601,39.26268,14.001585,36.182426,30.546314
1604210602,38.827198,14.001585,36.182426,30.546314
1604210603,38.827198,14.001585,35.527935,30.20569
