fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.005952380952380952,0.035504069179296494
0.003389830508474576,0.011904761904761904,0.01685679517686367
0.003389830508474576,0.041666666666666664,0.006700851488858461
0.006779661016949152,0.041666666666666664,0.005397303495556116
0.006779661016949152,0.047619047619047616,0.005214732140302658
0.010169491525423728,0.047619047619047616,0.005171255674213171
0.010169491525423728,0.05952380952380952,0.004946715198457241
0.020338983050847456,0.05952380952380952,0.004339409526437521
0.020338983050847456,0.07738095238095238,0.00351599114947021
0.023728813559322035,0.07738095238095238,0.00342757860198617
0.023728813559322035,0.10119047619047619,0.0030667611863464117
0.030508474576271188,0.10119047619047619,0.0027044781018048525
0.03389830508474576,0.10714285714285714,0.0026749169919639826
0.03389830508474576,0.11904761904761904,0.002443106146529317
0.03728813559322034,0.11904761904761904,0.0022129141725599766
0.03728813559322034,0.13095238095238096,0.0021991583053022623
0.04067796610169491,0.13095238095238096,0.0020605921745300293
0.04067796610169491,0.13690476190476192,0.0020327616948634386
0.04406779661016949,0.13690476190476192,0.0020210659131407738
0.04406779661016949,0.15476190476190477,0.0019048090325668454
0.04745762711864407,0.15476190476190477,0.001892659580335021
0.04745762711864407,0.16071428571428573,0.0018390786135569215
0.05084745762711865,0.16071428571428573,0.0018324177945032716
0.05423728813559322,0.16666666666666666,0.00180579733569175
0.05423728813559322,0.17857142857142858,0.0017888728762045503
0.0576271186440678,0.18452380952380953,0.0017596875550225377
0.061016949152542375,0.18452380952380953,0.0016426830552518368
0.061016949152542375,0.19642857142857142,0.001593744265846908
0.06440677966101695,0.19642857142857142,0.0015726173296570778
0.06440677966101695,0.20833333333333334,0.0015297308564186096
0.06779661016949153,0.20833333333333334,0.001529368688352406
0.06779661016949153,0.21428571428571427,0.0014905771240592003
0.07457627118644068,0.21428571428571427,0.0014593261294066906
0.07457627118644068,0.22023809523809523,0.0014524966245517135
0.08813559322033898,0.22023809523809523,0.0013835583813488483
0.09152542372881356,0.2261904761904762,0.001361456117592752
0.09152542372881356,0.23214285714285715,0.0013332158559933305
0.09830508474576272,0.23214285714285715,0.0013243512948974967
0.09830508474576272,0.24404761904761904,0.0013041668571531773
0.10847457627118644,0.24404761904761904,0.0012418008409440517
0.10847457627118644,0.25,0.001210224931128323
0.1152542372881356,0.25,0.0011966954916715622
0.12203389830508475,0.25,0.0011802999069914222
0.12542372881355932,0.25,0.0011612838134169579
