fpr,tpr,thresholds
0.0,0.0,inf
0.04794520547945205,0.06666666666666667,0.015604875050485134
0.10273972602739725,0.09523809523809523,0.01090953778475523
0.14383561643835616,0.20952380952380953,0.005754247307777405
0.18493150684931506,0.3047619047619048,0.0015444973250851035
0.2945205479452055,0.38095238095238093,0.0011186361080035567
0.3493150684931507,0.38095238095238093,0.00044789849198423326
0.4452054794520548,0.5142857142857142,0.0003722302499227226
0.4931506849315068,0.6,0.0002903733402490616
0.4931506849315068,0.6095238095238096,0.0002560579450801015
0.541095890410959,0.6476190476190476,0.00025543104857206345
0.589041095890411,0.7047619047619048,0.00014318537432700396
0.6438356164383562,0.7238095238095238,0.0001237437827512622
0.6917808219178082,0.8,0.00012100229650968686
0.7465753424657534,0.8095238095238095,0.00011015209747711197
0.8013698630136986,0.8095238095238095,8.011195313883945e-05
0.8561643835616438,0.819047619047619,7.711812213528901e-05
0.9041095890410958,0.8666666666666667,3.81348145310767e-05
0.952054794520548,0.9333333333333333,2.06655513466103e-05
0.952054794520548,0.9428571428571428,1.49500719999196e-05
1.0,1.0,1.4879364243824966e-05
