Dataset,Granularity,AUC,Total Days,Normal,Anom,F1_BestF1,Precision_BestF1,Recall_BestF1,Accuracy_BestF1,F1_ROC_TopLeft,Precision_ROC_TopLeft,Recall_ROC_TopLeft,Accuracy_ROC_TopLeft,F1_Recall_90,Precision_Recall_90,Recall_Recall_90,Accuracy_Recall_90,F1_FPR_10,Precision_FPR_10,Recall_FPR_10,Accuracy_FPR_10
Faulty (F+A),5,0.647358121330724,251,146,105,0.6180555555555556,0.48633879781420764,0.8476190476190476,0.5617529880478087,0.5818181818181818,0.5565217391304348,0.6095238095238096,0.6334661354581673,0.6089743589743589,0.45893719806763283,0.9047619047619048,0.5139442231075697,0.323943661971831,0.6216216216216216,0.21904761904761905,0.6175298804780877
Faulty (F+A),50,0.6777777777777778,24,15,9,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.6666666666666666,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.6666666666666666,0.6206896551724138,0.45,1.0,0.5416666666666666,0.0,0.0,0.0,0.5833333333333334
Sensor 1,10,0.654079861111111,120,72,48,0.6078431372549019,0.5740740740740741,0.6458333333333334,0.6666666666666666,0.6078431372549019,0.5740740740740741,0.6458333333333334,0.6666666666666666,0.5751633986928104,0.41904761904761906,0.9166666666666666,0.4583333333333333,0.5,0.75,0.375,0.7
Sensor 1,2.5,0.5818906376109766,463,295,168,0.5346869712351946,0.3735224586288416,0.9404761904761905,0.4060475161987041,0.4553846153846154,0.4713375796178344,0.44047619047619047,0.6177105831533477,0.5284974093264249,0.3722627737226277,0.9107142857142857,0.4103671706263499,0.38524590163934425,0.618421052631579,0.27976190476190477,0.6760259179265659
Sensor 1,20,0.704954954954955,55,37,18,0.5806451612903226,0.6923076923076923,0.5,0.7636363636363637,0.5789473684210527,0.55,0.6111111111111112,0.7090909090909091,0.5230769230769231,0.3617021276595745,0.9444444444444444,0.43636363636363634,0.5,0.7,0.3888888888888889,0.7454545454545455
Sensor 1,25,0.7741935483870968,46,31,15,0.6857142857142857,0.6,0.8,0.7608695652173914,0.6857142857142857,0.6,0.8,0.7608695652173914,0.5957446808510638,0.4375,0.9333333333333333,0.5869565217391305,0.45454545454545453,0.7142857142857143,0.3333333333333333,0.7391304347826086
Sensor 1,5,0.636464448793216,251,146,105,0.5898876404494382,0.41832669322709165,1.0,0.41832669322709165,0.5675675675675675,0.5384615384615384,0.6,0.6175298804780877,0.5748502994011976,0.4192139737991266,0.9142857142857143,0.4342629482071713,0.4594594594594595,0.7906976744186046,0.3238095238095238,0.6812749003984063
Sensor 1,50,0.611111111111111,24,15,9,0.6,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.6,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.5625,0.391304347826087,1.0,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.6666666666666666
Sensor 2,10,0.6494502314814814,120,72,48,0.6564885496183206,0.5180722891566265,0.8958333333333334,0.625,0.6218487394957983,0.5211267605633803,0.7708333333333334,0.625,0.5911949685534591,0.42342342342342343,0.9791666666666666,0.4583333333333333,0.22580645161290322,0.5,0.14583333333333334,0.6
Sensor 2,2.5,0.5146993543179984,463,295,168,0.534621578099839,0.36644591611479027,0.9880952380952381,0.3758099352051836,0.44041450777202074,0.38990825688073394,0.5059523809523809,0.5334773218142549,0.5196581196581197,0.3645083932853717,0.9047619047619048,0.3930885529157667,0.23318385650224216,0.4727272727272727,0.15476190476190477,0.6306695464362851
Sensor 2,20,0.6846846846846847,55,37,18,0.6086956521739131,0.5,0.7777777777777778,0.6727272727272727,0.6086956521739131,0.5,0.7777777777777778,0.6727272727272727,0.4931506849315068,0.32727272727272727,1.0,0.32727272727272727,0.0,0.0,0.0,0.6727272727272727
Sensor 2,25,0.5849462365591398,46,31,15,0.5098039215686274,0.3611111111111111,0.8666666666666667,0.45652173913043476,0.5,0.4,0.6666666666666666,0.5652173913043478,0.4918032786885246,0.32608695652173914,1.0,0.32608695652173914,0.0,0.0,0.0,0.6739130434782609
Sensor 2,5,0.5648401826484019,251,146,105,0.5898876404494382,0.41832669322709165,1.0,0.41832669322709165,0.48598130841121495,0.47706422018348627,0.49523809523809526,0.5617529880478087,0.5730994152046783,0.41350210970464135,0.9333333333333333,0.41832669322709165,0.2518518518518518,0.5666666666666667,0.1619047619047619,0.5976095617529881
Sensor 2,50,0.6037037037037036,24,15,9,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.5454545454545454,0.375,1.0,0.375,0.18181818181818182,0.5,0.1111111111111111,0.625
Sensor 3,10,0.5849247685185186,120,72,48,0.5748502994011976,0.40336134453781514,1.0,0.4083333333333333,0.5054945054945055,0.5348837209302325,0.4791666666666667,0.625,0.5641025641025641,0.4074074074074074,0.9166666666666666,0.43333333333333335,0.4057971014492754,0.6666666666666666,0.2916666666666667,0.6583333333333333
Sensor 3,2.5,0.5838781275221954,463,295,168,0.5481481481481482,0.3978494623655914,0.8809523809523809,0.47300215982721383,0.5025125628140703,0.43478260869565216,0.5952380952380952,0.572354211663067,0.5467625899280576,0.3917525773195876,0.9047619047619048,0.4557235421166307,0.2643171806167401,0.5084745762711864,0.17857142857142858,0.6393088552915767
Sensor 3,20,0.5262762762762763,55,37,18,0.5396825396825397,0.37777777777777777,0.9444444444444444,0.4727272727272727,0.48148148148148145,0.3611111111111111,0.7222222222222222,0.4909090909090909,0.5396825396825397,0.37777777777777777,0.9444444444444444,0.4727272727272727,0.18181818181818182,0.5,0.1111111111111111,0.6727272727272727
Sensor 3,25,0.6881720430107527,46,31,15,0.6190476190476191,0.48148148148148145,0.8666666666666667,0.6521739130434783,0.6190476190476191,0.48148148148148145,0.8666666666666667,0.6521739130434783,0.6086956521739131,0.45161290322580644,0.9333333333333333,0.6086956521739131,0.36363636363636365,0.5714285714285714,0.26666666666666666,0.6956521739130435
Sensor 3,5,0.646542726679713,251,146,105,0.610062893081761,0.45539906103286387,0.9238095238095239,0.5059760956175299,0.5527638190954773,0.5851063829787234,0.5238095238095238,0.6454183266932271,0.610062893081761,0.45539906103286387,0.9238095238095239,0.5059760956175299,0.323943661971831,0.6216216216216216,0.21904761904761905,0.6175298804780877
Sensor 3,50,0.8111111111111111,24,15,9,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,0.6,0.42857142857142855,1.0,0.5,0.6153846153846154,1.0,0.4444444444444444,0.7916666666666666
Sensor 4,10,0.6087962962962963,120,72,48,0.588957055214724,0.41739130434782606,1.0,0.44166666666666665,0.5106382978723404,0.5217391304347826,0.5,0.6166666666666667,0.5714285714285714,0.41509433962264153,0.9166666666666666,0.45,0.34375,0.6875,0.22916666666666666,0.65
Sensor 4,2.5,0.570369249394673,463,295,168,0.5412262156448203,0.419672131147541,0.7619047619047619,0.531317494600432,0.5062034739454094,0.4340425531914894,0.6071428571428571,0.5701943844492441,0.5241379310344828,0.36893203883495146,0.9047619047619048,0.4038876889848812,0.20909090909090908,0.4423076923076923,0.13690476190476192,0.6241900647948164
Sensor 4,20,0.5990990990990991,55,37,18,0.5818181818181818,0.43243243243243246,0.8888888888888888,0.5818181818181818,0.56,0.4375,0.7777777777777778,0.6,0.5666666666666667,0.40476190476190477,0.9444444444444444,0.5272727272727272,0.2608695652173913,0.6,0.16666666666666666,0.6909090909090909
Sensor 4,25,0.7440860215053764,46,31,15,0.6341463414634146,0.5,0.8666666666666667,0.6739130434782609,0.631578947368421,0.5217391304347826,0.8,0.6956521739130435,0.56,0.4,0.9333333333333333,0.5217391304347826,0.38095238095238093,0.6666666666666666,0.26666666666666666,0.717391304347826
Sensor 4,5,0.591030658838878,251,146,105,0.5981873111782477,0.43805309734513276,0.9428571428571428,0.4701195219123506,0.575,0.5111111111111111,0.6571428571428571,0.5936254980079682,0.5981308411214953,0.4444444444444444,0.9142857142857143,0.4860557768924303,0.15748031496062992,0.45454545454545453,0.09523809523809523,0.5737051792828686
Sensor 4,50,0.41111111111111115,24,15,9,0.5625,0.391304347826087,1.0,0.4166666666666667,0.45454545454545453,0.38461538461538464,0.5555555555555556,0.5,0.5625,0.391304347826087,1.0,0.4166666666666667,0.2,1.0,0.1111111111111111,0.6666666666666666
