timestamp,pm25_0,pm25_1,pm25_2,pm25_3,temperature,humidity
1606748400,84.0,104.26923076923076,97.0,95.73076923076924,20.0,45.4
1606748401,84.0,104.23076923076924,97.0,95.76923076923076,20.0,45.4
1606748402,84.0,104.1923076923077,97.0,95.8076923076923,20.0,45.4
1606748403,84.0,104.15384615384616,97.0,95.84615384615384,20.0,45.4
1606748404,84.0,104.1153846153846,97.0,95.8846153846154,20.0,45.4
1606748405,84.0,104.07692307692308,97.0,95.92307692307692,20.0,45.4
1606748406,84.0,104.03846153846152,97.0,95.96153846153848,20.0,45.4
1606748407,84.0,104.0,97.0,96.0,20.0,45.4
1606748408,84.0,104.0,98.0,96.0,20.1,45.5
1606748409,84.0,103.0,98.0,96.0,20.1,45.5
1606748410,84.0,103.0,98.0,96.0,20.1,45.5
1606748411,84.0,106.0,98.0,96.0,20.1,45.5
1606748412,85.0,106.0,98.0,96.0,20.1,45.5
1606748413,85.0,106.0,98.0,96.0,20.0,45.4
1606748414,86.0,106.0,98.0,96.0,20.0,45.4
1606748415,86.0,106.0,98.0,96.0,20.0,45.4
1606748416,86.0,106.0,98.0,97.0,20.0,45.4
1606748417,86.0,107.0,97.0,97.0,20.0,45.4
1606748418,86.0,106.0,97.0,97.0,20.1,45.5
1606748419,86.0,106.0,97.0,97.0,20.1,45.5
1606748420,86.0,106.0,97.0,96.0,20.1,45.5
1606748421,86.0,106.0,97.0,96.0,20.1,45.5
1606748422,85.0,106.0,96.0,96.0,20.1,45.5
1606748423,85.0,106.0,96.0,96.0,20.1,45.4
1606748424,85.0,106.0,96.0,96.0,20.1,45.4
1606748425,85.0,106.0,96.0,96.0,20.1,45.4
1606748426,85.0,106.0,96.0,96.0,20.1,45.4
1606748427,85.0,106.0,96.0,96.0,20.1,45.4
1606748428,85.0,106.0,96.0,96.0,20.1,45.5
1606748429,85.0,106.0,95.0,96.0,20.1,45.5
1606748430,86.0,106.0,95.0,96.0,20.1,45.5
1606748431,86.0,106.0,95.0,96.0,20.1,45.5
1606748432,86.0,105.0,95.0,96.0,20.1,45.5
1606748433,87.0,105.0,95.0,96.0,20.1,45.4
1606748434,87.0,105.0,95.0,94.0,20.1,45.4
1606748435,88.0,104.0,95.0,93.0,20.1,45.4
1606748436,87.0,104.0,95.0,93.0,20.1,45.4
1606748437,87.0,104.0,95.0,93.0,20.1,45.4
1606748438,87.0,104.0,95.0,93.0,20.1,45.5
1606748439,87.0,104.0,96.0,93.0,20.1,45.5
1606748440,86.0,104.0,96.0,93.0,20.1,45.5
1606748441,86.0,104.0,97.0,93.0,20.1,45.5
1606748442,86.0,104.0,97.0,92.0,20.1,45.5
1606748443,85.0,104.0,97.0,92.0,20.2,45.7
1606748444,84.0,105.0,98.0,92.0,20.2,45.7
1606748445,84.0,106.0,98.0,92.0,20.2,45.7
1606748446,84.0,106.0,99.0,92.0,20.2,45.7
1606748447,84.0,106.0,99.0,92.0,20.2,45.7
1606748448,84.0,108.0,99.0,92.0,20.1,45.6
1606748449,84.0,108.0,99.0,93.0,20.1,45.6
1606748450,84.0,108.0,100.0,93.0,20.1,45.6
1606748451,84.0,108.0,100.0,94.0,20.1,45.6
1606748452,84.0,109.0,101.0,95.0,20.1,45.6
1606748453,84.0,109.0,101.0,95.0,20.1,45.7
1606748454,83.0,108.0,101.0,95.0,20.1,45.7
1606748455,83.0,108.0,101.0,96.0,20.1,45.7
1606748456,82.0,108.0,101.0,97.0,20.1,45.7
1606748457,82.0,107.0,101.0,97.0,20.1,45.7
1606748458,81.0,107.0,101.0,99.0,20.1,45.7
1606748459,81.0,106.0,100.0,99.0,20.1,45.7
1606748460,81.0,105.0,100.0,100.0,20.1,45.7
1606748461,81.0,105.0,100.0,100.0,20.1,45.7
1606748462,81.0,105.0,99.0,100.0,20.1,45.7
1606748463,81.0,105.0,99.0,100.0,20.2,45.8
1606748464,81.0,105.0,98.0,101.0,20.2,45.8
1606748465,81.0,104.0,98.0,100.0,20.2,45.8
1606748466,82.0,104.0,97.0,100.0,20.2,45.8
1606748467,82.0,104.0,97.0,100.0,20.2,45.8
1606748468,82.0,104.0,97.0,98.0,20.2,45.8
1606748469,82.0,104.0,98.0,98.0,20.2,45.8
1606748470,82.0,104.0,98.0,97.0,20.2,45.8
1606748471,83.0,105.0,98.0,96.0,20.2,45.8
1606748472,83.0,105.0,98.0,96.0,20.2,45.8
1606748473,84.0,105.0,99.0,95.0,20.2,45.9
1606748474,84.0,105.0,99.0,95.0,20.2,45.9
1606748475,84.0,106.0,99.0,95.0,20.2,45.9
1606748476,84.0,106.0,100.0,95.0,20.2,45.9
1606748477,84.0,106.0,100.0,95.0,20.2,45.9
1606748478,85.0,106.0,100.0,95.0,20.2,45.9
1606748479,85.0,106.0,100.0,95.0,20.2,45.9
