Dataset,Granularity,AUC,F1,Precision,Recall,Accuracy,Best_Threshold,Total Days,Normal,Anom
Fault Free,10,0.7019675925925927,0.6143790849673203,0.44761904761904764,0.9791666666666666,0.5083333333333333,3.0297132980194874e-05,120,72,48
Fault Free,2.5,0.7264225181598064,0.5965909090909091,0.5706521739130435,0.625,0.693304535637149,0.0008177656563930213,463,295,168
Fault Free,20,0.8033033033033032,0.6875,0.7857142857142857,0.6111111111111112,0.8181818181818182,0.00012763627455569804,55,37,18
Fault Free,25,0.8849462365591397,0.8,0.7,0.9333333333333333,0.8478260869565217,0.0001222670980496332,46,31,15
Fault Free,5,0.7526744944553163,0.6727272727272727,0.6434782608695652,0.7047619047619048,0.7131474103585658,0.0002861114335246384,251,146,105
Fault Free,50,0.7481481481481481,0.7058823529411765,0.75,0.6666666666666666,0.7916666666666666,0.00021876832761336118,24,15,9
Faulty (F+A),10,0.5737847222222222,0.5818181818181818,0.41025641025641024,1.0,0.425,1.3794252481602598e-05,120,72,48
Faulty (F+A),2.5,0.6104116222760291,0.5538461538461539,0.4090909090909091,0.8571428571428571,0.49892008639308855,0.00016583983961027116,463,295,168
Faulty (F+A),20,0.632132132132132,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.7454545454545455,0.0001175454308395274,55,37,18
Faulty (F+A),25,0.8225806451612903,0.7272727272727273,0.6666666666666666,0.8,0.8043478260869565,6.297773506958038e-05,46,31,15
Faulty (F+A),5,0.6117416829745597,0.617363344051447,0.46601941747572817,0.9142857142857143,0.5258964143426295,5.401901216828264e-05,251,146,105
Faulty (F+A),50,0.6296296296296295,0.6206896551724138,0.45,1.0,0.5416666666666666,2.5627139621064998e-05,24,15,9
Sensor 1,10,0.6050347222222222,0.5766871165644172,0.40869565217391307,0.9791666666666666,0.425,6.428209599107504e-05,120,72,48
Sensor 1,2.5,0.6059221146085553,0.5335463258785943,0.3646288209606987,0.9940476190476191,0.3693304535637149,2.686830521270167e-05,463,295,168
Sensor 1,20,0.6606606606606606,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.7272727272727273,0.00020000713993795216,55,37,18
Sensor 1,25,0.6870967741935484,0.6111111111111112,0.5238095238095238,0.7333333333333333,0.6956521739130435,0.00016722959117032588,46,31,15
Sensor 1,5,0.5866601435094587,0.5898876404494382,0.41832669322709165,1.0,0.41832669322709165,1.3430715625872836e-05,251,146,105
Sensor 1,50,0.6888888888888889,0.64,0.5,0.8888888888888888,0.625,7.523665408371016e-05,24,15,9
Sensor 2,10,0.5872395833333333,0.5911949685534591,0.42342342342342343,0.9791666666666666,0.4583333333333333,8.163326128851622e-06,120,72,48
Sensor 2,2.5,0.4997881355932204,0.5324881141045958,0.36285097192224625,1.0,0.36285097192224625,5.164400590729201e-06,463,295,168
Sensor 2,20,0.5855855855855855,0.5,0.34782608695652173,0.8888888888888888,0.41818181818181815,3.78971981263021e-06,55,37,18
Sensor 2,25,0.5354838709677419,0.5098039215686274,0.3611111111111111,0.8666666666666667,0.45652173913043476,8.501512638758868e-06,46,31,15
Sensor 2,5,0.5534898891063273,0.5898876404494382,0.41832669322709165,1.0,0.41832669322709165,1.0199748430750333e-05,251,146,105
Sensor 2,50,0.6296296296296297,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.003203860716894269,24,15,9
Sensor 3,10,0.589699074074074,0.5806451612903226,0.4205607476635514,0.9375,0.4583333333333333,0.00011946151062147692,120,72,48
Sensor 3,2.5,0.5681598062953996,0.5390334572490706,0.3918918918918919,0.8630952380952381,0.46436285097192226,0.0006390433991327882,463,295,168
Sensor 3,20,0.6096096096096096,0.5230769230769231,0.3617021276595745,0.9444444444444444,0.43636363636363634,0.00011240905587328598,55,37,18
Sensor 3,25,0.8032258064516129,0.6666666666666666,0.5185185185185185,0.9333333333333333,0.6956521739130435,0.0002073795476462692,46,31,15
Sensor 3,5,0.6212328767123287,0.6273291925465838,0.46543778801843316,0.9619047619047619,0.5219123505976095,0.00023829235578887165,251,146,105
Sensor 3,50,0.7259259259259259,0.64,0.5,0.8888888888888888,0.625,0.00022849005472380668,24,15,9
Sensor 4,10,0.5885416666666665,0.5783132530120482,0.4067796610169492,1.0,0.4166666666666667,1.6897154637263156e-05,120,72,48
Sensor 4,2.5,0.5509987893462469,0.5344,0.36542669584245074,0.9940476190476191,0.3714902807775378,7.893733709352091e-05,463,295,168
Sensor 4,20,0.6246246246246246,0.5925925925925926,0.4444444444444444,0.8888888888888888,0.6,8.890376193448901e-05,55,37,18
Sensor 4,25,0.7000000000000001,0.5853658536585366,0.46153846153846156,0.8,0.6304347826086957,9.871505608316511e-05,46,31,15
Sensor 4,5,0.5922374429223746,0.6005830903790087,0.4327731092436975,0.9809523809523809,0.4541832669322709,7.116836786735803e-05,251,146,105
Sensor 4,50,0.3037037037037037,0.5454545454545454,0.375,1.0,0.375,3.522279075696133e-05,24,15,9
