timestamp,cal_pm25_fa
1604192400,35.45682
1604192401,35.45682
1604192402,35.45682
1604192403,35.45682
1604192404,35.45682
1604192405,35.45682
1604192406,35.45682
1604192407,35.45682
1604192408,35.45682
1604192409,35.45682
1604192410,35.45682
1604192411,35.45682
1604192412,35.45682
1604192413,35.45682
1604192414,35.45682
1604192415,35.45682
1604192416,35.45682
1604192417,35.45682
1604192418,35.45682
1604192419,35.45682
1604192420,35.45682
1604192421,35.45682
1604192422,35.45682
1604192423,35.45682
1604192424,35.45682
1604192425,35.45682
1604192426,36.621883
1604192427,36.621883
1604192428,38.23114
1604192429,38.23114
1604192430,38.23114
1604192431,38.842796
1604192432,38.842796
1604192433,39.726307
1604192434,39.726307
1604192435,39.726307
1604192436,39.726307
1604192437,39.726307
1604192438,39.726307
1604192439,39.726307
1604192440,39.726307
1604192441,39.726307
1604192442,39.726307
1604192443,39.726307
1604192444,39.726307
1604192445,39.726307
1604192446,39.726307
1604192447,39.726307
1604192448,38.842796
1604192449,38.842796
1604192450,38.842796
1604192451,38.23114
1604192452,38.23114
1604192453,38.23114
1604192454,38.23114
1604192455,38.23114
1604192456,38.23114
1604192457,38.23114
1604192458,38.842796
1604192459,38.842796
1604192460,39.726307
1604192461,39.726307
1604192462,39.726307
1604192463,39.726307
1604192464,39.726307
1604192465,39.726307
1604192466,39.726307
1604192467,39.726307
1604192468,39.726307
1604192469,39.726307
1604192470,39.726307
1604192471,39.726307
1604192472,39.726307
1604192473,39.726307
1604192474,39.726307
1604192475,39.726307
1604192476,39.726307
1604192477,39.726307
1604192478,39.726307
1604192479,39.726307
1604192480,39.726307
1604192481,38.842796
1604192482,38.842796
1604192483,38.23114
1604192484,38.23114
1604192485,36.621883
1604192486,35.45682
1604192487,35.45682
1604192488,35.45682
1604192489,31.175837
1604192490,31.175837
1604192491,31.175837
1604192492,31.175837
1604192493,31.175837
1604192494,31.175837
1604192495,31.175837
1604192496,31.175837
1604192497,27.51958
1604192498,27.51958
1604192499,27.51958
1604192500,27.51958
1604192501,27.51958
1604192502,27.51958
1604192503,27.51958
1604192504,27.51958
1604192505,27.51958
1604192506,27.51958
1604192507,27.51958
1604192508,27.51958
1604192509,27.51958
1604192510,27.51958
1604192511,27.51958
1604192512,27.51958
1604192513,27.51958
1604192514,27.51958
1604192515,27.51958
1604192516,27.51958
1604192517,27.51958
1604192518,27.51958
1604192519,28.9904
1604192520,28.9904
1604192521,28.9904
1604192522,28.9904
1604192523,28.9904
1604192524,29.653723
1604192525,29.653723
1604192526,29.653723
1604192527,29.653723
1604192528,29.653723
1604192529,30.525965
1604192530,30.525965
