Dataset,Granularity,AUC,Total Days,Normal,Anom,F1_BestF1,Precision_BestF1,Recall_BestF1,Accuracy_BestF1,F1_ROC_TopLeft,Precision_ROC_TopLeft,Recall_ROC_TopLeft,Accuracy_ROC_TopLeft,F1_Recall_90,Precision_Recall_90,Recall_Recall_90,Accuracy_Recall_90,F1_FPR_10,Precision_FPR_10,Recall_FPR_10,Accuracy_FPR_10
Fault Free,10,0.7178819444444444,120,72,48,0.6423357664233577,0.4943820224719101,0.9166666666666666,0.5916666666666667,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6423357664233577,0.4943820224719101,0.9166666666666666,0.5916666666666667,0.4788732394366197,0.7391304347826086,0.3541666666666667,0.6916666666666667
Fault Free,2.5,0.7575161420500404,463,295,168,0.6297872340425532,0.4900662251655629,0.8809523809523809,0.6241900647948164,0.6206896551724138,0.5598086124401914,0.6964285714285714,0.6911447084233261,0.6043737574552683,0.4537313432835821,0.9047619047619048,0.5701943844492441,0.5075757575757576,0.6979166666666666,0.39880952380952384,0.7192224622030238
Fault Free,20,0.8123123123123124,55,37,18,0.6829268292682927,0.6086956521739131,0.7777777777777778,0.7636363636363637,0.6829268292682927,0.6086956521739131,0.7777777777777778,0.7636363636363637,0.6538461538461539,0.5,0.9444444444444444,0.6727272727272727,0.6,0.75,0.5,0.7818181818181819
Fault Free,25,0.9,46,31,15,0.8387096774193549,0.8125,0.8666666666666667,0.8913043478260869,0.8387096774193549,0.8125,0.8666666666666667,0.8913043478260869,0.8235294117647058,0.7368421052631579,0.9333333333333333,0.8695652173913043,0.8387096774193549,0.8125,0.8666666666666667,0.8913043478260869
Fault Free,5,0.770221787345075,251,146,105,0.6808510638297872,0.6153846153846154,0.7619047619047619,0.701195219123506,0.6808510638297872,0.6153846153846154,0.7619047619047619,0.701195219123506,0.6597222222222222,0.5191256830601093,0.9047619047619048,0.6095617529880478,0.591715976331361,0.78125,0.47619047619047616,0.7250996015936255
Fault Free,50,0.7703703703703704,24,15,9,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,0.6428571428571429,0.47368421052631576,1.0,0.5833333333333334,0.18181818181818182,0.5,0.1111111111111111,0.625
Faulty (F+A),10,0.5703125,120,72,48,0.5853658536585366,0.41379310344827586,1.0,0.43333333333333335,0.5242718446601942,0.4909090909090909,0.5625,0.5916666666666667,0.5751633986928104,0.41904761904761906,0.9166666666666666,0.4583333333333333,0.3384615384615385,0.6470588235294118,0.22916666666666666,0.6416666666666667
Faulty (F+A),2.5,0.6548829701372074,463,295,168,0.5752808988764045,0.4620938628158845,0.7619047619047619,0.591792656587473,0.5307262569832403,0.5,0.5654761904761905,0.6371490280777538,0.5547445255474452,0.4,0.9047619047619048,0.47300215982721383,0.3445378151260504,0.5857142857142857,0.24404761904761904,0.6630669546436285
Faulty (F+A),20,0.6846846846846847,55,37,18,0.5777777777777777,0.48148148148148145,0.7222222222222222,0.6545454545454545,0.5777777777777777,0.48148148148148145,0.7222222222222222,0.6545454545454545,0.5396825396825397,0.37777777777777777,0.9444444444444444,0.4727272727272727,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.7272727272727273
Faulty (F+A),25,0.8139784946236559,46,31,15,0.7096774193548387,0.6875,0.7333333333333333,0.8043478260869565,0.7096774193548387,0.6875,0.7333333333333333,0.8043478260869565,0.6086956521739131,0.45161290322580644,0.9333333333333333,0.6086956521739131,0.5,0.6666666666666666,0.4,0.7391304347826086
