timestamp,pm25_0,pm25_1,pm25_2,pm25_3,pm25,pm25_0_calibrated,pm25_1_calibrated,pm25_2_calibrated,pm25_3_calibrated,pm25_calibrated
1605499206,109,0,113,83,101.66666666666667,49.44849192533002,13.272220934123684,50.77606150298895,40.81928967054685,47.01461436628861
1605499207,109,0,113,85,102.0,49.44849192533002,13.272220934123684,50.77606150298895,41.483074459376326,47.12524516442686
1605499208,108,0,113,85,102.0,49.11659953091528,13.272220934123684,50.77606150298895,41.483074459376326,47.12524516442686
1605499209,108,0,113,86,102.08333333333333,49.11659953091528,13.272220934123684,50.77606150298895,41.81496685379106,47.152902863961415
1605499210,108,0,113,86,102.13333333333333,49.11659953091528,13.272220934123684,50.77606150298895,41.81496685379106,47.16949748368215
1605499211,108,0,114,86,102.22222222222223,49.11659953091528,13.272220934123684,51.10795389740369,41.81496685379106,47.198999029852345
1605499212,109,0,115,86,102.3809523809524,49.44849192533002,13.272220934123684,51.43984629181843,41.81496685379106,47.25168036229914
1605499213,109,0,115,85,102.45833333333333,49.44849192533002,13.272220934123684,51.43984629181843,41.483074459376326,47.27736251186694
1605499214,110,0,115,85,102.55555555555556,49.780384319744755,13.272220934123684,51.43984629181843,41.483074459376326,47.30962982799059
1605499215,110,0,116,85,102.66666666666667,49.780384319744755,13.272220934123684,51.771738686233164,41.483074459376326,47.34650676070335
1605499216,110,0,116,85,102.75757575757575,49.780384319744755,13.272220934123684,51.771738686233164,41.483074459376326,47.37667879655923
1605499217,112,0,117,84,102.8888888888889,50.444169108574215,13.272220934123684,52.1036310806479,41.15118206496159,47.42026062612885
1605499218,113,0,117,84,103.02564102564104,50.77606150298895,13.272220934123684,52.1036310806479,41.15118206496159,47.46564762023684
1605499219,113,0,118,83,103.14285714285715,50.77606150298895,13.272220934123684,52.43552347506264,40.81928967054685,47.50455075804369
1605499220,113,0,118,83,103.24444444444445,50.77606150298895,13.272220934123684,52.43552347506264,40.81928967054685,47.538266810809645
1605499221,114,0,118,83,103.35416666666667,51.10795389740369,13.272220934123684,52.43552347506264,40.81928967054685,47.57468278186347
1605499222,114,0,118,83,103.45098039215686,51.10795389740369,13.272220934123684,52.43552347506264,40.81928967054685,47.606814521028625
1605499223,113,0,119,82,103.51851851851852,50.77606150298895,13.272220934123684,52.767415869477375,40.487397276132114,47.629229911501085
1605499224,113,0,120,82,103.59649122807018,50.77606150298895,13.272220934123684,53.09930826389211,40.487397276132114,47.65510846077319
1605499225,113,0,120,82,103.66666666666667,50.77606150298895,13.272220934123684,53.09930826389211,40.487397276132114,47.678399155118086
1605499226,112,0,121,82,103.73015873015873,50.444169108574215,13.272220934123684,53.43120065830685,40.487397276132114,47.69947168809679
1605499227,112,0,122,82,103.8030303030303,50.444169108574215,13.272220934123684,53.76309305272159,40.487397276132114,47.72365720890191
1605499228,111,0,122,82,103.85507246376812,50.11227671415949,13.272220934123684,53.76309305272159,40.487397276132114,47.7409296062397
1605499229,111,0,122,82,103.90277777777779,50.11227671415949,13.272220934123684,53.76309305272159,40.487397276132114,47.75676263713268
1605499230,111,0,122,82,103.94666666666667,50.11227671415949,13.272220934123684,53.76309305272159,40.487397276132114,47.77132902555421
1605499231,110,0,121,82,103.96153846153845,49.780384319744755,13.272220934123684,53.43120065830685,40.487397276132114,47.776264861163455
1605499232,110,0,121,82,103.9753086419753,49.780384319744755,13.272220934123684,53.43120065830685,40.487397276132114,47.780835079320156
1605499233,111,0,121,81,103.98809523809524,50.11227671415949,13.272220934123684,53.43120065830685,40.15550488171738,47.785078853322815
1605499234,111,0,121,81,104.0,50.11227671415949,13.272220934123684,53.43120065830685,40.15550488171738,47.78902995325633
1605499235,111,0,122,81,104.02222222222223,50.11227671415949,13.272220934123684,53.76309305272159,40.15550488171738,47.79640533979888
1605499236,111,0,122,81,104.12222222222222,50.11227671415949,13.272220934123684,53.76309305272159,40.15550488171738,47.82959457924035
1605499237,111,0,123,80,104.2,50.11227671415949,13.272220934123684,54.094985447136324,39.82361248730264,47.85540843213927
1605499238,111,0,124,80,104.3,50.11227671415949,13.272220934123684,54.42687784155106,39.82361248730264,47.88859767158074
1605499239,111,0,125,80,104.39999999999999,50.11227671415949,13.272220934123684,54.7587702359658,39.82361248730264,47.921786911022224
1605499240,111,0,125,79,104.4888888888889,50.11227671415949,13.272220934123684,54.7587702359658,39.4917200928879,47.95128845719242
1605499241,111,0,126,78,104.56666666666666,50.11227671415949,13.272220934123684,55.090662630380535,39.159827698473165,47.97710231009134
1605499242,111,0,127,77,104.62222222222222,50.11227671415949,13.272220934123684,55.42255502479527,38.82793530405843,47.99554077644771
1605499243,111,0,127,77,104.68888888888888,50.11227671415949,13.272220934123684,55.42255502479527,38.82793530405843,48.01766693607537
1605499244,110,0,128,76,104.73333333333333,49.780384319744755,13.272220934123684,55.75444741921001,38.49604290964369,48.03241770916047
1605499245,111,0,129,75,104.77777777777779,50.11227671415949,13.272220934123684,56.08633981362475,38.164150515228954,48.04716848224557
1605499246,110,0,129,74,104.80000000000001,49.780384319744755,13.272220934123684,56.08633981362475,37.83225812081422,48.054543868788116
1605499247,110,0,129,74,104.8,49.780384319744755,13.272220934123684,56.08633981362475,37.83225812081422,48.054543868788116
1605499248,110,0,130,73,104.78888888888889,49.780384319744755,13.272220934123684,56.418232208039484,37.50036572639948,48.05085617551684
1605499249,110,0,129,73,104.76666666666667,49.780384319744755,13.272220934123684,56.08633981362475,37.50036572639948,48.04348078897429
