fpr,tpr,thresholds
0.0,0.0,inf
0.06666666666666667,0.0,0.000871686264872551
0.06666666666666667,0.3333333333333333,0.0001097402346204035
0.13333333333333333,0.3333333333333333,0.00010052529978565872
0.13333333333333333,0.4444444444444444,8.512602653354406e-05
0.2,0.4444444444444444,6.993141141720116e-05
0.26666666666666666,0.5555555555555556,5.8752804761752486e-05
0.5333333333333333,0.5555555555555556,3.7213470932329074e-05
0.6,0.6666666666666666,3.6469209589995444e-05
0.7333333333333333,0.6666666666666666,2.868847150239162e-05
0.7333333333333333,1.0,2.5627139621064998e-05
1.0,1.0,1.3569883776654024e-05
