timestamp,cal_pm25_fa
1605519360,44.32727
1605519361,44.27737
1605519362,44.27737
1605519363,44.27737
1605519364,44.27737
1605519365,44.27737
1605519366,44.32727
1605519367,44.32727
1605519368,44.32727
1605519369,44.32727
1605519370,44.32727
1605519371,44.32727
1605519372,44.32727
1605519373,44.32727
1605519374,44.32727
1605519375,44.27737
1605519376,44.27737
1605519377,44.27737
1605519378,44.27737
1605519379,46.357197
1605519380,46.357197
1605519381,46.357197
1605519382,46.357197
1605519383,46.56409
1605519384,46.56409
1605519385,46.56409
1605519386,46.56409
1605519387,46.56409
1605519388,46.56409
1605519389,46.56409
1605519390,46.962566
1605519391,46.962566
1605519392,46.962566
1605519393,46.962566
1605519394,46.962566
1605519395,46.962566
1605519396,46.962566
1605519397,46.962566
1605519398,46.962566
1605519399,46.56409
1605519400,46.56409
1605519401,46.56409
1605519402,46.56409
1605519403,46.56409
1605519404,46.357197
1605519405,46.357197
1605519406,46.357197
1605519407,44.27737
1605519408,44.27737
1605519409,44.27737
1605519410,44.27737
1605519411,76.29058
1605519412,76.29058
1605519413,76.595924
1605519414,76.595924
1605519415,76.595924
1605519416,76.595924
1605519417,76.595924
1605519418,76.595924
1605519419,76.595924
1605519420,76.595924
1605519421,76.595924
1605519422,76.595924
1605519423,76.595924
1605519424,76.595924
1605519425,44.32727
1605519426,42.790894
1605519427,42.790894
1605519428,42.790894
1605519429,42.790894
1605519430,76.595924
1605519431,76.595924
1605519432,75.08517
1605519433,75.08517
1605519434,75.08517
1605519435,75.08517
1605519436,75.08517
1605519437,74.76331
1605519438,74.76331
1605519439,75.048416
1605519440,75.048416
1605519441,75.567345
1605519442,75.567345
1605519443,75.27132
1605519444,75.415794
1605519445,75.51973
1605519446,75.51973
1605519447,75.292786
1605519448,75.460335
1605519449,75.612816
1605519450,75.612816
1605519451,76.4458
1605519452,76.4458
1605519453,76.4458
1605519454,76.4458
1605519455,76.4458
1605519456,76.4458
1605519457,76.4458
1605519458,76.4458
1605519459,76.4458
1605519460,76.4458
1605519461,74.9767
1605519462,74.9767
1605519463,74.9767
1605519464,74.9767
1605519465,74.9767
1605519466,74.9767
1605519467,74.9767
1605519468,74.9767
1605519469,74.9767
1605519470,74.9767
1605519471,74.9767
1605519472,74.9767
1605519473,49.889458
1605519474,49.889458
1605519475,49.889458
1605519476,49.889458
1605519477,49.889458
1605519478,49.889458
1605519479,49.889458
1605519480,49.889458
1605519481,49.889458
1605519482,48.737713
1605519483,48.737713
1605519484,48.737713
1605519485,50.271023
1605519486,50.271023
1605519487,51.256855
1605519488,51.256855
1605519489,51.256855
1605519490,51.256855
1605519491,49.65418
1605519492,49.65418
1605519493,49.65418
1605519494,49.65418
1605519495,49.44105
1605519496,49.44105
1605519497,49.44105
1605519498,51.665287
1605519499,51.665287
1605519500,51.665287
1605519501,51.665287
1605519502,51.665287
1605519503,51.665287
1605519504,51.665287
1605519505,51.665287
1605519506,51.665287
1605519507,51.006702
1605519508,51.006702
1605519509,51.006702
1605519510,51.006702
1605519511,51.006702
1605519512,51.006702
1605519513,51.006702
1605519514,51.830708
1605519515,51.830708
1605519516,51.830708
1605519517,51.830708
1605519518,51.830708
1605519519,52.588684
1605519520,52.588684
1605519521,52.588684
1605519522,47.081493
1605519523,47.081493
1605519524,47.081493
1605519525,42.68166
1605519526,51.830708
1605519527,51.830708
1605519528,53.389423
1605519529,53.389423
1605519530,53.389423
1605519531,53.389423
1605519532,53.389423
1605519533,53.389423
1605519534,53.389423
1605519535,53.389423
1605519536,53.389423
1605519537,53.389423
1605519538,53.389423
1605519539,53.389423
1605519540,53.389423
1605519541,53.389423
1605519542,53.389423
1605519543,53.389423
1605519544,53.389423
1605519545,51.830708
1605519546,51.830708
1605519547,51.830708
1605519548,51.830708
1605519549,61.106663
1605519550,62.533905
1605519551,62.533905
1605519552,62.533905
1605519553,69.5075
1605519554,69.5075
1605519555,72.95311
1605519556,72.95311
1605519557,51.665287
1605519558,51.665287
1605519559,51.665287
1605519560,51.665287
1605519561,51.665287
1605519562,51.665287
1605519563,51.665287
1605519564,51.665287
1605519565,51.665287
