Dataset,Granularity,AUC,Total Days,Normal,Anom,F1_BestF1,Precision_BestF1,Recall_BestF1,Accuracy_BestF1,F1_ROC_TopLeft,Precision_ROC_TopLeft,Recall_ROC_TopLeft,Accuracy_ROC_TopLeft,F1_Recall_90,Precision_Recall_90,Recall_Recall_90,Accuracy_Recall_90,F1_FPR_10,Precision_FPR_10,Recall_FPR_10,Accuracy_FPR_10
Fault Free,10,0.8125,120,72,48,0.7058823529411765,0.6666666666666666,0.75,0.75,0.7058823529411765,0.6666666666666666,0.75,0.75,0.676923076923077,0.5365853658536586,0.9166666666666666,0.65,0.625,0.78125,0.5208333333333334,0.75
Fault Free,2.5,0.7681396287328491,463,295,168,0.6363636363636364,0.5526315789473685,0.75,0.6889848812095032,0.6334310850439883,0.6242774566473989,0.6428571428571429,0.7300215982721382,0.5834932821497121,0.43059490084985835,0.9047619047619048,0.531317494600432,0.5620437956204379,0.7264150943396226,0.4583333333333333,0.7408207343412527
Fault Free,20,0.7905405405405406,55,37,18,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.8181818181818182,0.6190476190476191,0.5416666666666666,0.7222222222222222,0.7090909090909091,0.6538461538461539,0.5,0.9444444444444444,0.6727272727272727,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.8181818181818182
Fault Free,25,0.9150537634408602,46,31,15,0.9032258064516129,0.875,0.9333333333333333,0.9347826086956522,0.9032258064516129,0.875,0.9333333333333333,0.9347826086956522,0.9032258064516129,0.875,0.9333333333333333,0.9347826086956522,0.9032258064516129,0.875,0.9333333333333333,0.9347826086956522
Fault Free,5,0.7917482061317678,251,146,105,0.6814814814814815,0.5575757575757576,0.8761904761904762,0.6573705179282868,0.6794258373205742,0.6826923076923077,0.6761904761904762,0.7330677290836654,0.657439446366782,0.5163043478260869,0.9047619047619048,0.6055776892430279,0.6741573033707865,0.821917808219178,0.5714285714285714,0.7689243027888446
Fault Free,50,0.7925925925925926,24,15,9,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,0.6428571428571429,0.47368421052631576,1.0,0.5833333333333334,0.46153846153846156,0.75,0.3333333333333333,0.7083333333333334
Faulty (F+A),10,0.6348379629629629,120,72,48,0.6060606060606061,0.5882352941176471,0.625,0.675,0.6060606060606061,0.5882352941176471,0.625,0.675,0.5751633986928104,0.41904761904761906,0.9166666666666666,0.4583333333333333,0.3125,0.625,0.20833333333333334,0.6333333333333333
Faulty (F+A),2.5,0.6417877320419693,463,295,168,0.5650406504065041,0.42901234567901236,0.8273809523809523,0.5377969762419006,0.537467700258398,0.4748858447488584,0.6190476190476191,0.6133909287257019,0.5477477477477477,0.39276485788113696,0.9047619047619048,0.45788336933045354,0.2956521739130435,0.5483870967741935,0.20238095238095238,0.6501079913606912
Faulty (F+A),20,0.5833333333333333,55,37,18,0.5625,0.6428571428571429,0.5,0.7454545454545455,0.5625,0.6428571428571429,0.5,0.7454545454545455,0.4927536231884058,0.3333333333333333,0.9444444444444444,0.36363636363636365,0.32,0.5714285714285714,0.2222222222222222,0.6909090909090909
Faulty (F+A),25,0.7860215053763441,46,31,15,0.7096774193548387,0.6875,0.7333333333333333,0.8043478260869565,0.7096774193548387,0.6875,0.7333333333333333,0.8043478260869565,0.5833333333333334,0.42424242424242425,0.9333333333333333,0.5652173913043478,0.36363636363636365,0.5714285714285714,0.26666666666666666,0.6956521739130435
Faulty (F+A),5,0.6445857795172865,251,146,105,0.6071428571428571,0.4857142857142857,0.8095238095238095,0.5617529880478087,0.5533980582524272,0.5643564356435643,0.5428571428571428,0.6334661354581673,0.5882352941176471,0.43577981651376146,0.9047619047619048,0.4701195219123506,0.4342105263157895,0.7021276595744681,0.3142857142857143,0.6573705179282868
Faulty (F+A),50,0.7185185185185184,24,15,9,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.6666666666666666,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.6666666666666666,0.6206896551724138,0.45,1.0,0.5416666666666666,0.5714285714285714,0.8,0.4444444444444444,0.75
Sensor 1,10,0.7181712962962963,120,72,48,0.6597938144329897,0.6530612244897959,0.6666666666666666,0.725,0.6597938144329897,0.6530612244897959,0.6666666666666666,0.725,0.6111111111111112,0.4583333333333333,0.9166666666666666,0.5333333333333333,0.43478260869565216,0.7142857142857143,0.3125,0.675
Sensor 1,2.5,0.5614305891848265,463,295,168,0.5372168284789643,0.3688888888888889,0.9880952380952381,0.38228941684665224,0.4430769230769231,0.4585987261146497,0.42857142857142855,0.6090712742980562,0.5277777777777778,0.37254901960784315,0.9047619047619048,0.41252699784017277,0.3404255319148936,0.5970149253731343,0.23809523809523808,0.6652267818574514
