timestamp,cal_pm25_0,cal_pm25_1,cal_pm25_2,cal_pm25_3
1604275210,44.84015,25.828362,45.569138,34.679775
1604275211,44.445107,25.828362,45.569138,33.968357
1604275212,44.84015,25.828362,45.569138,33.968357
1604275213,44.84015,25.828362,67.337074,32.459995
1604275214,45.720074,25.828362,72.75618,32.459995
1604275215,46.372597,25.828362,72.75618,32.459995
1604275216,47.861263,25.828362,52.987637,32.20952
1604275217,47.926147,25.828362,50.790806,32.20952
1604275218,46.026196,25.828362,50.790806,32.20952
1604275219,42.85742,25.828362,45.568817,32.20952
1604275220,38.898296,25.828362,45.568817,32.20952
1604275221,37.16776,25.828362,43.61851,33.90716
1604275222,37.16776,25.828362,35.20983,33.90716
1604275223,32.95744,25.828362,34.720493,38.808372
1604275224,34.227787,25.828362,35.538506,38.808372
1604275225,34.227787,25.828362,35.538506,38.808372
1604275226,34.227787,25.828362,35.64185,38.808372
1604275227,34.227787,25.828362,35.64185,38.808372
1604275228,32.95744,25.828362,35.538506,38.808372
1604275229,32.95744,25.828362,35.488384,38.808372
1604275230,32.95744,25.828362,34.720493,38.808372
1604275231,34.227787,25.828362,34.720493,33.90716
1604275232,34.227787,25.828362,34.720493,33.90716
1604275233,36.435623,25.828362,35.20983,32.20952
1604275234,36.435623,25.828362,35.20983,32.20952
1604275235,36.435623,25.828362,35.20983,32.20952
1604275236,37.50135,25.828362,35.20983,32.20952
1604275237,34.64006,25.828362,35.20983,32.20952
1604275238,34.64006,25.828362,34.720493,32.20952
1604275239,29.843079,25.828362,34.720493,32.20952
1604275240,29.843079,25.828362,35.488384,32.20952
1604275241,29.843079,25.828362,35.538506,32.20952
1604275242,29.843079,25.828362,35.64185,32.20952
1604275243,29.843079,25.828362,35.755184,32.20952
1604275244,29.843079,25.828362,35.518917,33.90716
1604275245,29.843079,25.828362,35.518917,33.90716
1604275246,29.843079,25.828362,35.518917,38.808372
1604275247,29.843079,25.828362,34.947193,38.1595
1604275248,29.843079,25.828362,34.947193,38.03207
1604275249,29.843079,25.828362,32.693993,38.03207
1604275250,29.843079,25.828362,32.693993,38.23114
1604275251,29.843079,25.828362,32.693993,31.175837
1604275252,29.843079,25.828362,32.693993,32.564823
1604275253,29.843079,25.828362,32.693993,33.152107
1604275254,29.843079,25.828362,32.693993,36.34462
1604275255,29.843079,25.828362,32.693993,36.34462
1604275256,29.843079,25.828362,32.693993,46.897266
1604275257,34.64006,25.828362,34.947193,46.124573
1604275258,37.50135,25.828362,35.755184,46.124573
1604275259,37.50135,25.828362,35.64185,46.124573
1604275260,38.823906,25.828362,35.538506,46.124573
1604275261,38.823906,25.828362,25.081661,46.124573
1604275262,38.823906,25.828362,25.081661,46.897266
1604275263,38.823906,25.828362,29.843079,46.897266
1604275264,38.823906,25.828362,29.843079,42.998123
1604275265,36.435623,25.828362,38.823906,36.34462
1604275266,36.435623,25.828362,34.227787,33.152107
1604275267,36.435623,25.828362,34.227787,33.152107
1604275268,36.435623,25.828362,38.898296,31.96678
1604275269,36.435623,25.828362,38.898296,32.564823
1604275270,36.435623,25.828362,46.026196,31.202776
1604275271,36.435623,25.828362,46.026196,29.653723
1604275272,36.435623,25.828362,46.026196,27.51958
1604275273,36.435623,25.828362,46.026196,27.51958
1604275274,36.435623,25.828362,46.026196,31.175837
1604275275,38.823906,25.828362,47.926147,38.23114
1604275276,38.823906,25.828362,47.926147,38.23114
1604275277,38.823906,25.828362,46.026196,38.23114
1604275278,38.823906,25.828362,46.026196,38.23114
1604275279,38.823906,25.828362,42.85742,38.23114
1604275280,38.823906,25.828362,42.85742,38.23114
1604275281,38.823906,25.828362,42.85742,38.23114
1604275282,38.823906,25.828362,42.85742,38.23114
1604275283,38.823906,25.828362,38.898296,38.03207
1604275284,36.435623,25.828362,38.898296,38.03207
1604275285,36.435623,25.828362,38.898296,38.03207
1604275286,36.435623,25.828362,37.16776,38.03207
1604275287,38.823906,25.828362,37.16776,38.35149
1604275288,38.823906,25.828362,37.16776,38.1595
1604275289,38.823906,25.828362,37.16776,38.808372
1604275290,38.823906,25.828362,37.16776,38.808372
1604275291,38.823906,25.828362,37.16776,33.90716
1604275292,37.50135,25.828362,37.16776,33.90716
1604275293,37.50135,25.828362,38.898296,32.20952
1604275294,34.64006,25.828362,38.898296,32.20952
1604275295,34.64006,25.828362,46.026196,32.20952
1604275296,29.843079,25.828362,46.026196,32.20952
1604275297,29.843079,25.828362,46.026196,32.459995
1604275298,29.843079,25.828362,42.85742,32.459995
1604275299,29.843079,25.828362,42.85742,32.459995
1604275300,29.843079,25.828362,37.16776,32.459995
1604275301,29.843079,25.828362,37.16776,32.459995
1604275302,29.843079,25.828362,32.95744,32.459995
1604275303,29.843079,25.828362,34.227787,32.459995
1604275304,34.64006,25.828362,38.823906,32.459995
1604275305,34.64006,25.828362,34.64006,33.968357
1604275306,37.50135,25.828362,34.64006,32.459995
1604275307,38.823906,25.828362,29.843079,32.459995
1604275308,38.823906,25.828362,34.64006,32.459995
1604275309,38.823906,25.828362,34.64006,32.459995
1604275310,38.823906,25.828362,37.50135,32.459995
1604275311,38.823906,25.828362,37.50135,32.459995
1604275312,38.823906,25.828362,37.50135,32.459995
1604275313,38.823906,25.828362,37.50135,32.20952
1604275314,38.823906,25.828362,34.64006,32.20952
1604275315,38.823906,25.828362,34.64006,32.20952
1604275316,36.435623,25.828362,29.843079,32.459995
1604275317,36.435623,25.828362,29.843079,32.459995
1604275318,36.435623,25.828362,25.081661,32.459995
1604275319,34.227787,25.828362,25.081661,32.459995
1604275320,34.227787,25.828362,25.081661,32.459995
1604275321,34.227787,25.828362,29.793638,32.459995
1604275322,34.227787,25.828362,29.793638,32.20952
1604275323,36.435623,25.828362,32.693993,32.20952
1604275324,36.435623,25.828362,32.693993,32.20952
1604275325,36.435623,25.828362,34.947193,32.20952
1604275326,36.435623,25.828362,35.518917,33.90716
1604275327,36.435623,25.828362,35.518917,33.90716
1604275328,36.435623,25.828362,35.64185,38.808372
1604275329,36.435623,25.828362,35.538506,38.808372
1604275330,36.435623,25.828362,35.538506,38.808372
1604275331,36.435623,25.828362,35.538506,38.808372
1604275332,36.435623,25.828362,35.538506,38.1595
1604275333,36.435623,25.828362,35.64185,38.1595
1604275334,36.435623,25.828362,35.64185,38.1595
1604275335,36.435623,25.828362,35.755184,38.1595
1604275336,36.435623,25.828362,34.947193,38.35149
1604275337,36.435623,25.828362,32.693993,38.35149
1604275338,34.227787,25.828362,32.693993,38.35149
1604275339,34.771038,25.828362,32.693993,38.35149
1604275340,36.435623,25.828362,32.693993,38.35149
1604275341,37.54274,25.828362,32.693993,38.35149
1604275342,38.823906,25.828362,32.693993,38.35149
1604275343,39.094685,25.828362,32.693993,38.35149
1604275344,38.55523,25.828362,32.693993,38.35149
1604275345,37.50135,25.828362,32.693993,38.35149
1604275346,37.50135,25.828362,32.693993,38.35149
1604275347,34.64006,25.828362,29.793638,38.35149
1604275348,34.64006,25.828362,29.793638,38.35149
1604275349,29.843079,25.828362,29.793638,38.35149
1604275350,29.843079,25.828362,29.793638,38.35149
1604275351,29.843079,25.828362,29.793638,38.35149
1604275352,29.843079,25.828362,29.793638,38.35149
1604275353,29.843079,25.828362,29.793638,38.35149
1604275354,29.843079,25.828362,29.793638,38.1595
1604275355,29.843079,25.828362,25.081661,38.1595
1604275356,29.843079,25.828362,25.081661,38.1595
1604275357,29.843079,25.828362,25.081661,38.808372
1604275358,37.50135,25.828362,29.843079,38.808372
1604275359,38.823906,25.828362,29.843079,33.90716
1604275360,36.435623,25.828362,29.843079,33.90716
1604275361,34.227787,25.828362,29.843079,33.90716
1604275362,32.95744,25.828362,29.843079,32.459995
1604275363,32.95744,25.828362,29.843079,32.459995
1604275364,32.95744,25.828362,29.843079,33.968357
1604275365,32.95744,25.828362,29.843079,34.679775
1604275366,32.95744,25.828362,29.843079,34.679775
1604275367,32.95744,25.828362,29.843079,35.000477
1604275368,34.227787,25.828362,25.081661,35.000477
1604275369,34.227787,25.828362,25.081661,35.000477
1604275370,38.823906,25.828362,25.081661,35.000477
1604275371,38.823906,25.828362,25.081661,35.000477
1604275372,34.64006,25.828362,25.081661,35.000477
1604275373,29.843079,25.828362,25.081661,35.000477
1604275374,29.843079,25.828362,29.793638,34.679775
1604275375,29.843079,25.828362,29.793638,34.679775
1604275376,29.843079,25.828362,29.793638,33.968357
1604275377,29.843079,25.828362,29.793638,32.20952
1604275378,25.081661,25.828362,29.793638,32.459995
1604275379,25.081661,25.828362,25.081661,32.459995
1604275380,25.081661,25.828362,25.081661,33.968357
1604275381,25.081661,25.828362,29.793638,33.968357
1604275382,25.081661,25.828362,29.793638,33.968357
1604275383,25.081661,25.828362,29.793638,34.679775
1604275384,29.793638,25.828362,32.693993,34.679775
1604275385,29.793638,25.828362,32.693993,34.679775
1604275386,29.793638,25.828362,35.538506,35.000477
1604275387,29.793638,25.828362,34.720493,35.000477
1604275388,29.793638,25.828362,35.20983,36.43932
1604275389,29.793638,25.828362,43.61851,36.43932
1604275390,29.793638,25.828362,43.61851,36.43932
1604275391,32.693993,25.828362,47.338963,37.064987
1604275392,32.693993,25.828362,47.869053,37.064987
1604275393,32.693993,25.828362,47.869053,37.064987
1604275394,32.693993,25.828362,47.869053,37.064987
1604275395,34.947193,25.828362,43.61851,37.064987
1604275396,34.947193,25.828362,35.20983,36.43932
1604275397,35.518917,25.828362,35.20983,36.43932
1604275398,35.755184,25.828362,34.720493,35.000477
1604275399,35.64185,25.828362,35.538506,35.000477
1604275400,35.64185,25.828362,35.64185,35.000477
1604275401,35.488384,25.828362,35.64185,35.000477
1604275402,34.720493,25.828362,35.518917,35.000477
1604275403,34.720493,25.828362,32.693993,35.000477
1604275404,34.720493,25.828362,29.793638,35.000477
1604275405,34.720493,25.828362,29.793638,35.000477
1604275406,34.720493,25.828362,29.793638,35.000477
1604275407,34.720493,25.828362,29.793638,35.000477
1604275408,34.720493,25.828362,29.793638,35.000477
1604275409,34.720493,25.828362,25.081661,35.000477
1604275410,35.488384,25.828362,25.081661,35.000477
1604275411,35.538506,25.828362,25.081661,34.679775
1604275412,35.64185,25.828362,25.081661,34.679775
1604275413,35.64185,25.828362,25.081661,33.968357
1604275414,35.518917,25.828362,29.843079,33.968357
1604275415,32.693993,25.828362,29.843079,32.459995
1604275416,32.693993,25.828362,29.843079,32.459995
1604275417,32.693993,25.828362,29.843079,32.459995
1604275418,29.793638,25.828362,29.843079,32.459995
1604275419,29.793638,25.828362,29.843079,32.459995
1604275420,29.793638,25.828362,29.793638,33.968357
1604275421,29.793638,25.828362,32.693993,33.968357
1604275422,29.793638,25.828362,35.518917,34.679775
1604275423,29.793638,25.828362,34.720493,35.000477
1604275424,29.793638,25.828362,35.20983,35.000477
1604275425,29.793638,25.828362,43.61851,36.43932
1604275426,29.793638,25.828362,47.869053,36.43932
1604275427,29.793638,25.828362,50.228767,36.43932
1604275428,29.793638,25.828362,52.987637,36.43932
1604275429,29.793638,25.828362,71.802986,36.43932
1604275430,32.693993,25.828362,71.802986,36.43932
1604275431,34.947193,25.828362,71.802986,36.43932
1604275432,34.947193,25.828362,52.987637,35.000477
1604275433,35.518917,25.828362,52.987637,35.000477
1604275434,35.755184,25.828362,52.987637,35.000477
1604275435,35.755184,25.828362,52.987637,35.000477
1604275436,35.64185,25.828362,52.987637,35.000477
1604275437,35.64185,25.828362,52.987637,35.000477
1604275438,35.538506,25.828362,50.790806,35.000477
1604275439,35.538506,25.828362,50.790806,35.000477
1604275440,35.538506,25.828362,35.518917,35.000477
1604275441,35.538506,25.828362,34.947193,35.000477
1604275442,35.538506,25.828362,34.947193,35.000477
1604275443,35.538506,25.828362,32.693993,35.000477
1604275444,35.538506,25.828362,32.693993,35.000477
1604275445,35.488384,25.828362,32.693993,34.679775
1604275446,35.488384,25.828362,32.693993,33.968357
1604275447,35.488384,25.828362,34.947193,33.968357
1604275448,35.488384,25.828362,35.518917,32.459995
1604275449,35.488384,25.828362,35.755184,33.968357
1604275450,35.488384,25.828362,35.755184,33.968357
1604275451,35.488384,25.828362,35.64185,33.968357
1604275452,34.720493,25.828362,35.755184,33.968357
1604275453,34.720493,25.828362,35.64185,34.679775
1604275454,34.720493,25.828362,35.538506,35.000477
1604275455,34.720493,25.828362,35.538506,35.000477
1604275456,35.488384,25.828362,35.488384,35.000477
1604275457,35.488384,25.828362,35.488384,36.43932
1604275458,35.488384,25.828362,35.488384,37.064987
1604275459,35.488384,25.828362,35.488384,31.487083
1604275460,34.720493,25.828362,34.720493,31.487083
1604275461,34.720493,25.828362,34.720493,31.487083
1604275462,34.720493,25.828362,34.720493,31.487083
1604275463,34.720493,25.828362,34.720493,31.487083
1604275464,34.720493,25.828362,34.720493,37.064987
1604275465,34.720493,25.828362,34.720493,36.43932
1604275466,35.20983,25.828362,34.720493,36.43932
1604275467,35.20983,25.828362,35.488384,36.43932
1604275468,35.20983,25.828362,35.538506,35.000477
1604275469,35.20983,25.828362,35.64185,35.000477
1604275470,35.20983,25.828362,35.755184,34.679775
1604275471,35.20983,25.828362,35.518917,34.679775
1604275472,35.20983,25.828362,35.518917,34.679775
1604275473,35.20983,25.828362,32.693993,34.679775
1604275474,35.20983,25.828362,29.793638,34.679775
1604275475,35.20983,25.828362,29.793638,34.679775
1604275476,35.20983,25.828362,25.081661,34.679775
1604275477,35.20983,25.828362,25.081661,34.679775
1604275478,35.20983,25.828362,25.081661,35.000477
1604275479,35.20983,25.828362,25.081661,35.000477
1604275480,34.720493,25.828362,34.64006,35.000477
1604275481,34.720493,25.828362,38.823906,35.000477
1604275482,34.720493,25.828362,38.823906,35.000477
1604275483,34.720493,25.828362,32.95744,35.000477
