Dataset,Granularity,AUC,F1,Precision,Recall,Accuracy,Best_Threshold,Total Days,Normal,Anom
Fault Free,10,0.7828414351851851,0.6923076923076923,0.6428571428571429,0.75,0.7333333333333333,0.0001488670677645132,120,72,48
Fault Free,2.5,0.7794087974172719,0.6628571428571428,0.6373626373626373,0.6904761904761905,0.7451403887688985,0.0007406207732856274,463,295,168
Fault Free,20,0.8130630630630631,0.6829268292682927,0.6086956521739131,0.7777777777777778,0.7636363636363637,0.00010960554936900735,55,37,18
Fault Free,25,0.9043010752688172,0.8484848484848485,0.7777777777777778,0.9333333333333333,0.8913043478260869,8.017213986022398e-05,46,31,15
Fault Free,5,0.7954990215264187,0.7222222222222222,0.7027027027027027,0.7428571428571429,0.7609561752988048,0.0004874823789577931,251,146,105
Fault Free,50,0.8148148148148149,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,9.421216236660257e-05,24,15,9
Faulty (F+A),10,0.6335358796296297,0.5925925925925926,0.42105263157894735,1.0,0.45,2.340223545616027e-05,120,72,48
Faulty (F+A),2.5,0.6284705407586764,0.562929061784897,0.45724907063197023,0.7321428571428571,0.5874730021598272,0.00028065708465874195,463,295,168
Faulty (F+A),20,0.6944444444444444,0.5789473684210527,0.55,0.6111111111111112,0.7090909090909091,0.0001295997208217159,55,37,18
Faulty (F+A),25,0.7473118279569892,0.6363636363636364,0.4827586206896552,0.9333333333333333,0.6521739130434783,2.3231079467223026e-05,46,31,15
Faulty (F+A),5,0.6814090019569472,0.632,0.5448275862068965,0.7523809523809524,0.6334661354581673,0.00019118543423246592,251,146,105
Faulty (F+A),50,0.6148148148148148,0.6206896551724138,0.45,1.0,0.5416666666666666,1.791806789697148e-05,24,15,9
Sensor 1,10,0.689091435185185,0.6126126126126126,0.5396825396825397,0.7083333333333334,0.6416666666666667,0.00035615244996733963,120,72,48
Sensor 1,2.5,0.6240819209039548,0.5381679389312977,0.3960674157303371,0.8392857142857143,0.4773218142548596,0.00046981219202280045,463,295,168
Sensor 1,20,0.7289789789789789,0.6190476190476191,0.5416666666666666,0.7222222222222222,0.7090909090909091,0.0002531701175030321,55,37,18
Sensor 1,25,0.6870967741935483,0.5769230769230769,0.40540540540540543,1.0,0.5217391304347826,3.182316504535265e-05,46,31,15
Sensor 1,5,0.6440313111545988,0.5965909090909091,0.4251012145748988,1.0,0.4342629482071713,5.3516461775870994e-05,251,146,105
Sensor 1,50,0.6666666666666667,0.6206896551724138,0.45,1.0,0.5416666666666666,3.396562169655226e-05,24,15,9
Sensor 2,10,0.6390335648148148,0.6142857142857143,0.4673913043478261,0.8958333333333334,0.55,2.753853732428979e-05,120,72,48
Sensor 2,2.5,0.5583333333333333,0.5391014975041597,0.3741339491916859,0.9642857142857143,0.4017278617710583,0.00014543053111992776,463,295,168
Sensor 2,20,0.5735735735735736,0.5079365079365079,0.35555555555555557,0.8888888888888888,0.43636363636363634,0.0004960587248206139,55,37,18
Sensor 2,25,0.4795698924731183,0.4918032786885246,0.32608695652173914,1.0,0.32608695652173914,1.3099853276798967e-05,46,31,15
Sensor 2,5,0.5666014350945858,0.5994236311239193,0.4297520661157025,0.9904761904761905,0.44621513944223107,1.7982998542720452e-05,251,146,105
Sensor 2,50,0.6259259259259259,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.001163876848295331,24,15,9
Sensor 3,10,0.5768229166666666,0.5844155844155844,0.42452830188679247,0.9375,0.4666666666666667,0.00014717823069076985,120,72,48
Sensor 3,2.5,0.5576775625504439,0.5358851674641149,0.3660130718954248,1.0,0.3714902807775378,0.00011156867549289018,463,295,168
Sensor 3,20,0.6268768768768769,0.5714285714285714,0.4,1.0,0.509090909090909,0.00011473802442196757,55,37,18
Sensor 3,25,0.6763440860215054,0.5769230769230769,0.40540540540540543,1.0,0.5217391304347826,7.351212116191164e-05,46,31,15
Sensor 3,5,0.671167645140248,0.6511627906976745,0.5,0.9333333333333333,0.5816733067729084,0.0005087134195491672,251,146,105
Sensor 3,50,0.6888888888888889,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.00018266361439600587,24,15,9
Sensor 4,10,0.5700231481481481,0.5897435897435898,0.42592592592592593,0.9583333333333334,0.4666666666666667,9.21330283745192e-05,120,72,48
Sensor 4,2.5,0.5527138821630346,0.535031847133758,0.3652173913043478,1.0,0.3693304535637149,9.759118256624788e-05,463,295,168
Sensor 4,20,0.5202702702702702,0.5517241379310345,0.4,0.8888888888888888,0.5272727272727272,0.00011442427057772875,55,37,18
Sensor 4,25,0.4720430107526882,0.5098039215686274,0.3611111111111111,0.8666666666666667,0.45652173913043476,3.739880776265636e-05,46,31,15
Sensor 4,5,0.6161448140900195,0.5965909090909091,0.4251012145748988,1.0,0.4342629482071713,6.409845809685066e-05,251,146,105
Sensor 4,50,0.3925925925925926,0.5454545454545454,0.375,1.0,0.375,2.300060987181496e-05,24,15,9
