Dataset,Granularity,AUC,F1,Precision,Recall,Accuracy,Best_Threshold,Total Days,Normal,Anom
Fault Free,10,0.8094618055555555,0.7049180327868853,0.581081081081081,0.8958333333333334,0.7,8.238609007094055e-05,120,72,48
Fault Free,2.5,0.7318704600484262,0.6149068322981367,0.6428571428571429,0.5892857142857143,0.7321814254859611,0.0012539162999019027,463,295,168
Fault Free,20,0.8551051051051051,0.7142857142857143,0.625,0.8333333333333334,0.7818181818181819,0.00010657509847078472,55,37,18
Fault Free,25,0.9268817204301075,0.9032258064516129,0.875,0.9333333333333333,0.9347826086956522,0.00010230999760096893,46,31,15
Fault Free,5,0.7590019569471624,0.688,0.593103448275862,0.819047619047619,0.6892430278884463,0.00021126192586962134,251,146,105
Fault Free,50,0.7222222222222222,0.64,0.5,0.8888888888888888,0.625,2.473600034136325e-05,24,15,9
Faulty (F+A),10,0.672019675925926,0.62,0.5961538461538461,0.6458333333333334,0.6833333333333333,0.00011398169590393081,120,72,48
Faulty (F+A),2.5,0.6174435028248588,0.5614035087719298,0.41739130434782606,0.8571428571428571,0.5140388768898488,0.00018263759557157755,463,295,168
Faulty (F+A),20,0.6283783783783783,0.5531914893617021,0.4482758620689655,0.7222222222222222,0.6181818181818182,7.368345541181043e-05,55,37,18
Faulty (F+A),25,0.8193548387096774,0.7222222222222222,0.6190476190476191,0.8666666666666667,0.782608695652174,3.757453669095412e-05,46,31,15
Faulty (F+A),5,0.6050880626223092,0.6049382716049383,0.4474885844748858,0.9333333333333333,0.4900398406374502,5.945457814959809e-05,251,146,105
Faulty (F+A),50,0.6481481481481481,0.6363636363636364,0.5384615384615384,0.7777777777777778,0.6666666666666666,2.8300446501816623e-05,24,15,9
Sensor 1,10,0.7307581018518519,0.68,0.6538461538461539,0.7083333333333334,0.7333333333333333,0.00040312143391929567,120,72,48
Sensor 1,2.5,0.5841303470540758,0.5324881141045958,0.36285097192224625,1.0,0.36285097192224625,4.274604725651443e-05,463,295,168
Sensor 1,20,0.7049549549549549,0.6,0.5454545454545454,0.6666666666666666,0.7090909090909091,0.0002617257705423981,55,37,18
Sensor 1,25,0.7311827956989247,0.5957446808510638,0.4375,0.9333333333333333,0.5869565217391305,6.208359991433099e-05,46,31,15
Sensor 1,5,0.6139595564253099,0.5915492957746479,0.42,1.0,0.42231075697211157,3.518526136758737e-05,251,146,105
Sensor 1,50,0.6407407407407407,0.6086956521739131,0.5,0.7777777777777778,0.625,5.292197602102533e-05,24,15,9
Sensor 2,10,0.6433738425925927,0.6101694915254238,0.5142857142857142,0.75,0.6166666666666667,0.0005123504088260233,120,72,48
Sensor 2,2.5,0.5304681194511703,0.5324881141045958,0.36285097192224625,1.0,0.36285097192224625,5.3135296184336767e-05,463,295,168
Sensor 2,20,0.6396396396396395,0.5538461538461539,0.3829787234042553,1.0,0.4727272727272727,6.793159991502762e-05,55,37,18
Sensor 2,25,0.5860215053763441,0.5128205128205128,0.4166666666666667,0.6666666666666666,0.5869565217391305,9.863242303254083e-05,46,31,15
Sensor 2,5,0.5598173515981736,0.5898876404494382,0.41832669322709165,1.0,0.41832669322709165,2.0844403479713947e-05,251,146,105
Sensor 2,50,0.6,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.0012558975722640753,24,15,9
Sensor 3,10,0.6410590277777778,0.5981308411214953,0.5423728813559322,0.6666666666666666,0.6416666666666667,0.0005286010564304888,120,72,48
Sensor 3,2.5,0.573365617433414,0.5370051635111877,0.37772397094430993,0.9285714285714286,0.4190064794816415,0.00041201538988389075,463,295,168
Sensor 3,20,0.5457957957957957,0.5538461538461539,0.3829787234042553,1.0,0.4727272727272727,0.00013294919335749,55,37,18
Sensor 3,25,0.6709677419354838,0.5957446808510638,0.4375,0.9333333333333333,0.5869565217391305,0.0001273134257644415,46,31,15
Sensor 3,5,0.6120352250489237,0.6094674556213018,0.44206008583690987,0.9809523809523809,0.47410358565737054,0.00019792193779721856,251,146,105
Sensor 3,50,0.7296296296296296,0.7,0.6363636363636364,0.7777777777777778,0.75,0.0002445813734084368,24,15,9
Sensor 4,10,0.6345486111111112,0.609271523178808,0.44660194174757284,0.9583333333333334,0.5083333333333333,0.00014751787239219993,120,72,48
Sensor 4,2.5,0.5447841000807102,0.5401709401709401,0.37889688249400477,0.9404761904761905,0.4190064794816415,0.0002492716012056917,463,295,168
Sensor 4,20,0.5885885885885885,0.576271186440678,0.4146341463414634,0.9444444444444444,0.5454545454545454,0.00011782604997279122,55,37,18
Sensor 4,25,0.6752688172043011,0.5909090909090909,0.4482758620689655,0.8666666666666667,0.6086956521739131,5.543471343116835e-05,46,31,15
Sensor 4,5,0.5435420743639923,0.5947521865889213,0.42857142857142855,0.9714285714285714,0.44621513944223107,9.509135998087004e-05,251,146,105
Sensor 4,50,0.45555555555555555,0.5833333333333334,0.4666666666666667,0.7777777777777778,0.5833333333333334,3.4782093280227855e-05,24,15,9
