timestamp,cal_pm25_0,cal_pm25_1,cal_pm25_2,cal_pm25_3
1604294640,32.47804,14.003659,23.480156,25.109098
1604294641,33.905396,14.003659,29.552504,25.109098
1604294642,34.751724,14.003659,29.552504,22.794245
1604294643,34.751724,14.003659,33.61625,22.794245
1604294644,34.751724,14.003659,36.844856,22.348013
1604294645,34.751724,14.003659,38.717766,22.348013
1604294646,34.751724,14.003659,38.717766,22.348013
1604294647,34.751724,14.003659,38.717766,22.348013
1604294648,33.905396,14.003659,38.94932,22.348013
1604294649,32.47804,14.003659,38.94932,22.348013
1604294650,32.47804,14.003659,38.94932,22.794245
1604294651,58.591473,14.003659,38.717766,25.109098
1604294652,58.591473,14.003659,36.844856,25.109098
1604294653,50.266567,14.003659,33.61625,25.109098
1604294654,50.266567,14.003659,33.61625,28.545465
1604294655,35.646603,14.003659,23.480156,28.545465
1604294656,35.646603,14.003659,22.939974,28.545465
1604294657,35.646603,14.003659,22.892462,28.545465
1604294658,35.832264,14.003659,22.892462,28.545465
1604294659,34.709084,14.003659,22.348013,28.545465
1604294660,33.34503,14.003659,22.348013,28.545465
1604294661,33.34503,14.003659,22.794245,28.545465
1604294662,30.204165,14.003659,22.794245,27.245901
1604294663,30.204165,14.003659,22.794245,27.245901
1604294664,30.204165,14.003659,22.348013,27.245901
1604294665,30.204165,14.003659,22.348013,27.245901
1604294666,46.293705,14.003659,22.348013,27.245901
1604294667,46.293705,14.003659,22.348013,27.245901
1604294668,46.293705,14.003659,22.348013,28.545465
1604294669,46.293705,14.003659,22.348013,25.109098
1604294670,55.03751,14.003659,22.348013,22.794245
1604294671,57.79605,14.003659,22.348013,22.892462
1604294672,57.708614,14.003659,22.348013,23.480156
1604294673,57.708614,14.003659,22.348013,23.480156
1604294674,55.497173,14.003659,22.348013,38.828205
1604294675,55.497173,14.003659,22.348013,38.239582
1604294676,55.497173,14.003659,22.348013,37.610466
1604294677,44.036022,14.003659,22.348013,37.665455
1604294678,44.036022,14.003659,22.794245,37.00326
1604294679,44.036022,14.003659,22.794245,37.00326
