timestamp,pm25,pm25_calibrated
1606449608,104.75,48.03794924906738
1606449609,105.25,48.20389544627474
1606449610,105.25,48.20389544627474
1606449611,104.75,48.03794924906738
1606449612,105.0,48.12092234767107
1606449613,104.75,48.03794924906738
1606449614,104.75,48.03794924906738
1606449615,104.75,48.03794924906738
1606449616,104.5,47.95497615046369
1606449617,104.5,47.95497615046369
1606449618,104.5,47.95497615046369
1606449619,104.5,47.95497615046369
1606449620,104.75,48.03794924906738
1606449621,104.25,47.872003051860005
1606449622,104.5,47.95497615046369
1606449623,104.25,47.872003051860005
1606449624,104.75,48.03794924906738
1606449625,104.75,48.03794924906738
1606449626,105.0,48.12092234767107
1606449627,105.0,48.12092234767107
1606449628,105.0,48.12092234767107
1606449629,105.25,48.20389544627474
1606449630,105.0,48.12092234767107
1606449631,105.25,48.20389544627474
1606449632,105.5,48.28686854487843
1606449633,105.75,48.36984164348212
1606449634,105.5,48.28686854487843
1606449635,105.75,48.36984164348212
1606449636,106.0,48.452814742085806
1606449637,106.0,48.452814742085806
1606449638,106.0,48.452814742085806
1606449639,106.25,48.53578784068948
1606449640,106.0,48.452814742085806
1606449641,106.0,48.452814742085806
1606449642,105.5,48.28686854487843
1606449643,105.5,48.28686854487843
1606449644,105.0,48.12092234767107
1606449645,104.75,48.03794924906738
1606449646,104.75,48.03794924906738
1606449647,104.5,47.95497615046369
1606449648,104.5,47.95497615046369
1606449649,104.75,48.03794924906738
1606449650,105.0,48.12092234767107
1606449651,106.25,48.53578784068948
1606449652,106.5,48.61876093929317
1606449653,106.75,48.701734037896856
1606449654,106.5,48.61876093929317
1606449655,106.75,48.701734037896856
1606449656,107.0,48.78470713650054
1606449657,106.75,48.701734037896856
1606449658,106.25,48.53578784068948
1606449659,106.25,48.53578784068948
1606449660,106.0,48.452814742085806
1606449661,105.5,48.28686854487843
1606449662,105.75,48.36984164348212
1606449663,105.5,48.28686854487843
1606449664,105.5,48.28686854487843
1606449665,105.75,48.36984164348212
1606449666,105.75,48.36984164348212
1606449667,106.25,48.53578784068948
1606449668,106.0,48.452814742085806
1606449669,106.25,48.53578784068948
1606449670,106.75,48.701734037896856
1606449671,107.0,48.78470713650054
1606449672,107.0,48.78470713650054
1606449673,107.5,48.950653333707905
1606449674,107.5,48.950653333707905
1606449675,107.25,48.86768023510422
1606449676,107.0,48.78470713650054
1606449677,106.75,48.701734037896856
1606449678,106.75,48.701734037896856
1606449679,106.75,48.701734037896856
1606449680,106.75,48.701734037896856
1606449681,106.25,48.53578784068948
1606449682,106.25,48.53578784068948
1606449683,106.0,48.452814742085806
1606449684,105.75,48.36984164348212
1606449685,105.75,48.36984164348212
1606449686,106.0,48.452814742085806
1606449687,106.25,48.53578784068948
1606449688,106.5,48.61876093929317
1606449689,107.0,48.78470713650054
1606449690,107.5,48.950653333707905
1606449691,108.0,49.11659953091528
1606449692,108.25,49.199572629518954
1606449693,109.25,49.53146502393369
1606449694,110.0,49.780384319744755
1606449695,110.5,49.946330516952116
1606449696,111.0,50.11227671415949
1606449697,111.0,50.11227671415949
1606449698,111.0,50.11227671415949
1606449699,110.5,49.946330516952116
1606449700,110.5,49.946330516952116
1606449701,110.25,49.86335741834843
1606449702,110.0,49.780384319744755
1606449703,109.75,49.69741122114107
1606449704,109.0,49.44849192533002
1606449705,109.0,49.44849192533002
1606449706,109.0,49.44849192533002
1606449707,108.5,49.28254572812264
1606449708,108.5,49.28254572812264
1606449709,109.0,49.44849192533002
1606449710,108.75,49.36551882672633
1606449711,108.75,49.36551882672633
1606449712,108.75,49.36551882672633
1606449713,108.75,49.36551882672633
1606449714,108.25,49.199572629518954
1606449715,108.25,49.199572629518954
1606449716,107.75,49.03362643231159
1606449717,107.5,48.950653333707905
1606449718,107.5,48.950653333707905
1606449719,106.0,48.452814742085806
1606449720,106.0,48.452814742085806
1606449721,106.0,48.452814742085806
1606449722,106.0,48.452814742085806
1606449723,106.75,48.701734037896856
1606449724,106.75,48.701734037896856
1606449725,107.0,48.78470713650054
1606449726,107.0,48.78470713650054
1606449727,106.75,48.701734037896856
1606449728,106.75,48.701734037896856
1606449729,106.5,48.61876093929317
1606449730,106.5,48.61876093929317
1606449731,106.5,48.61876093929317
1606449732,106.25,48.53578784068948
1606449733,105.75,48.36984164348212
1606449734,106.0,48.452814742085806
1606449735,105.5,48.28686854487843
1606449736,105.5,48.28686854487843
1606449737,105.5,48.28686854487843
1606449738,105.5,48.28686854487843
1606449739,106.0,48.452814742085806
1606449740,106.25,48.53578784068948
1606449741,106.25,48.53578784068948
1606449742,106.25,48.53578784068948
1606449743,106.5,48.61876093929317
1606449744,107.0,48.78470713650054
1606449745,107.0,48.78470713650054
1606449746,107.0,48.78470713650054
1606449747,107.0,48.78470713650054
1606449748,107.0,48.78470713650054
1606449749,106.5,48.61876093929317
1606449750,106.75,48.701734037896856
1606449751,106.75,48.701734037896856
1606449752,106.75,48.701734037896856
1606449753,106.75,48.701734037896856
1606449754,106.5,48.61876093929317
1606449755,106.75,48.701734037896856
1606449756,107.0,48.78470713650054
1606449757,106.5,48.61876093929317
1606449758,106.75,48.701734037896856
1606449765,107.5,48.950653333707905
1606449766,108.0,49.11659953091528
1606449767,108.0,49.11659953091528
1606449768,108.25,49.199572629518954
1606449769,108.25,49.199572629518954
1606449770,108.75,49.36551882672633
1606449771,108.75,49.36551882672633
1606449772,108.75,49.36551882672633
1606449773,109.25,49.53146502393369
1606449774,109.25,49.53146502393369
1606449775,109.25,49.53146502393369
1606449776,109.0,49.44849192533002
